cruise_comp,Name,SampID,Area,IS,IS.area,Cruise,match.name,IS.Conc.uM,umol.in.vial.ave,Vol_L
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU15_A,12766940,"Arsenobetaine, 13C2",3302269184,KM1906,Arsenobetaine,1,0.0038661112370420255,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU15_B,18598156,"Arsenobetaine, 13C2",3805691136,KM1906,Arsenobetaine,1,0.004886932579491391,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU15_C,10934412,"Arsenobetaine, 13C2",3582164736,KM1906,Arsenobetaine,1,0.0030524592825426104,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU16_A,12917414,"Arsenobetaine, 13C2",3765001984,KM1906,Arsenobetaine,1,0.003430918245168181,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU16_B,16481888,"Arsenobetaine, 13C2",4247707904,KM1906,Arsenobetaine,1,0.0038801839421395393,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU16_C,14989472,"Arsenobetaine, 13C2",3867194624,KM1906,Arsenobetaine,1,0.003876058346527118,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU17_A,5241593,"Arsenobetaine, 13C2",3334040064,KM1906,Arsenobetaine,1,0.0015721445751648892,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU17_B,6306662,"Arsenobetaine, 13C2",2765937408,KM1906,Arsenobetaine,1,0.002280117395917587,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU17_C,9835922,"Arsenobetaine, 13C2",3312654080,KM1906,Arsenobetaine,1,0.0029691968320459225,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU18_A,8891675,"Arsenobetaine, 13C2",3449624832,KM1906,Arsenobetaine,1,0.002577577398422438,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU18_B,15301898,"Arsenobetaine, 13C2",3745120768,KM1906,Arsenobetaine,1,0.004085822313327334,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU18_C,11483219,"Arsenobetaine, 13C2",3143326208,KM1906,Arsenobetaine,1,0.0036532062662711718,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU19_A,15334546,"Arsenobetaine, 13C2",3616909568,KM1906,Arsenobetaine,1,0.0042396818918752684,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU19_B,13719685,"Arsenobetaine, 13C2",3497254144,KM1906,Arsenobetaine,1,0.003922987702663224,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU19_C,12737231,"Arsenobetaine, 13C2",3438088192,KM1906,Arsenobetaine,1,0.003704742370960099,10
KM1906_Arsenobetaine,Arsenobetaine,220628_Smp_MU20_A,17504090,"Arsenobetaine, 13C2",3216350720,KM1906,Arsenobetaine,1,0.005442220554852923,10
