Region,compound.name.figure,mean.rank
CUCP,(Iso)leucine,17.6
CUCP,Alanine,9
CUCP,Asparagine,18.933333333333334
CUCP,Aspartic acid,9.066666666666666
CUCP,Betonicine,21.8
CUCP,Carnitine,23
CUCP,DMSA,4.666666666666667
CUCP,DMSP,1.8
CUCP,Ectoine,24.8
CUCP,GBT,2.6666666666666665
CUCP,Glutamic acid,5.066666666666666
CUCP,Glutamine,17.4
CUCP,Gonyol,6.333333333333333
CUCP,Homarine,10.8
CUCP,Hydroxyectoine,25.866666666666667
CUCP,Hydroxyisoleucine,8.4
CUCP,Proline,12.866666666666667
CUCP,Proline betaine,22.666666666666668
CUCP,Sarcosine,15.133333333333333
CUCP,TMAB,21.066666666666666
CUCP,TMAO,3.066666666666667
CUCP,Threonine,10.333333333333334
CUCP,Trigonelline,14.733333333333333
CUCP,beta-Alanine,11.333333333333334
CUCP,beta-Alanine betaine,13.066666666666666
CUCP,beta-Glutamic acid,19.533333333333335
NPEC,(Iso)leucine,9.722222222222221
NPEC,Alanine,7.777777777777778
NPEC,Asparagine,17.27777777777778
NPEC,Aspartic acid,8.333333333333334
NPEC,Betonicine,21.444444444444443
NPEC,Carnitine,22.88888888888889
NPEC,DMSA,15.666666666666666
NPEC,DMSP,2.8333333333333335
NPEC,Ectoine,24.61111111111111
NPEC,GBT,4.111111111111111
NPEC,Glutamic acid,5.555555555555555
NPEC,Glutamine,17.055555555555557
NPEC,Gonyol,6.222222222222222
NPEC,Homarine,14.666666666666666
NPEC,Hydroxyectoine,25.666666666666668
NPEC,Hydroxyisoleucine,6.611111111111111
NPEC,Proline,13.555555555555555
NPEC,Proline betaine,24.166666666666668
NPEC,Sarcosine,13.444444444444445
NPEC,TMAB,20.38888888888889
NPEC,TMAO,2.2777777777777777
NPEC,Threonine,13.555555555555555
NPEC,Trigonelline,19.77777777777778
NPEC,beta-Alanine,13.222222222222221
NPEC,beta-Alanine betaine,6.555555555555555
NPEC,beta-Glutamic acid,13.61111111111111
NPSG,(Iso)leucine,11.3
NPSG,Alanine,7.833333333333333
NPSG,Asparagine,13.7
NPSG,Aspartic acid,8.483333333333333
NPSG,Betonicine,21.4
NPSG,Carnitine,23.683333333333334
NPSG,DMSA,10.466666666666667
NPSG,DMSP,1.9
NPSG,Ectoine,24.116666666666667
NPSG,GBT,3.05
NPSG,Glutamic acid,6.783333333333333
NPSG,Glutamine,16.866666666666667
NPSG,Gonyol,7.683333333333334
NPSG,Homarine,15.033333333333333
NPSG,Hydroxyectoine,25.8
NPSG,Hydroxyisoleucine,7.983333333333333
NPSG,Proline,11.683333333333334
NPSG,Proline betaine,22.916666666666668
NPSG,Sarcosine,13.983333333333333
NPSG,TMAB,21.55
NPSG,TMAO,2.8666666666666667
NPSG,Threonine,11
NPSG,Trigonelline,18.033333333333335
NPSG,beta-Alanine,12.366666666666667
NPSG,beta-Alanine betaine,13.166666666666666
NPSG,beta-Glutamic acid,17.35
NPTZ,(Iso)leucine,16.85
NPTZ,Alanine,8.65
NPTZ,Asparagine,16.25
NPTZ,Aspartic acid,10.15
NPTZ,Betonicine,23.4
NPTZ,Carnitine,21.45
NPTZ,DMSA,8.05
NPTZ,DMSP,3.5
NPTZ,Ectoine,24.35
NPTZ,GBT,2.05
NPTZ,Glutamic acid,5.95
NPTZ,Glutamine,18.25
NPTZ,Gonyol,13.65
NPTZ,Homarine,7.6
NPTZ,Hydroxyectoine,26
NPTZ,Hydroxyisoleucine,13.25
NPTZ,Proline,7.85
NPTZ,Proline betaine,22.6
NPTZ,Sarcosine,11.9
NPTZ,TMAB,20.75
NPTZ,TMAO,2.6
NPTZ,Threonine,9.9
NPTZ,Trigonelline,15.75
NPTZ,beta-Alanine,5.25
NPTZ,beta-Alanine betaine,15.4
NPTZ,beta-Glutamic acid,19.6
PEDP,(Iso)leucine,10.4375
PEDP,Alanine,9.84375
PEDP,Asparagine,17.6875
PEDP,Aspartic acid,10.15625
PEDP,Betonicine,22
PEDP,Carnitine,23.53125
PEDP,DMSA,15.46875
PEDP,DMSP,2
PEDP,Ectoine,23.375
PEDP,GBT,2.125
PEDP,Glutamic acid,5.5625
PEDP,Glutamine,17.875
PEDP,Gonyol,7.3125
PEDP,Homarine,13.625
PEDP,Hydroxyectoine,25.9375
PEDP,Hydroxyisoleucine,7.15625
PEDP,Proline,12.21875
PEDP,Proline betaine,24.625
PEDP,Sarcosine,12.78125
PEDP,TMAB,20.375
PEDP,TMAO,2.09375
PEDP,Threonine,11.875
PEDP,Trigonelline,19.15625
PEDP,beta-Alanine,12.46875
PEDP,beta-Alanine betaine,6.34375
PEDP,beta-Glutamic acid,14.96875
SS,(Iso)leucine,7
SS,Alanine,5.466666666666667
SS,Asparagine,14.266666666666667
SS,Aspartic acid,6.066666666666666
SS,Betonicine,23.466666666666665
SS,Carnitine,21.833333333333332
SS,DMSA,14.766666666666667
SS,DMSP,14.166666666666666
SS,Ectoine,25.266666666666666
SS,GBT,2.033333333333333
SS,Glutamic acid,3.1333333333333333
SS,Glutamine,10.466666666666667
SS,Gonyol,15.533333333333333
SS,Homarine,7.266666666666667
SS,Hydroxyectoine,22.233333333333334
SS,Hydroxyisoleucine,15.766666666666667
SS,Proline,8.866666666666667
SS,Proline betaine,21.966666666666665
SS,Sarcosine,14.4
SS,TMAB,19.533333333333335
SS,TMAO,9.033333333333333
SS,Threonine,8.466666666666667
SS,Trigonelline,17.066666666666666
SS,beta-Alanine,11.533333333333333
SS,beta-Alanine betaine,7.833333333333333
SS,beta-Glutamic acid,23.566666666666666
