SampID,MF,Area,Cruise
220628_Smp_MU21_A,"DL-Alanine, 2H3",45741680,KM1906
220628_Smp_MU21_B,"DL-Alanine, 2H3",37299100,KM1906
220628_Smp_MU21_C,"DL-Alanine, 2H3",25176744,KM1906
220628_Smp_MU22_A,"DL-Alanine, 2H3",23099408,KM1906
220628_Smp_MU22_B,"DL-Alanine, 2H3",29673802,KM1906
220628_Smp_MU22_C,"DL-Alanine, 2H3",43171616,KM1906
220628_Smp_MU23_A,"DL-Alanine, 2H3",11968797,KM1906
220628_Smp_MU23_B,"DL-Alanine, 2H3",14026278,KM1906
220628_Smp_MU23_C,"DL-Alanine, 2H3",46636120,KM1906
220628_Smp_MU24_A,"DL-Alanine, 2H3",32417268,KM1906
220628_Smp_MU24_B,"DL-Alanine, 2H3",65459280,KM1906
220628_Smp_MU24_C,"DL-Alanine, 2H3",14078583,KM1906
220628_Poo_TruePooG3_Full1,"DL-Proline, 2H7",314440224,KM1906
220628_Poo_TruePooG3_Full2,"DL-Proline, 2H7",212221200,KM1906
220628_Poo_TruePooG3_Full3,"DL-Proline, 2H7",183153408,KM1906
220628_Poo_TruePooG3_Half1,"DL-Proline, 2H7",178509408,KM1906
220628_Poo_TruePooG3_Half2,"DL-Proline, 2H7",107674872,KM1906
220628_Poo_TruePooG3_Half3,"DL-Proline, 2H7",90900184,KM1906
220628_Smp_MU1_A,"DL-Proline, 2H7",203151744,KM1906
220628_Smp_MU1_B,"DL-Proline, 2H7",166917568,KM1906
220628_Smp_MU1_C,"DL-Proline, 2H7",225896960,KM1906
220628_Smp_MU2_A,"DL-Proline, 2H7",228609408,KM1906
220628_Smp_MU2_B,"DL-Proline, 2H7",189012352,KM1906
220628_Smp_MU2_C,"DL-Proline, 2H7",151830832,KM1906
220628_Smp_MU3_A,"DL-Proline, 2H7",165152544,KM1906
220628_Smp_MU3_B,"DL-Proline, 2H7",191288144,KM1906
220628_Smp_MU3_C,"DL-Proline, 2H7",161921856,KM1906
220628_Smp_MU4_A,"DL-Proline, 2H7",210862528,KM1906
220628_Smp_MU4_B,"DL-Proline, 2H7",315184160,KM1906
220628_Smp_MU4_C,"DL-Proline, 2H7",205022992,KM1906
220628_Smp_MU5_A,"DL-Proline, 2H7",273220992,KM1906
220628_Smp_MU5_B,"DL-Proline, 2H7",211894688,KM1906
220628_Smp_MU5_C,"DL-Proline, 2H7",179999728,KM1906
220628_Smp_MU6_A,"DL-Proline, 2H7",244912304,KM1906
220628_Smp_MU6_B,"DL-Proline, 2H7",238986288,KM1906
220628_Smp_MU6_C,"DL-Proline, 2H7",237348544,KM1906
220628_Smp_MU7_A,"DL-Proline, 2H7",205319968,KM1906
220628_Smp_MU7_B,"DL-Proline, 2H7",226352064,KM1906
220628_Smp_MU7_C,"DL-Proline, 2H7",177022208,KM1906
220628_Smp_MU8_A,"DL-Proline, 2H7",170158256,KM1906
220628_Smp_MU8_B,"DL-Proline, 2H7",249215984,KM1906
220628_Smp_MU8_C,"DL-Proline, 2H7",240436400,KM1906
220628_Smp_MU9_A,"DL-Proline, 2H7",201655696,KM1906
220628_Smp_MU9_B,"DL-Proline, 2H7",169372816,KM1906
220628_Smp_MU9_C,"DL-Proline, 2H7",212285648,KM1906
220628_Smp_MU10_A,"DL-Proline, 2H7",223054848,KM1906
220628_Smp_MU10_B,"DL-Proline, 2H7",213375728,KM1906
220628_Smp_MU10_C,"DL-Proline, 2H7",364060736,KM1906
220628_Smp_MU11_A,"DL-Proline, 2H7",147217664,KM1906
220628_Smp_MU11_B,"DL-Proline, 2H7",199804640,KM1906
220628_Smp_MU11_C,"DL-Proline, 2H7",209831152,KM1906
220628_Smp_MU14_A,"DL-Proline, 2H7",224839792,KM1906
220628_Smp_MU14_B,"DL-Proline, 2H7",201539904,KM1906
220628_Smp_MU14_C,"DL-Proline, 2H7",199635728,KM1906
220628_Smp_MU15_A,"DL-Proline, 2H7",202197984,KM1906
220628_Smp_MU15_B,"DL-Proline, 2H7",395185664,KM1906
220628_Smp_MU15_C,"DL-Proline, 2H7",191974160,KM1906
220628_Smp_MU16_A,"DL-Proline, 2H7",230750048,KM1906
220628_Smp_MU16_B,"DL-Proline, 2H7",284560192,KM1906
220628_Smp_MU16_C,"DL-Proline, 2H7",236236768,KM1906
220628_Smp_MU17_A,"DL-Proline, 2H7",217088064,KM1906
220628_Smp_MU17_B,"DL-Proline, 2H7",193375136,KM1906
220628_Smp_MU17_C,"DL-Proline, 2H7",203862336,KM1906
220628_Smp_MU18_A,"DL-Proline, 2H7",201860256,KM1906
220628_Smp_MU18_B,"DL-Proline, 2H7",211341328,KM1906
220628_Smp_MU18_C,"DL-Proline, 2H7",218834672,KM1906
220628_Smp_MU19_A,"DL-Proline, 2H7",223128576,KM1906
220628_Smp_MU19_B,"DL-Proline, 2H7",215378816,KM1906
220628_Smp_MU19_C,"DL-Proline, 2H7",195932144,KM1906
220628_Smp_MU20_A,"DL-Proline, 2H7",298938976,KM1906
220628_Smp_MU20_B,"DL-Proline, 2H7",390010816,KM1906
220628_Smp_MU20_C,"DL-Proline, 2H7",218875808,KM1906
220628_Smp_MU21_A,"DL-Proline, 2H7",194677184,KM1906
220628_Smp_MU21_B,"DL-Proline, 2H7",252038352,KM1906
220628_Smp_MU21_C,"DL-Proline, 2H7",187405376,KM1906
220628_Smp_MU22_A,"DL-Proline, 2H7",202603392,KM1906
220628_Smp_MU22_B,"DL-Proline, 2H7",176051824,KM1906
220628_Smp_MU22_C,"DL-Proline, 2H7",187296512,KM1906
220628_Smp_MU23_A,"DL-Proline, 2H7",188647456,KM1906
220628_Smp_MU23_B,"DL-Proline, 2H7",204172320,KM1906
220628_Smp_MU23_C,"DL-Proline, 2H7",278029408,KM1906
220628_Smp_MU24_A,"DL-Proline, 2H7",280561600,KM1906
220628_Smp_MU24_B,"DL-Proline, 2H7",337957248,KM1906
220628_Smp_MU24_C,"DL-Proline, 2H7",190521552,KM1906
220628_Poo_TruePooG3_Full1,"DL-Valine, 2H8",106666752,KM1906
220628_Poo_TruePooG3_Full2,"DL-Valine, 2H8",77682400,KM1906
220628_Poo_TruePooG3_Full3,"DL-Valine, 2H8",73154736,KM1906
220628_Poo_TruePooG3_Half1,"DL-Valine, 2H8",64717708,KM1906
220628_Poo_TruePooG3_Half2,"DL-Valine, 2H8",39448336,KM1906
220628_Poo_TruePooG3_Half3,"DL-Valine, 2H8",38087780,KM1906
220628_Smp_MU1_A,"DL-Valine, 2H8",80966560,KM1906
220628_Smp_MU1_B,"DL-Valine, 2H8",69303776,KM1906
220628_Smp_MU1_C,"DL-Valine, 2H8",75034224,KM1906
220628_Smp_MU2_A,"DL-Valine, 2H8",89571504,KM1906
220628_Smp_MU2_B,"DL-Valine, 2H8",66679612,KM1906
220628_Smp_MU2_C,"DL-Valine, 2H8",63145684,KM1906
220628_Smp_MU3_A,"DL-Valine, 2H8",67215200,KM1906
220628_Smp_MU3_B,"DL-Valine, 2H8",74548448,KM1906
220628_Smp_MU3_C,"DL-Valine, 2H8",65731924,KM1906
220628_Smp_MU4_A,"DL-Valine, 2H8",77410856,KM1906
220628_Smp_MU4_B,"DL-Valine, 2H8",106539232,KM1906
220628_Smp_MU4_C,"DL-Valine, 2H8",77073976,KM1906
220628_Smp_MU5_A,"DL-Valine, 2H8",94540400,KM1906
220628_Smp_MU5_B,"DL-Valine, 2H8",81803768,KM1906
220628_Smp_MU5_C,"DL-Valine, 2H8",70533072,KM1906
