SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,detected,impute.conc.nM
170706_Smp_S4E16D15_B,2-O-alpha-D-Glucosylglycerol,0.04387396069289208,0.00350991685543136,0.03158925169888229,NA,NA,Yes,0
170706_Smp_S4E16D15_C,2-O-alpha-D-Glucosylglycerol,0.01412421618529423,0.00112993729482353,0.01016943565341184,NA,NA,No,0
170706_Smp_S4E16D15_Ds,2-O-alpha-D-Glucosylglycerol,0,0,0,NA,NA,No,0
170706_Smp_S5E28D15_A,2-O-alpha-D-Glucosylglycerol,0.01380517960097771,0.00110441436807821,0.00993972931270395,NA,NA,Yes,0
170706_Smp_S5E28D15_B,2-O-alpha-D-Glucosylglycerol,0.02337984437065684,0.00187038754965254,0.01683348794687292,NA,NA,Yes,0
170706_Smp_S5E28D15_C,2-O-alpha-D-Glucosylglycerol,0.06836197704900387,0.0054689581639203,0.04922062347528278,NA,NA,Yes,0
170706_Smp_S5E28D15_Ds,2-O-alpha-D-Glucosylglycerol,0.00392531779449824,3.305530774314308e-4,0.00297497769688287,NA,NA,No,0
170706_Smp_S6E37D15_A,2-O-alpha-D-Glucosylglycerol,2.6226608416496555,0.2098128673319724,1.8883158059877516,NA,NA,Yes,0
170706_Smp_S6E37D15_B,2-O-alpha-D-Glucosylglycerol,2.558345397166215,0.2046676317732972,1.8420086859596747,NA,NA,Yes,0
170706_Smp_S6E37D15_C,2-O-alpha-D-Glucosylglycerol,2.2096206005933112,0.1767696480474649,1.590926832427184,NA,NA,Yes,0
170706_Smp_S6E37D15_Ds,2-O-alpha-D-Glucosylglycerol,0.22393200968053137,0.0210759538522853,0.18968358467056773,NA,NA,Yes,0
170706_Smp_S3E15D15_A,5-Hydroxyectoine,0.00310974618950669,2.487796951605356e-4,0.00149267817096321,4.975593903210712e-4,NA,Yes,0
170706_Smp_S3E15D15_B,5-Hydroxyectoine,0.00188388623700982,1.507108989607863e-4,9.042653937647176e-4,3.014217979215726e-4,NA,Yes,0
170706_Smp_S3E15D15_C,5-Hydroxyectoine,0.00429637560452046,3.4371004836163685e-4,0.00206226029016982,6.874200967232737e-4,NA,Yes,0
170706_Smp_S3E15E15_Ds,5-Hydroxyectoine,0.00189543400664978,1.5163472053198273e-4,9.098083231918964e-4,3.0326944106396546e-4,NA,Yes,0
170706_Smp_S4E16D15_A,5-Hydroxyectoine,0.00475219900262379,3.801759202099032e-4,0.00228105552125941,7.603518404198064e-4,NA,Yes,0
170706_Smp_S4E16D15_B,5-Hydroxyectoine,0.00396668783430507,3.173350267444058e-4,0.0019040101604664301,6.346700534888116e-4,NA,Yes,0
170706_Smp_S4E16D15_C,5-Hydroxyectoine,0.00462681686683927,3.701453493471421e-4,0.00222087209608285,7.402906986942842e-4,NA,Yes,0
170706_Smp_S4E16D15_Ds,5-Hydroxyectoine,0.00293940041321677,2.3515203305734164e-4,0.00141091219834404,4.703040661146833e-4,NA,Yes,0
170706_Smp_S5E28D15_A,5-Hydroxyectoine,0.00501359262163629,4.0108740973090345e-4,0.00240652445838542,8.021748194618069e-4,NA,Yes,0
170706_Smp_S5E28D15_B,5-Hydroxyectoine,0.00308278522617366,2.466228180938929e-4,0.00147973690856335,4.932456361877858e-4,NA,Yes,0
170706_Smp_S5E28D15_C,5-Hydroxyectoine,0.00194557761361378,1.5564620908910308e-4,9.338772545346184e-4,3.1129241817820616e-4,NA,Yes,0
170706_Smp_S5E28D15_Ds,5-Hydroxyectoine,6.319666263835358e-4,5.321824222177143e-5,3.193094533306286e-4,1.0643648444354288e-4,NA,Yes,0
170706_Smp_S6E37D15_A,5-Hydroxyectoine,0.04097249156400501,0.0032777993251204,0.0196667959507224,0.0065555986502408,NA,Yes,0
170706_Smp_S6E37D15_B,5-Hydroxyectoine,0.00814534967747334,6.516279741978676e-4,0.0039097678451872,0.00130325594839573,NA,Yes,0
170706_Smp_S6E37D15_C,5-Hydroxyectoine,0.00496101351881952,3.968810815055624e-4,0.00238128648903337,7.937621630111247e-4,NA,Yes,0
170706_Smp_S6E37D15_Ds,5-Hydroxyectoine,0.00160671636507661,1.5122036377191635e-4,9.073221826314982e-4,3.024407275438327e-4,NA,Yes,0
170706_Smp_S3E15D15_A,Arsenobetaine,0.01748216989417246,0.00139857359153379,0.00699286795766898,NA,NA,Yes,0
170706_Smp_S3E15D15_B,Arsenobetaine,0.01007346951780895,8.058775614247166e-4,0.00402938780712358,NA,NA,Yes,0
170706_Smp_S3E15D15_C,Arsenobetaine,0.01471222057591845,0.00117697764607347,0.00588488823036738,NA,NA,Yes,0
170706_Smp_S3E15E15_Ds,Arsenobetaine,0.00858683833853641,6.86947067082913e-4,0.00343473533541456,NA,NA,Yes,0
170706_Smp_S4E16D15_A,Arsenobetaine,0.00682964468758278,5.463715750066231e-4,0.00273185787503311,NA,NA,Yes,0
170706_Smp_S4E16D15_B,Arsenobetaine,0.01006506753500369,8.052054028002959e-4,0.00402602701400147,NA,NA,Yes,0
170706_Smp_S4E16D15_C,Arsenobetaine,0.00651027729709348,5.208221837674789e-4,0.00260411091883739,NA,NA,Yes,0
170706_Smp_S4E16D15_Ds,Arsenobetaine,0.00664279126046865,5.314233008374921e-4,0.00265711650418746,NA,NA,Yes,0
170706_Smp_S5E28D15_A,Arsenobetaine,0.00448607731720043,3.5888618537603494e-4,0.00179443092688017,NA,NA,Yes,0
170706_Smp_S5E28D15_B,Arsenobetaine,0.00445625942848725,3.565007542789801e-4,0.0017825037713949,NA,NA,Yes,0
170706_Smp_S5E28D15_C,Arsenobetaine,0.00517821379711464,4.142571037691712e-4,0.00207128551884585,NA,NA,Yes,0
170706_Smp_S5E28D15_Ds,Arsenobetaine,0.00417079342679602,3.512247096249281e-4,0.00175612354812464,NA,NA,Yes,0
170706_Smp_S6E37D15_A,Arsenobetaine,0.00987487562187479,7.899900497499832e-4,0.00394995024874991,NA,NA,Yes,0
170706_Smp_S6E37D15_B,Arsenobetaine,0.00808336692605509,6.466693540844077e-4,0.00323334677042203,NA,NA,Yes,0
170706_Smp_S6E37D15_C,Arsenobetaine,0.00803157328801211,6.425258630409689e-4,0.00321262931520484,NA,NA,Yes,0
