time.round,cruise,median.totsf.biovol.ul.l,median.pro.biovol.ul.l,median.syn.biovol.ul.l,median.picoeuk.biovol.ul.l,median.totifcb.biovol.ul.l,sum.median.biovol.ul.l,fraction.biovol.seaflow
2019-04-10T17:00:00Z,KM1906,0.018569666689489457,0.010316882719548887,9.48232944416259e-4,0.007304551025524313,0.041372454,0.05994212068948946,0.3097932885238335
2019-04-10T18:00:00Z,KM1906,0.022599760009159243,0.01164380612493619,0.0011763339874118319,0.010089133621258656,0.038910629,0.06151038900915924,0.36741370641948
2019-04-11T00:00:00Z,KM1906,0.028834794392750496,0.015188699797573263,0.001006921914785305,0.011897101546408443,0.029670096,0.058504890392750496,0.49286126679631376
2019-04-11T01:00:00Z,KM1906,0.026612394888798727,0.013436447882406572,0.0011948291302631751,0.011630883212409267,0.022501214999999998,0.049113609888798725,0.5418537743214876
2019-04-11T02:00:00Z,KM1906,0.028391012477453195,0.013425943894638331,0.0013014070420738569,0.014006426104784437,0.0341740146,0.06256502707745319,0.4537840676118652
2019-04-11T03:00:00Z,KM1906,0.0290257868565641,0.012634305449542636,0.0011861769774460544,0.014789423990312805,0.035670629,0.0646964158565641,0.44864597941431617
2019-04-11T04:00:00Z,KM1906,0.03541123805562413,0.015739329894057696,0.0012607234909618582,0.018336067079891574,0.0309781415,0.06638937955562413,0.5333870913186489
2019-04-11T05:00:00Z,KM1906,0.03559882393113005,0.016706848155552703,0.0012173147920053896,0.016984600953168043,0.0388882194,0.07448704333113004,0.4779196802439383
2019-04-11T06:00:00Z,KM1906,0.03617962692171754,0.01707863699963013,0.0016582981384860487,0.016670594274142383,0.13953109,0.17571071692171752,0.20590449777651443
2019-04-11T07:00:00Z,KM1906,0.02881405684341194,0.01460226326840297,0.0015290898202106197,0.012502839699990895,0.0575624354,0.08637649224341194,0.3335867907464097
2019-04-11T08:00:00Z,KM1906,0.027806465737016586,0.013691749517635814,0.001560511221982436,0.012523289900648805,0.05427170255,0.08207816828701658,0.33878029099992857
2019-04-11T09:00:00Z,KM1906,0.028032814483226275,0.01413387846361509,0.0015805483192646804,0.012076390954550357,0.050431655,0.07846446948322627,0.35726762275782653
2019-04-11T10:00:00Z,KM1906,0.023527812317779073,0.011909958196756377,0.0015792958326909991,0.010043958948819286,0.038457695,0.061985507317779076,0.37956956933755187
2019-04-11T11:00:00Z,KM1906,0.022273388000756376,0.01108368585216602,0.0015033566325524286,0.009746969491879023,0.035680225100000004,0.057953613100756377,0.3843313092840742
2019-04-11T12:00:00Z,KM1906,0.020144330889876973,0.009779222045504587,0.0015120820359167337,0.00878393010796118,0.039605022000000004,0.059749352889876976,0.3371472646240144
2019-04-11T13:00:00Z,KM1906,0.019924048302503335,0.009633404328918288,0.0015838878080764198,0.008963855952425968,0.03982644275,0.05975049105250334,0.33345413487892306
2019-04-11T14:00:00Z,KM1906,0.020770678019927075,0.01070370934759006,0.0017068731778740777,0.008359224940716002,0.0417912061,0.06256188411992708,0.33200211777687244
2019-04-11T15:00:00Z,KM1906,0.0190881495370622,0.009286957096556258,0.0017134790411246557,0.008014773077924867,0.0411685095,0.0602566590370622,0.316780748254257
2019-04-11T16:00:00Z,KM1906,0.01683388735195601,0.007446176481302567,0.001576716273790882,0.00779728306920281,0.033420402,0.050254289351956014,0.3349741398999765
2019-04-11T17:00:00Z,KM1906,0.01701781693486676,0.0077780952769502705,0.0016257437059153468,0.007504695437460107,0.0405092722,0.05752708913486676,0.2958226670390034
2019-04-11T18:00:00Z,KM1906,0.016996009649274533,0.007340734433846697,0.0016189894827152948,0.007989173397900576,0.0446593387,0.06165534834927454,0.2756615622864211
2019-04-11T20:00:00Z,KM1906,0.028634666029053343,0.012134547491242544,0.001994542228900497,0.014078954540362143,0.03263579535,0.06127046137905334,0.46734862745529665
2019-04-11T21:00:00Z,KM1906,0.02860178940677766,0.012358115742686488,0.0020685232281727234,0.014877038555486452,0.03372065,0.06232243940677766,0.4589324435793373
2019-04-11T22:00:00Z,KM1906,0.027585783908472286,0.010433853481875128,0.0022616832367838165,0.015389160352269166,0.029705854099999998,0.057291638008472284,0.4814975599823643
2019-04-11T23:00:00Z,KM1906,0.025309111087614022,0.0072251736417796655,0.0020433713733928292,0.016012058080881943,0.040982427,0.06629153808761402,0.3817849429615633
2019-04-12T00:00:00Z,KM1906,0.02657957325417478,0.008211951462944941,0.00194198799559134,0.01573791220385788,0.0374861583,0.06406573155417478,0.4148797275763372
2019-04-12T01:00:00Z,KM1906,0.026390731586634502,0.007659193802115863,0.002119729200337984,0.016696695882071778,0.0332932195,0.059683951086634504,0.44217467352868306
2019-04-12T02:00:00Z,KM1906,0.03346528984916529,0.010226438490016539,0.002107089876894408,0.020965047868546173,0.035137558,0.06860284784916529,0.4878119625987578
2019-04-12T03:00:00Z,KM1906,0.0357905151193172,0.01196302914341131,0.001864546145361186,0.021659417026228173,0.03722857935,0.0730190944693172,0.49015282070303484
2019-04-12T04:00:00Z,KM1906,0.03539157968020448,0.013884873150026952,0.0018374168874805536,0.0203523331459165,0.0411549544,0.07654653408020448,0.4623537839495337
2019-04-12T05:00:00Z,KM1906,0.03292521526583945,0.01357156599195917,0.0016633336016084188,0.017818988462148622,0.04627456525,0.07919978051583945,0.41572356705274727
2019-04-12T06:00:00Z,KM1906,0.033190688188362766,0.014704995498411776,0.0017056247828103098,0.01659155547520649,0.0443048135,0.07749550168836276,0.4282918035918322
2019-04-12T07:00:00Z,KM1906,0.03332102896070327,0.014951314592183282,0.0017745772787533163,0.016840559391821854,0.0445268575,0.07784788646070327,0.4280274067237952
2019-04-12T08:00:00Z,KM1906,0.031943436025001354,0.01458965683928354,0.0018678249857358902,0.015287738024030509,0.072140364,0.10408380002500135,0.30690113175468625
2019-04-12T09:00:00Z,KM1906,0.030973963957051546,0.015777732383229943,0.0018164184820240099,0.013343176546852874,0.044833562800000004,0.07580752675705155,0.40858692114197454
2019-04-12T10:00:00Z,KM1906,0.025669561220491063,0.01360466923896087,0.0016009518459903418,0.010867002471133484,0.035169297,0.060838858220491066,0.421927070482814
2019-04-12T11:00:00Z,KM1906,0.019744939518033744,0.009514569362257967,0.001623120696616325,0.008778235879679873,0.026783185,0.046528124518033745,0.4243656868305715
2019-04-12T12:00:00Z,KM1906,0.01921741029000671,0.009225212652138663,0.001925443519741317,0.008090105902874997,0.0371810703,0.05639848059000671,0.3407434045911488
2019-04-12T13:00:00Z,KM1906,0.01908736403113873,0.008615372356015089,0.002136465258747877,0.008270837800201897,0.0258174477,0.04490481173113873,0.42506277824794475
2019-04-12T14:00:00Z,KM1906,0.017709683270941856,0.008495790285531584,0.0017704014293683746,0.00734344110474901,0.023794954950000002,0.04150463822094186,0.4266916670052105
2019-04-12T15:00:00Z,KM1906,0.017451597515420234,0.00873810527567668,0.0015469520409618265,0.007168570147583385,0.028069705,0.045521302515420234,0.38337210385200526
2019-04-12T16:00:00Z,KM1906,0.01386438379433072,0.006838327252641467,0.00148997479741612,0.005745050837286238,0.03680132425,0.05066570804433072,0.27364433123484366
