Cruise,Station,UTC.dt,UTC.time.round,Lat,Long,Depth,POC_Paired,PATP_ng_L,SD_PATP_ng_L,ATP_Flag
TN397,UW 1,2021-11-19T16:52:00Z,2021-11-19T17:00:00Z,31.13,-119.82,4.5,NA,59.4,NA,NA
TN397,UW 2,2021-11-19T19:55:00Z,2021-11-19T20:00:00Z,30.76,-120.46,4.5,NA,49.4,NA,NA
TN397,UW 3,2021-11-20T01:30:00Z,2021-11-20T02:00:00Z,30.1,-121.58,4.5,NA,80.3,NA,NA
TN397,S01,2021-11-20T18:01:27Z,2021-11-20T18:00:00Z,28.44,-124.4,5.1,2.02,12.6,NA,NA
TN397,S01,2021-11-20T18:01:27Z,2021-11-20T18:00:00Z,28.44,-124.4,15,2.39,25.2,NA,NA
TN397,S02,2021-11-21T12:36:53Z,2021-11-21T13:00:00Z,27.07,-126.67,5,1.98,24.5,NA,NA
TN397,UW 4,2021-11-21T15:07:00Z,2021-11-21T15:00:00Z,27.07,-126.67,4.5,NA,22.8,NA,NA
TN397,UW 5,2021-11-22T02:16:00Z,2021-11-22T02:00:00Z,25.96,-128.5,4.5,NA,38.3,NA,NA
TN397,UW 6,2021-11-22T16:07:00Z,2021-11-22T16:00:00Z,24.29,-131.23,4.5,NA,26.8,NA,NA
TN397,UW 7,2021-11-23T00:02:00Z,2021-11-23T00:00:00Z,23.1,-133.14,4.5,NA,27.7,NA,NA
TN397,3,2021-11-23T13:26:35Z,2021-11-23T13:00:00Z,21.74,-135.31,5,2.24,21.8,NA,NA
TN397,4,2021-11-25T18:44:45Z,2021-11-25T19:00:00Z,19.51,-138.58,5.8,1.95,33.9,NA,NA
TN397,5,2021-11-26T13:30:36Z,2021-11-26T14:00:00Z,17.67,-140.16,5,1.92,24.5,NA,NA
TN397,6,2021-11-27T13:27:52Z,2021-11-27T13:00:00Z,13.95,-140,5,2.44,46.2,NA,NA
TN397,8,2021-11-30T13:29:16Z,2021-11-30T13:00:00Z,8.39,-140,5,2.25,36.4,NA,NA
TN397,9,2021-12-01T22:04:11Z,2021-12-01T22:00:00Z,4.77,-139.99,5.2,3.19,63.7,NA,NA
TN397,9,2021-12-01T22:04:11Z,2021-12-01T22:00:00Z,4.77,-139.99,15,3.83,112,NA,NA
TN397,7,2021-11-28T22:03:26Z,2021-11-28T22:00:00Z,10.7,-139.99,4.5,2.92,41.8,NA,NA
TN397,10,2021-12-03T13:27:38Z,2021-12-03T13:00:00Z,1.12,-140.01,5,3.75,46.5,NA,NA
TN397,11,2021-12-04T05:58:55Z,2021-12-04T06:00:00Z,0,-140,5,4.5,96.6,NA,NA
TN397,11,2021-12-04T05:58:55Z,2021-12-04T06:00:00Z,0,-140,15,4.64,88.1,NA,NA
TN397,12,2021-12-07T03:34:58Z,2021-12-07T04:00:00Z,-2.45,-140.05,5.3,3.59,69.3,NA,NA
TN397,12,2021-12-07T03:34:58Z,2021-12-07T04:00:00Z,-2.45,-140.05,15,3.68,35.2,NA,NA
TN397,13,2021-12-08T13:27:16Z,2021-12-08T13:00:00Z,0.11,-141.92,5,5.32,125.3,NA,NA
TN397,14,2021-12-09T13:02:22Z,2021-12-09T13:00:00Z,3.5,-144.43,4.8,3.81,53.6,NA,NA
TN397,15,2021-12-10T13:01:56Z,2021-12-10T13:00:00Z,6.5,-146.65,5.1,3.55,52.6,NA,NA
TN397,16,2021-12-11T13:58:13Z,2021-12-11T14:00:00Z,9.25,-148.7,5,2.09,36,NA,NA
TN397,17,2021-12-12T14:01:04Z,2021-12-12T14:00:00Z,11.91,-150.69,5.2,1.89,43.5,NA,NA
KM1906,UW 1,2019-04-10T15:30:00Z,2019-04-10T16:00:00Z,22.2,158,NA,NA,35.2,4.8,NA
KM1906,UW 5,2019-04-11T15:30:00Z,2019-04-11T16:00:00Z,25.78,158,NA,NA,40.8,1.3,NA
KM1906,UW 9,2019-04-12T15:30:00Z,2019-04-12T16:00:00Z,29.35,158,NA,NA,25.9,7.7,NA
KM1906,UW 13,2019-04-13T15:35:00Z,2019-04-13T16:00:00Z,32.19,158,NA,NA,38.1,10.3,NA
KM1906,UW 20,2019-04-14T15:35:00Z,2019-04-14T16:00:00Z,35.83,158,NA,NA,51.9,1.8,NA
KM1906,UW 25,2019-04-15T15:40:00Z,2019-04-15T16:00:00Z,38.87,158,NA,NA,226.3,9.4,NA
KM1906,UW 30,2019-04-16T15:30:00Z,2019-04-16T16:00:00Z,NA,NA,NA,NA,NA,NA,NA
KM1906,UW 31,2019-04-17T15:50:00Z,2019-04-17T16:00:00Z,NA,NA,NA,NA,NA,NA,NA
