SampID,Organism,Batch,Compound,Area,min.area.flag,blk.flag
220111_Smp_DSS3_A,DSS3,Bacteria,(3-Carboxypropyl)trimethylammonium,140584576,NA,NA
220111_Smp_DSS3_B,DSS3,Bacteria,(3-Carboxypropyl)trimethylammonium,144082160,NA,NA
220111_Smp_DSS3_C,DSS3,Bacteria,(3-Carboxypropyl)trimethylammonium,141575664,NA,NA
220111_Smp_DSS3_B,DSS3,Bacteria,5-Hydroxyectoine,122700,NA,NA
220111_Smp_SA7_B,SA7,Bacteria,5-Hydroxyectoine,105692,NA,NA
220111_Smp_SA7_C,SA7,Bacteria,5-Hydroxyectoine,229358,NA,NA
220111_Smp_SA11_A,SA11,Bacteria,5-Hydroxyectoine,678694,NA,NA
220111_Smp_SA11_B,SA11,Bacteria,5-Hydroxyectoine,2361925,NA,NA
220111_Smp_SA11_C,SA11,Bacteria,5-Hydroxyectoine,4765857,NA,NA
220111_Smp_SA16_A,SA16,Bacteria,5-Hydroxyectoine,413235,NA,NA
220111_Smp_SA16_B,SA16,Bacteria,5-Hydroxyectoine,194008,NA,NA
220111_Smp_SA16_C,SA16,Bacteria,5-Hydroxyectoine,198863,NA,NA
220111_Smp_SA36_A,SA36,Bacteria,5-Hydroxyectoine,11037590,NA,NA
220111_Smp_SA36_B,SA36,Bacteria,5-Hydroxyectoine,16516419,NA,NA
220111_Smp_SA48_A,SA48,Bacteria,5-Hydroxyectoine,180472,NA,NA
220111_Smp_SA48_C,SA48,Bacteria,5-Hydroxyectoine,2635594,NA,NA
220111_Smp_SA53_A,SA53,Bacteria,5-Hydroxyectoine,1817790,NA,NA
220111_Smp_SA53_B,SA53,Bacteria,5-Hydroxyectoine,5757231,NA,NA
220111_Smp_SA53_C,SA53,Bacteria,5-Hydroxyectoine,4218614,NA,NA
220111_Smp_SA55_A,SA55,Bacteria,5-Hydroxyectoine,16812848,NA,NA
220111_Smp_SA55_B,SA55,Bacteria,5-Hydroxyectoine,14883611,NA,NA
220111_Smp_SA55_C,SA55,Bacteria,5-Hydroxyectoine,330171,NA,NA
