Rep,Compound,Area,Batch
170706_Std_4uM-StdsInH2O_6,L-Alanine,25500122,G2
170706_Std_4uM-StdsInAqMatrix_1,L-Alanine,21780756,G2
170706_Std_4uM-StdsInAqMatrix_2,L-Alanine,21001104,G2
170706_Std_4uM-StdsInAqMatrix_3,L-Alanine,21983820,G2
170706_Std_4uM-StdsInAqMatrix_4,L-Alanine,20377302,G2
170706_Std_4uM-StdsInAqMatrix_5,L-Alanine,26198442,G2
170706_Blk_Blk0p2_1,L-Alanine,162759,G2
170706_Blk_Blk0p2_2,L-Alanine,98649,G2
170706_Blk_BlkMQ_1,L-Alanine,82137,G2
170706_Blk_BlkMQ_3,L-Alanine,101106,G2
170706_Blk_MQBlk_2,L-Alanine,320620,G2
170706_Poo_TruePoo_Full1,L-Alanine,8664221,G2
170706_Poo_TruePoo_Full2,L-Alanine,4670199,G2
170706_Poo_TruePoo_Full3,L-Alanine,4319387,G2
170706_Poo_TruePoo_Full4,L-Alanine,3884343,G2
170706_Poo_TruePoo_Full5,L-Alanine,3867495,G2
170706_Poo_TruePoo_Full6,L-Alanine,2931056,G2
170706_Poo_TruePoo_Full7,L-Alanine,2344971,G2
170706_Poo_TruePoo_Half1,L-Alanine,5162885,G2
170706_Poo_TruePoo_Half2,L-Alanine,3778906,G2
170706_Poo_TruePoo_Half3,L-Alanine,3591721,G2
170706_Poo_TruePoo_Half4,L-Alanine,3887655,G2
170706_Poo_TruePoo_Half5,L-Alanine,4367762,G2
170706_Poo_TruePoo_Half6,L-Alanine,4818604,G2
170706_Poo_TruePoo_Half7,L-Alanine,4567752,G2
170706_Smp_S3E15D15_A,L-Alanine,1037000,G2
170706_Smp_S3E15D15_B,L-Alanine,1146461,G2
170706_Smp_S3E15D15_C,L-Alanine,591199,G2
170706_Smp_S3E15E15_Ds,L-Alanine,488396,G2
170706_Smp_S4E16D15_A,L-Alanine,1338321,G2
170706_Smp_S4E16D15_B,L-Alanine,625837,G2
170706_Smp_S4E16D15_C,L-Alanine,1162050,G2
170706_Smp_S4E16D15_Ds,L-Alanine,723775,G2
170706_Smp_S5E28D15_A,L-Alanine,1660865,G2
170706_Smp_S5E28D15_B,L-Alanine,1219739,G2
170706_Smp_S5E28D15_C,L-Alanine,5593327,G2
170706_Smp_S5E28D15_Ds,L-Alanine,1113721,G2
170706_Smp_S6E37D15_A,L-Alanine,22306652,G2
170706_Smp_S6E37D15_B,L-Alanine,28954848,G2
170706_Smp_S6E37D15_C,L-Alanine,27684954,G2
170706_Smp_S6E37D15_Ds,L-Alanine,2881040,G2
