SampID,Vol_L,Cruise
220628_Smp_MU2_C,10,KM1906
220628_Smp_MU3_A,10,KM1906
220628_Smp_MU3_B,10,KM1906
220628_Smp_MU3_C,10,KM1906
220628_Smp_MU4_A,10,KM1906
220628_Smp_MU4_B,10,KM1906
220628_Smp_MU4_C,10,KM1906
220628_Smp_MU5_A,10,KM1906
220628_Smp_MU5_B,10,KM1906
220628_Smp_MU5_C,10,KM1906
220628_Smp_MU6_A,10,KM1906
220628_Smp_MU6_B,10,KM1906
220628_Smp_MU6_C,10,KM1906
220628_Smp_MU7_A,10,KM1906
220628_Smp_MU7_B,10,KM1906
220628_Smp_MU7_C,10,KM1906
220628_Smp_MU8_A,10,KM1906
220628_Smp_MU8_B,10,KM1906
220628_Smp_MU8_C,10,KM1906
220628_Smp_MU9_A,10,KM1906
220628_Smp_MU9_B,10,KM1906
220628_Smp_MU9_C,10,KM1906
220628_Smp_MU10_A,10,KM1906
220628_Smp_MU10_B,10,KM1906
220628_Smp_MU10_C,10,KM1906
220628_Smp_MU11_A,10,KM1906
220628_Smp_MU11_B,10,KM1906
220628_Smp_MU11_C,10,KM1906
220628_Smp_MU12_A,10,KM1906
220628_Smp_MU12_B,10,KM1906
220628_Smp_MU12_C,10,KM1906
220628_Smp_MU13_A,10,KM1906
220628_Smp_MU13_B,10,KM1906
220628_Smp_MU13_C,10,KM1906
220628_Smp_MU14_A,10,KM1906
220628_Smp_MU14_B,10,KM1906
220628_Smp_MU14_C,10,KM1906
220628_Smp_MU14_BlkC,10,KM1906
220628_Smp_MU15_A,10,KM1906
220628_Smp_MU15_B,10,KM1906
220628_Smp_MU15_C,10,KM1906
220628_Smp_MU16_A,10,KM1906
220628_Smp_MU16_B,10,KM1906
220628_Smp_MU16_C,10,KM1906
220628_Smp_MU17_A,10,KM1906
220628_Smp_MU17_B,10,KM1906
220628_Smp_MU17_C,10,KM1906
220628_Smp_MU18_A,10,KM1906
220628_Smp_MU18_B,10,KM1906
220628_Smp_MU18_C,10,KM1906
220628_Smp_MU19_A,10,KM1906
220628_Smp_MU19_B,10,KM1906
220628_Smp_MU19_C,10,KM1906
