Rep,SampID,replicate,Cruise,Compound,smp.remove,Diss.Conc.nM.adj,Diss.Nmol.C.adj,Diss.Nmol.N.adj,LOD.nM.adj,LOD.Flag.2,Hom_nM,log10_Hom_nM,log10_GBT_nM_pred,GBT_nM_pred
220623_Smp_MU13_C,MU13,C,KM1906,Homarine,NA,0.1884030905232273,1.3188216336625909,0.1884030905232273,0.00259171336478548,NA,0.1884030905232273,-0.7249119774126999,0.5179550670133402,3.2957561185316306
220623_Smp_MU14_A,MU14,A,KM1906,Homarine,NA,1.7921835457055937,12.545284819939155,1.7921835457055937,0.00259171336478548,NA,1.7921835457055937,0.2533824856860933,1.0105186949759237,10.245158814636254
220623_Smp_MU14_B,MU14,B,KM1906,Homarine,NA,1.45092151972789,10.15645063809523,1.45092151972789,0.00259171336478548,NA,1.45092151972789,0.1616439221063177,0.9643290441035286,9.211472165086514
220623_Smp_MU14_C,MU14,C,KM1906,Homarine,NA,2.1630657049662143,15.1414599347635,2.1630657049662143,0.00259171336478548,NA,2.1630657049662143,0.3350697117048631,1.051647575822857,11.262831215157204
220623_Smp_MU15_A,MU15,A,KM1906,Homarine,NA,2.224970815929607,15.574795711507248,2.224970815929607,0.00259171336478548,NA,2.224970815929607,0.3473243188837576,1.0578176749075157,11.423986334053184
220623_Smp_MU15_B,MU15,B,KM1906,Homarine,NA,2.214459378581177,15.501215650068238,2.214459378581177,0.00259171336478548,NA,2.214459378581177,0.34526771811824974,1.056782192470949,11.396780724417216
220623_Smp_MU15_C,MU15,C,KM1906,Homarine,NA,2.376703020064001,16.63692114044801,2.376703020064001,0.00259171336478548,NA,2.376703020064001,0.3759749180322516,1.0722430280012896,11.809813192471672
220623_Smp_MU16_A,MU16,A,KM1906,Homarine,NA,3.388481727649818,23.719372093548724,3.388481727649818,0.00259171336478548,NA,3.388481727649818,0.5300051480541756,1.1497960468287594,14.118743451403484
220623_Smp_MU16_B,MU16,B,KM1906,Homarine,NA,3.500010524093738,24.50007366865616,3.500010524093738,0.00259171336478548,NA,3.500010524093738,0.5440693502214087,1.1568772628687114,14.350838031458846
220623_Smp_MU16_C,MU16,C,KM1906,Homarine,NA,2.5227629557162827,17.65934069001398,2.5227629557162827,0.00259171336478548,NA,2.5227629557162827,0.4018764451823401,1.0852842447964934,12.169822522901496
220623_Smp_MU17_A,MU17,A,KM1906,Homarine,NA,0.9117229690556228,6.38206078338936,0.9117229690556228,0.00259171336478548,NA,0.9117229690556228,-0.04013710387270352,0.8627338721392341,7.2901064871801875
220623_Smp_MU17_B,MU17,B,KM1906,Homarine,NA,1.0287310701274628,7.20111749089224,1.0287310701274628,0.00259171336478548,NA,1.0287310701274628,0.012301856759986097,0.8891364796057105,7.747052152418257
220623_Smp_MU2_A,MU2,A,KM1906,Homarine,NA,0.2087608475487362,1.4613259328411534,0.2087608475487362,0.00259171336478548,NA,0.2087608475487362,-0.6803509486196425,0.5403911972747018,3.4704931958569234
220623_Smp_MU2_B,MU2,B,KM1906,Homarine,NA,0.42844785196730056,2.999134963771104,0.42844785196730056,0.00259171336478548,NA,0.42844785196730056,-0.3681020301726404,0.6976060910506227,4.984321999477699
220623_Smp_MU2_C,MU2,C,KM1906,Homarine,NA,0.3895070952797767,2.7265496669584373,0.3895070952797767,0.00259171336478548,NA,0.3895070952797767,-0.4094846267904191,0.6767702765863362,4.750838601980323
220623_Smp_MU3_A,MU3,A,KM1906,Homarine,NA,0.06741806158885022,0.47192643112195154,0.06741806158885022,0.00259171336478548,NA,0.06741806158885022,-1.1712237385158515,0.29324057813133764,1.9644481847362716
220623_Smp_MU3_B,MU3,B,KM1906,Homarine,NA,0.17577547994500653,1.2304283596150456,0.17577547994500653,0.00259171336478548,NA,0.17577547994500653,-0.7550417075744691,0.5027849829969124,3.182621431815163
220623_Smp_MU3_C,MU3,C,KM1906,Homarine,NA,0.6125221047817749,4.287654733472425,0.6125221047817749,0.00259171336478548,NA,0.6125221047817749,-0.21287823380175863,0.7757600612206917,5.967055279540358
220623_Smp_MU4_A,MU4,A,KM1906,Homarine,NA,0.2424136899915706,1.6968958299409942,0.2424136899915706,0.00259171336478548,NA,0.2424136899915706,-0.6154428576084268,0.5730719145828007,3.741725421665439
220623_Smp_MU4_B,MU4,B,KM1906,Homarine,NA,0.11467078127674343,0.8026954689372041,0.11467078127674343,0.00259171336478548,NA,0.11467078127674343,-0.9405472285400671,0.40938440079952876,2.5667549060607553
220623_Smp_MU4_C,MU4,C,KM1906,Homarine,NA,0.11606663882315736,0.8124664717621015,0.11606663882315736,0.00259171336478548,NA,0.11606663882315736,-0.9352925921223009,0.4120300692308525,2.582438984676652
220623_Smp_MU5_A,MU5,A,KM1906,Homarine,NA,0.0829029465108022,0.5803206255756154,0.0829029465108022,0.00259171336478548,NA,0.0829029465108022,-1.081430033615692,0.33845100783542337,2.17997246361217
220623_Smp_MU5_B,MU5,B,KM1906,Homarine,NA,0.1309376082428066,0.916563257699646,0.1309376082428066,0.00259171336478548,NA,0.1309376082428066,-0.8829355963332064,0.43839140803819865,2.744046130270576
220623_Smp_MU5_C,MU5,C,KM1906,Homarine,NA,0.20561969041566464,1.4393378329096524,0.20561969041566464,0.00259171336478548,NA,0.20561969041566464,-0.6869352990668014,0.5370760282061203,3.4441021842601707
220623_Smp_MU6_A,MU6,A,KM1906,Homarine,NA,0.10109334574686003,0.7076534202280204,0.10109334574686003,0.00259171336478548,NA,0.10109334574686003,-0.9952774299730811,0.38182817146998993,2.4089521386543407
220623_Smp_MU6_B,MU6,B,KM1906,Homarine,NA,0.11523428176082076,0.8066399723257452,0.11523428176082076,0.00259171336478548,NA,0.11523428176082076,-0.9384183007329754,0.4104562993371224,2.5730978347290563
220623_Smp_MU6_C,MU6,C,KM1906,Homarine,NA,0.09975467573658275,0.6982827301560793,0.09975467573658275,0.00259171336478548,NA,0.09975467573658275,-1.0010667387589547,0.3789132996736875,2.3928380147926593
220623_Smp_MU7_A,MU7,A,KM1906,Homarine,NA,0.2332196101026479,1.6325372707185355,0.2332196101026479,0.00259171336478548,NA,0.2332196101026479,-0.6322349350395023,0.5646172346347205,3.6695873891352377
220623_Smp_MU7_B,MU7,B,KM1906,Homarine,NA,0.17977426088672557,1.2584198262070787,0.17977426088672557,0.00259171336478548,NA,0.17977426088672557,-0.7452724881036487,0.5077037087654994,3.2188720123507992
220623_Smp_MU7_C,MU7,C,KM1906,Homarine,NA,0.2013070584562748,1.4091494091939234,0.2013070584562748,0.00259171336478548,NA,0.2013070584562748,-0.6961409971189553,0.5324410310743426,3.4075405374340617
220623_Smp_MU8_A,MU8,A,KM1906,Homarine,NA,1.981716050607216,13.872012354250511,1.981716050607216,0.00259171336478548,NA,1.981716050607216,0.2970414268955914,1.032500631178484,10.7770681996995
220623_Smp_MU8_B,MU8,B,KM1906,Homarine,NA,0.5651171202627344,3.955819841839141,0.5651171202627344,0.00259171336478548,NA,0.5651171202627344,-0.24786153552105827,0.7581462418003239,5.729889434713057
220623_Smp_MU8_C,MU8,C,KM1906,Homarine,NA,0.6547353604389178,4.583147523072425,0.6547353604389178,0.00259171336478548,NA,0.6547353604389178,-0.1839342034054786,0.790333154657909,6.170681838077969
220623_Smp_MU9_A,MU9,A,KM1906,Homarine,NA,1.216336300294366,8.514354102060564,1.216336300294366,0.00259171336478548,NA,1.216336300294366,0.08505366800363172,0.9257664488416709,8.428813583612971
220623_Smp_MU9_B,MU9,B,KM1906,Homarine,NA,1.4685880866484653,10.280116606539258,1.4685880866484653,0.00259171336478548,NA,1.4685880866484653,0.16690000084046122,0.9669754387298931,9.267774085435866
220623_Smp_MU9_C,MU9,C,KM1906,Homarine,NA,1.5332067764863233,10.732447435404262,1.5332067764863233,0.00259171336478548,NA,1.5332067764863233,0.18560073008669306,0.9763911099725706,9.47089692303458
