Rep,SampID,replicate,Cruise,Compound,smp.remove,Diss.Conc.nM.adj,Diss.Nmol.C.adj,Diss.Nmol.N.adj,LOD.nM.adj,LOD.Flag.2,Hom_nM,log10_Hom_nM,log10_GBT_nM_pred,GBT_nM_pred
220623_Smp_MU1_A,MU1,A,KM1906,Homarine,NA,0.09155813399343105,0.6409069379540173,0.09155813399343105,0.00259171336478548,NA,0.09155813399343105,-1.0383030670745392,0.3601650989437831,2.2917387016658197
220623_Smp_MU1_B,MU1,B,KM1906,Homarine,NA,0.11256197172334068,0.7879338020633848,0.11256197172334068,0.00259171336478548,NA,0.11256197172334068,-0.9486083080656103,0.40532571016376723,2.542879087268844
220623_Smp_MU1_C,MU1,C,KM1906,Homarine,NA,0.23199894470625315,1.623992612943772,0.23199894470625315,0.00259171336478548,NA,0.23199894470625315,-0.6345139905801925,0.5634697479547952,3.6599044554119295
220623_Smp_MU10_A,MU10,A,KM1906,Homarine,NA,3.896301732918647,27.274112130430527,3.896301732918647,0.00259171336478548,NA,3.896301732918647,0.5906525816427907,1.180331556372997,15.14717197925751
220623_Smp_MU10_B,MU10,B,KM1906,Homarine,NA,3.944171013939201,27.60919709757441,3.944171013939201,0.00259171336478548,NA,3.944171013939201,0.5959557371008085,1.1830016537624646,15.240585572927122
220623_Smp_MU10_C,MU10,C,KM1906,Homarine,NA,5.7409620159046275,40.18673411133239,5.7409620159046275,0.00259171336478548,NA,5.7409620159046275,0.7589846734418062,1.2650854509993847,18.411342240836902
220623_Smp_MU11_A,MU11,A,KM1906,Homarine,NA,2.7261482986724777,19.083038090707344,2.7261482986724777,0.00259171336478548,NA,2.7261482986724777,0.43554947715651227,1.1022383536249958,12.654306626060292
220623_Smp_MU11_B,MU11,B,KM1906,Homarine,NA,3.795204635916923,26.566432451418464,3.795204635916923,0.00259171336478548,NA,3.795204635916923,0.5792351978477042,1.1745829927287386,14.94799668032296
220623_Smp_MU11_C,MU11,C,KM1906,Homarine,NA,3.2593266381120416,22.81528646678429,3.2593266381120416,0.00259171336478548,NA,3.2593266381120416,0.5131278860930034,1.1412984771345205,13.845175880850737
220623_Smp_MU12_A,MU12,A,KM1906,Homarine,NA,34.13483886256168,238.94387203793175,34.13483886256168,0.00259171336478548,NA,34.13483886256168,1.5331978570554134,1.6548957473075525,45.17474890591018
220623_Smp_MU12_B,MU12,B,KM1906,Homarine,NA,18.935210338260436,132.54647236782304,18.935210338260436,0.00259171336478548,NA,18.935210338260436,1.2772701337630754,1.5260381357845605,33.57670969557777
220623_Smp_MU12_C,MU12,C,KM1906,Homarine,NA,32.228539787066495,225.59977850946547,32.228539787066495,0.00259171336478548,NA,32.228539787066495,1.5082406289133414,1.6423299776939637,43.88640207667069
220623_Smp_MU13_A,MU13,A,KM1906,Homarine,NA,0.15027925442876805,1.0519547810013763,0.15027925442876805,0.00259171336478548,NA,0.15027925442876805,-0.8231009682418385,0.4685176763573722,2.9411534001280235
220623_Smp_MU13_B,MU13,B,KM1906,Homarine,NA,0.15678800879989316,1.097516061599252,0.15678800879989316,0.00259171336478548,NA,0.15678800879989316,-0.8046871553708184,0.477788887444108,3.004615390143928
