Cruise,Parent_ID,Part.SampID,Diss.SampID,Compound,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.detected,Part.Impute.Conc.nM,Diss.detected,Diss.Conc.Vial.uM,Diss.Conc.nM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,Diss.Impute.Conc.nM,Diss.LOD.nM,Diss.Conc.no.blk.sub.nM,Diss.LOD.no.blk.sub.nM
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Lysine,0.29595527644203745,0.02367642211536299,0.14205853269217797,0.04735284423072599,NA,Yes,0.00131826435746422,No,0.01552006441524375,-0.03386667437691315,-0.20320004626147892,-0.0677333487538263,NA,0.09615716340867614,0.09615716340867614,0.27615772980860764,0.40618156759419694
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Threonine,0.3958747759728502,0.03166998207782801,0.12667992831131206,0.03166998207782801,NA,Yes,0.00796499792478672,Yes,0.07325647198820429,0.71605417244095,2.8642166897638,0.71605417244095,NA,0.08520771691755569,0.08520771691755569,1.1777567843762746,0.5469103288528803
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Tyrosine,0.18489557027001055,0.01479164562160084,0.1331248105944076,0.01479164562160084,NA,Yes,7.354623781821395e-4,No,0.00242391857430189,-0.13253394233181678,-1.192805480986351,-0.13253394233181678,NA,0.24590414297677118,0.24590414297677118,0.08475239770286352,0.4631904830114515
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Proline betaine,0.13595927135876731,0.01087674170870138,0.07613719196090968,0.01087674170870138,NA,Yes,9.762530856877975e-5,Yes,0.00133157435800816,0.01818205623724692,0.12727439366072843,0.01818205623724692,NA,0.0014709316280489201,0.0014709316280489201,0.02287928450185844,0.00616815989266044
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Sarcosine,0.12141585269368034,0.00971326821549442,0.02913980464648328,0.00971326821549442,NA,Yes,0.00103835562067599,No,0.00520800718588935,-3.989435233834049e-4,-0.0011968305701502147,-3.989435233834049e-4,NA,0.05352048466864415,0.05352048466864415,0.12702456550949645,0.180943993701524
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Trigonelline,0.4059736161446358,0.03247788929157087,0.22734522504099608,0.03247788929157087,NA,Yes,2.311866422967845e-4,No,0.00529208345557349,0.030143189149898095,0.21100232404928665,0.030143189149898095,NA,0.04222405572512507,0.04222405572512507,0.09928862017961523,0.1113694867548422
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Trimethylamine N-oxide,1.394932096666521,0.11159456773332169,0.33478370319996503,0.11159456773332169,NA,Yes,0.00215966233479061,Yes,0.09138111249718205,1.6508429753541898,4.95252892606257,1.6508429753541898,NA,0.008889758156862722,0.008889758156862722,1.6705870657620117,0.02863384856468467
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,beta-Alanine,0.19688365483119769,0.01575069238649581,0.04725207715948745,0.01575069238649581,NA,Yes,0.00158033252129447,Yes,0.12358095501863556,0.5177610856483148,1.5532832569449444,0.5177610856483148,NA,0.24076849924504629,0.24076849924504629,1.5052491476082286,1.22825656120496
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,beta-Alaninebetaine,1.4384906943847968,0.11507925555078372,0.6904755333047023,0.11507925555078372,NA,Yes,2.0856590682921469e-4,Yes,0.01357627098310967,0.19744197577061026,1.1846518546236615,0.19744197577061026,NA,0.003140874411352971,0.003140874411352971,0.2050796221013546,0.01077852074209731
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,beta-Glutamic acid,0.09460054348039217,0.00756804347843137,0.03784021739215686,0.00756804347843137,NA,Yes,1.4916078302855232e-5,Yes,0.02634270496472406,0.41597568816402297,2.079878440820115,0.41597568816402297,NA,0.03335442870623739,0.03335442870623739,0.4979717384635928,0.1153504790058072
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Arsenobetaine,0.01596711003376409,0.00127736880270112,0.00638684401350563,NA,NA,Yes,7.172416308950602e-8,No,9.537962000641728e-6,4.012074485547989e-5,2.0060372427739944e-4,NA,NA,3.0268625195462507e-5,3.0268625195462507e-5,8.479248218570495e-5,7.494036252568757e-5
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Glycine betaine,3.995616002796541,0.31964928022372324,1.5982464011186162,0.31964928022372324,NA,Yes,0.02073280212406516,Yes,0.473643504460764,2.5368868854779696,12.684434427389847,2.5368868854779696,NA,0.9253683573019953,0.9253683573019953,4.7364350446076395,3.1249165164316652
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Homarine,0.2024668361318823,0.01619734689055058,0.11338142823385408,0.01619734689055058,NA,Yes,8.134817748601654e-6,Yes,0.02087346906823444,0.2020825008504032,1.4145775059528223,0.2020825008504032,NA,0.00385604127207847,0.00385604127207847,0.20873469068234443,0.01050823110401972
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Alanine,2.2262566043010046,0.17810052834408036,0.534301585032241,0.17810052834408036,NA,Yes,0.01521876918691134,No,0.34786948944735774,0.29241172343657995,0.8772351703097399,0.29241172343657995,NA,0.860831724703151,0.860831724703151,3.4786948944735774,4.047114895740148
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Isoleucine,6.387775408572218,0.5110220326857775,3.066132196114665,0.5110220326857775,NA,Yes,0.00769303031154675,Yes,0.15653579823240238,0.5080928120159567,3.04855687209574,0.5080928120159567,NA,0.2718333858525752,0.2718333858525752,2.6220401713970247,2.3857807452336433
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Proline,0.5143851779952179,0.04115081423961743,0.2057540711980871,0.04115081423961743,NA,Yes,0.00452681212718984,Yes,0.07159399436502949,0.3749011509116805,1.8745057545584025,0.3749011509116805,NA,0.12037087248387068,0.12037087248387068,0.7159399436502949,0.46140966522248505
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Taurine,2.439741846052719,0.19517934768421752,0.39035869536843504,0.19517934768421752,0.19517934768421752,Yes,4.110862563792879e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Isethionic acid,1.472708718880547,0.11781669751044375,0.2356333950208875,NA,0.11781669751044375,Yes,0.00286795590382824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,L-Cysteic acid,0.07637788242340399,0.00611023059387231,0.01833069178161695,0.00611023059387231,0.00611023059387231,Yes,4.315085842160201e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Sucrose,1.3495082208002085,0.10796065766401663,1.2955278919681998,NA,NA,Yes,0.02687229571510006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN397,TN397_S1_U_A,220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,Trehalose,0.14013809958608536,0.01121104796688683,0.13453257560264195,NA,NA,Yes,0.00277550980781775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
