Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
220902_Smp_TN397_U13_A,U13,A,TN397,L-Aspartic acid,30485536,NA,NA,NA
220902_Smp_TN397_U13_B,U13,B,TN397,L-Aspartic acid,30767022,NA,NA,NA
220902_Smp_TN397_U13_C,U13,C,TN397,L-Aspartic acid,31456368,NA,NA,NA
220902_Std_4uMStdsMix1InH2O_1,NA,NA,TN397,L-Glutamic acid,64043228,NA,NA,NA
220902_Std_4uMStdsMix1InH2O_2,NA,NA,TN397,L-Glutamic acid,92290592,NA,NA,NA
220902_Std_4uMStdsMix1InMatrix_1,NA,NA,TN397,L-Glutamic acid,418854720,NA,NA,NA
220902_Std_4uMStdsMix1InMatrix_2,NA,NA,TN397,L-Glutamic acid,485897216,NA,NA,NA
220902_Std_4uMStdsMix2InH2O_1,NA,NA,TN397,L-Glutamic acid,86975168,NA,NA,NA
220902_Std_4uMStdsMix2InH2O_2,NA,NA,TN397,L-Glutamic acid,104745960,NA,NA,NA
220902_Std_4uMStdsMix2InMatrix_1,NA,NA,TN397,L-Glutamic acid,320029184,NA,NA,NA
220902_Std_4uMStdsMix2InMatrix_2,NA,NA,TN397,L-Glutamic acid,383004832,NA,NA,NA
220902_Std_H2OinMatrix_1,NA,NA,TN397,L-Glutamic acid,367715552,NA,NA,NA
220902_Std_H2OinMatrix_2,NA,NA,TN397,L-Glutamic acid,323392832,NA,NA,NA
220902_Poo_TruePooG4_Full1,NA,NA,TN397,L-Glutamic acid,529187392,NA,NA,NA
220902_Poo_TruePooG4_Full2,NA,NA,TN397,L-Glutamic acid,367074464,NA,NA,NA
220902_Poo_TruePooG4_Full3,NA,NA,TN397,L-Glutamic acid,454713216,NA,NA,NA
220902_Poo_TruePooG4_Full4,NA,NA,TN397,L-Glutamic acid,582005120,NA,NA,NA
220902_Poo_TruePooG4_Half1,NA,NA,TN397,L-Glutamic acid,273060224,NA,NA,NA
220902_Poo_TruePooG4_Half2,NA,NA,TN397,L-Glutamic acid,192723552,NA,NA,NA
220902_Poo_TruePooG4_Half3,NA,NA,TN397,L-Glutamic acid,233769904,NA,NA,NA
220902_Poo_TruePooG4_Half4,NA,NA,TN397,L-Glutamic acid,268137984,NA,NA,NA
220902_Smp_FilterBlk1,NA,NA,TN397,L-Glutamic acid,395907,NA,NA,NA
220902_Smp_FilterBlk2,NA,NA,TN397,L-Glutamic acid,570169,NA,NA,NA
220902_Smp_FilterBlk3,NA,NA,TN397,L-Glutamic acid,893314,NA,NA,NA
220902_Smp_FilterBlk4,NA,NA,TN397,L-Glutamic acid,1102940,NA,NA,NA
220902_Smp_TN397_DFBlk1_A,NA,NA,TN397,L-Glutamic acid,16411978,NA,NA,NA
220902_Smp_TN397_DFBlk1_B,NA,NA,TN397,L-Glutamic acid,11251420,NA,NA,NA
220902_Smp_TN397_DFBlk1_C,NA,NA,TN397,L-Glutamic acid,12776689,NA,NA,NA
220902_Smp_TN397_MQBlk1_A,NA,NA,TN397,L-Glutamic acid,431553,NA,NA,NA
220902_Smp_TN397_MQBlk1_B,NA,NA,TN397,L-Glutamic acid,1243865,NA,NA,NA
220902_Smp_TN397_MQBlk1_C,NA,NA,TN397,L-Glutamic acid,537525,NA,NA,NA
220902_Smp_TN397_S1_U_A,S1,A,TN397,L-Glutamic acid,211981152,NA,NA,NA
220902_Smp_TN397_S1_U_B,S1,B,TN397,L-Glutamic acid,109300288,NA,NA,NA
220902_Smp_TN397_S1_U_C,S1,C,TN397,L-Glutamic acid,175995088,NA,NA,NA
220902_Smp_TN397_S2_U_A,S2,A,TN397,L-Glutamic acid,246825920,NA,NA,NA
220902_Smp_TN397_S2_U_B,S2,B,TN397,L-Glutamic acid,245573584,NA,NA,NA
220902_Smp_TN397_S2_U_C,S2,C,TN397,L-Glutamic acid,210119440,NA,NA,NA
220902_Smp_TN397_S3_U_A,S3,A,TN397,L-Glutamic acid,219798144,NA,NA,NA
220902_Smp_TN397_S3_U_B,S3,B,TN397,L-Glutamic acid,186995424,NA,NA,NA
220902_Smp_TN397_S3_U_C,S3,C,TN397,L-Glutamic acid,92381776,NA,NA,NA
220902_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,L-Glutamic acid,203450720,NA,NA,NA
220902_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,L-Glutamic acid,191752144,NA,NA,NA
220902_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,L-Glutamic acid,206834480,NA,NA,NA
220902_Smp_TN397_S4_U_600_A,S4_600,A,TN397,L-Glutamic acid,237645440,NA,NA,NA
220902_Smp_TN397_S4_U_600_B,S4_600,B,TN397,L-Glutamic acid,228631120,NA,NA,NA
220902_Smp_TN397_S4_U_600_C,S4_600,C,TN397,L-Glutamic acid,254190624,NA,NA,NA
220902_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,L-Glutamic acid,204792176,NA,NA,NA
220902_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,L-Glutamic acid,169218912,NA,NA,NA
220902_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,L-Glutamic acid,227071040,NA,NA,NA
220902_Smp_TN397_S6_U_A,S6,A,TN397,L-Glutamic acid,471282144,NA,NA,NA
220902_Smp_TN397_S6_U_B,S6,B,TN397,L-Glutamic acid,362166080,NA,NA,NA
220902_Smp_TN397_S6_U_C,S6,C,TN397,L-Glutamic acid,574361600,NA,NA,NA
220902_Smp_TN397_S7_600_U_A,S7_600,A,TN397,L-Glutamic acid,411358880,NA,NA,NA
220902_Smp_TN397_S7_600_U_B,S7_600,B,TN397,L-Glutamic acid,375216544,NA,NA,NA
220902_Smp_TN397_S7_600_U_C,S7_600,C,TN397,L-Glutamic acid,422346848,NA,NA,NA
220902_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,L-Glutamic acid,231170352,NA,NA,NA
220902_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,L-Glutamic acid,256093040,NA,NA,NA
220902_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,L-Glutamic acid,237821696,NA,NA,NA
220902_Smp_TN397_S8_U_A,S8,A,TN397,L-Glutamic acid,432194272,NA,NA,NA
220902_Smp_TN397_S8_U_B,S8,B,TN397,L-Glutamic acid,469420416,NA,NA,NA
220902_Smp_TN397_S8_U_C,S8,C,TN397,L-Glutamic acid,564328384,NA,NA,NA
220902_Smp_TN397_S9_600_U_A,S9_600,A,TN397,L-Glutamic acid,657159744,NA,NA,NA
220902_Smp_TN397_S9_600_U_B,S9_600,B,TN397,L-Glutamic acid,616155520,NA,NA,NA
220902_Smp_TN397_S9_600_U_C,S9_600,C,TN397,L-Glutamic acid,611397888,NA,NA,NA
220902_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,L-Glutamic acid,689162560,NA,NA,NA
220902_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,L-Glutamic acid,846300160,NA,NA,NA
220902_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,L-Glutamic acid,653300032,NA,NA,NA
220902_Smp_TN397_S9_BB_A,S9_BB,A,TN397,L-Glutamic acid,1230143360,NA,NA,NA
220902_Smp_TN397_S9_BB_B,S9_BB,B,TN397,L-Glutamic acid,1257319552,NA,NA,NA
220902_Smp_TN397_S10_U_A,S10,A,TN397,L-Glutamic acid,717877696,NA,NA,NA
220902_Smp_TN397_S10_U_B,S10,B,TN397,L-Glutamic acid,700550656,NA,NA,NA
220902_Smp_TN397_S10_U_C,S10,C,TN397,L-Glutamic acid,453669280,NA,NA,NA
220902_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Glutamic acid,642604544,NA,NA,NA
220902_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Glutamic acid,482908384,NA,NA,NA
220902_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Glutamic acid,472904480,NA,NA,NA
220902_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Glutamic acid,563758144,NA,NA,NA
220902_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Glutamic acid,365793088,NA,NA,NA
220902_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Glutamic acid,616325696,NA,NA,NA
220902_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Glutamic acid,426164448,NA,NA,NA
220902_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Glutamic acid,453715424,NA,NA,NA
220902_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Glutamic acid,520919872,NA,NA,NA
220902_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Glutamic acid,552773120,NA,NA,NA
220902_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Glutamic acid,569610944,NA,NA,NA
220902_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Glutamic acid,337944000,NA,NA,NA
220902_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Glutamic acid,560107328,NA,NA,NA
220902_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Glutamic acid,565856256,NA,NA,NA
220902_Smp_TN397_S12_Blk_A,NA,NA,TN397,L-Glutamic acid,14224737,NA,NA,NA
220902_Smp_TN397_S12_Blk_B,NA,NA,TN397,L-Glutamic acid,23618054,NA,NA,NA
220902_Smp_TN397_S12_Blk_C,NA,NA,TN397,L-Glutamic acid,18518672,NA,NA,NA
220902_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Glutamic acid,1026724160,NA,NA,NA
220902_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Glutamic acid,720361472,NA,NA,NA
220902_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Glutamic acid,742285632,NA,NA,NA
220902_Smp_TN397_S14_U_A,S14,A,TN397,L-Glutamic acid,627231232,NA,NA,NA
220902_Smp_TN397_S14_U_B,S14,B,TN397,L-Glutamic acid,524896800,NA,NA,NA
220902_Smp_TN397_S14_U_C,S14,C,TN397,L-Glutamic acid,677594240,NA,NA,NA
220902_Smp_TN397_S15_U_A,S15,A,TN397,L-Glutamic acid,703765568,NA,NA,NA
220902_Smp_TN397_S15_U_B,S15,B,TN397,L-Glutamic acid,585415680,NA,NA,NA
220902_Smp_TN397_S15_U_C,S15,C,TN397,L-Glutamic acid,639691712,NA,NA,NA
220902_Smp_TN397_S16_U_A,S16,A,TN397,L-Glutamic acid,277664320,NA,NA,NA
220902_Smp_TN397_S16_U_B,S16,B,TN397,L-Glutamic acid,328359680,NA,NA,NA
220902_Smp_TN397_S16_U_C,S16,C,TN397,L-Glutamic acid,322206400,NA,NA,NA
220902_Smp_TN397_S17_U_A,S17,A,TN397,L-Glutamic acid,286706656,NA,NA,NA
220902_Smp_TN397_S17_U_B,S17,B,TN397,L-Glutamic acid,272693728,NA,NA,NA
220902_Smp_TN397_S17_U_C,S17,C,TN397,L-Glutamic acid,446934144,NA,NA,NA
220902_Smp_TN397_S18_U_A,S18,A,TN397,L-Glutamic acid,370167936,NA,NA,NA
220902_Smp_TN397_S18_U_B,S18,B,TN397,L-Glutamic acid,247297568,NA,NA,NA
220902_Smp_TN397_S18_U_C,S18,C,TN397,L-Glutamic acid,310553440,NA,NA,NA
220902_Smp_TN397_U1_A,U1,A,TN397,L-Glutamic acid,521661600,NA,NA,NA
220902_Smp_TN397_U1_B,U1,B,TN397,L-Glutamic acid,514421856,NA,NA,NA
220902_Smp_TN397_U1_C,U1,C,TN397,L-Glutamic acid,565212992,NA,NA,NA
220902_Smp_TN397_U2_A,U2,A,TN397,L-Glutamic acid,360897888,NA,NA,NA
220902_Smp_TN397_U2_B,U2,B,TN397,L-Glutamic acid,602411328,NA,NA,NA
220902_Smp_TN397_U2_C,U2,C,TN397,L-Glutamic acid,338924064,NA,NA,NA
220902_Smp_TN397_U3_A,U3,A,TN397,L-Glutamic acid,497764864,NA,NA,NA
220902_Smp_TN397_U3_B,U3,B,TN397,L-Glutamic acid,513725184,NA,NA,NA
220902_Smp_TN397_U3_C,U3,C,TN397,L-Glutamic acid,298306752,NA,NA,NA
220902_Smp_TN397_U4_A,U4,A,TN397,L-Glutamic acid,581284096,NA,NA,NA
220902_Smp_TN397_U4_B,U4,B,TN397,L-Glutamic acid,642052864,NA,NA,NA
220902_Smp_TN397_U4_C,U4,C,TN397,L-Glutamic acid,534188096,NA,NA,NA
220902_Smp_TN397_U5_A,U5,A,TN397,L-Glutamic acid,474963936,NA,NA,NA
220902_Smp_TN397_U5_B,U5,B,TN397,L-Glutamic acid,467780768,NA,NA,NA
220902_Smp_TN397_U5_C,U5,C,TN397,L-Glutamic acid,67967256,NA,NA,NA
220902_Smp_TN397_U6_A,U6,A,TN397,L-Glutamic acid,168321792,NA,NA,NA
220902_Smp_TN397_U6_B,U6,B,TN397,L-Glutamic acid,212037712,NA,NA,NA
220902_Smp_TN397_U6_C,U6,C,TN397,L-Glutamic acid,152148256,NA,NA,NA
220902_Smp_TN397_U7_A,U7,A,TN397,L-Glutamic acid,143610896,NA,NA,NA
220902_Smp_TN397_U7_B,U7,B,TN397,L-Glutamic acid,130993384,NA,NA,NA
220902_Smp_TN397_U7_C,U7,C,TN397,L-Glutamic acid,150093536,NA,NA,NA
220902_Smp_TN397_U8_BB,U8_BB,NA,TN397,L-Glutamic acid,451774688,NA,NA,NA
220902_Smp_TN397_U9_A,U9,A,TN397,L-Glutamic acid,464255872,NA,NA,NA
220902_Smp_TN397_U9_B,U9,B,TN397,L-Glutamic acid,342938240,NA,NA,NA
220902_Smp_TN397_U9_C,U9,C,TN397,L-Glutamic acid,293900512,NA,NA,NA
220902_Smp_TN397_U10_A,U10,A,TN397,L-Glutamic acid,483282240,NA,NA,NA
220902_Smp_TN397_U10_B,U10,B,TN397,L-Glutamic acid,762231104,NA,NA,NA
220902_Smp_TN397_U10_C,U10,C,TN397,L-Glutamic acid,565541184,NA,NA,NA
220902_Smp_TN397_U11_A,U11,A,TN397,L-Glutamic acid,725712384,NA,NA,NA
220902_Smp_TN397_U11_B,U11,B,TN397,L-Glutamic acid,723962112,NA,NA,NA
220902_Smp_TN397_U11_C,U11,C,TN397,L-Glutamic acid,713178176,NA,NA,NA
220902_Smp_TN397_U12_A,U12,A,TN397,L-Glutamic acid,700751680,NA,NA,NA
220902_Smp_TN397_U12_B,U12,B,TN397,L-Glutamic acid,724740544,NA,NA,NA
220902_Smp_TN397_U12_C,U12,C,TN397,L-Glutamic acid,692984512,NA,NA,NA
220902_Smp_TN397_U13_A,U13,A,TN397,L-Glutamic acid,675434048,NA,NA,NA
220902_Smp_TN397_U13_B,U13,B,TN397,L-Glutamic acid,623318976,NA,NA,NA
220902_Smp_TN397_U13_C,U13,C,TN397,L-Glutamic acid,642399232,NA,NA,NA
220902_Std_4uMStdsMix1InH2O_1,NA,NA,TN397,L-Glutamine,135112672,NA,NA,NA
220902_Std_4uMStdsMix1InH2O_2,NA,NA,TN397,L-Glutamine,242742560,NA,NA,NA
220902_Std_4uMStdsMix1InMatrix_1,NA,NA,TN397,L-Glutamine,285988480,NA,NA,NA
220902_Std_4uMStdsMix1InMatrix_2,NA,NA,TN397,L-Glutamine,368315200,NA,NA,NA
220902_Std_4uMStdsMix2InH2O_1,NA,NA,TN397,L-Glutamine,44599,NA,NA,NA
220902_Std_4uMStdsMix2InH2O_2,NA,NA,TN397,L-Glutamine,0,NA,NA,NA
220902_Std_4uMStdsMix2InMatrix_1,NA,NA,TN397,L-Glutamine,122282496,NA,NA,NA
220902_Std_4uMStdsMix2InMatrix_2,NA,NA,TN397,L-Glutamine,153859536,NA,NA,NA
220902_Std_H2OinMatrix_1,NA,NA,TN397,L-Glutamine,126997208,NA,NA,NA
220902_Std_H2OinMatrix_2,NA,NA,TN397,L-Glutamine,131924232,NA,NA,NA
220902_Poo_TruePooG4_Full1,NA,NA,TN397,L-Glutamine,182586992,NA,NA,NA
220902_Poo_TruePooG4_Full2,NA,NA,TN397,L-Glutamine,158074960,NA,NA,NA
220902_Poo_TruePooG4_Full3,NA,NA,TN397,L-Glutamine,178560144,NA,NA,NA
220902_Poo_TruePooG4_Full4,NA,NA,TN397,L-Glutamine,169980496,NA,NA,NA
220902_Poo_TruePooG4_Half1,NA,NA,TN397,L-Glutamine,99793528,NA,NA,NA
220902_Poo_TruePooG4_Half2,NA,NA,TN397,L-Glutamine,80175800,NA,NA,NA
220902_Poo_TruePooG4_Half3,NA,NA,TN397,L-Glutamine,85605680,NA,NA,NA
220902_Poo_TruePooG4_Half4,NA,NA,TN397,L-Glutamine,93747840,NA,NA,NA
220902_Smp_FilterBlk1,NA,NA,TN397,L-Glutamine,63980,NA,NA,NA
220902_Smp_FilterBlk2,NA,NA,TN397,L-Glutamine,215340,NA,NA,NA
220902_Smp_FilterBlk3,NA,NA,TN397,L-Glutamine,61785,NA,NA,NA
220902_Smp_FilterBlk4,NA,NA,TN397,L-Glutamine,307115,NA,NA,NA
220902_Smp_TN397_DFBlk1_A,NA,NA,TN397,L-Glutamine,7074394,NA,NA,NA
220902_Smp_TN397_DFBlk1_B,NA,NA,TN397,L-Glutamine,2713765,NA,NA,NA
220902_Smp_TN397_DFBlk1_C,NA,NA,TN397,L-Glutamine,5388318,NA,NA,NA
220902_Smp_TN397_MQBlk1_A,NA,NA,TN397,L-Glutamine,101660,NA,NA,NA
220902_Smp_TN397_MQBlk1_B,NA,NA,TN397,L-Glutamine,155780,NA,NA,NA
220902_Smp_TN397_MQBlk1_C,NA,NA,TN397,L-Glutamine,18462,NA,NA,NA
220902_Smp_TN397_S1_U_A,S1,A,TN397,L-Glutamine,302245408,NA,NA,NA
220902_Smp_TN397_S1_U_B,S1,B,TN397,L-Glutamine,164470288,NA,NA,NA
220902_Smp_TN397_S1_U_C,S1,C,TN397,L-Glutamine,252867296,NA,NA,NA
220902_Smp_TN397_S2_U_A,S2,A,TN397,L-Glutamine,204997328,NA,NA,NA
220902_Smp_TN397_S2_U_B,S2,B,TN397,L-Glutamine,253784688,NA,NA,NA
220902_Smp_TN397_S2_U_C,S2,C,TN397,L-Glutamine,197638688,NA,NA,NA
220902_Smp_TN397_S3_U_A,S3,A,TN397,L-Glutamine,82595880,NA,NA,NA
220902_Smp_TN397_S3_U_B,S3,B,TN397,L-Glutamine,238513904,NA,NA,NA
220902_Smp_TN397_S3_U_C,S3,C,TN397,L-Glutamine,130018256,NA,NA,NA
220902_Smp_TN397_S4_2400_U_A,S4_2400,A,TN397,L-Glutamine,265395328,NA,NA,NA
220902_Smp_TN397_S4_2400_U_B,S4_2400,B,TN397,L-Glutamine,199379856,NA,NA,NA
220902_Smp_TN397_S4_2400_U_C,S4_2400,C,TN397,L-Glutamine,216545648,NA,NA,NA
220902_Smp_TN397_S4_U_600_A,S4_600,A,TN397,L-Glutamine,175429632,NA,NA,NA
220902_Smp_TN397_S4_U_600_B,S4_600,B,TN397,L-Glutamine,249498368,NA,NA,NA
220902_Smp_TN397_S4_U_600_C,S4_600,C,TN397,L-Glutamine,268499008,NA,NA,NA
220902_Smp_TN397_S4_U_1800_A,S4_1800,A,TN397,L-Glutamine,118037904,NA,NA,NA
220902_Smp_TN397_S4_U_1800_B,S4_1800,B,TN397,L-Glutamine,109818232,NA,NA,NA
220902_Smp_TN397_S4_U_1800_C,S4_1800,C,TN397,L-Glutamine,176441056,NA,NA,NA
220902_Smp_TN397_S6_U_A,S6,A,TN397,L-Glutamine,152041056,NA,NA,NA
220902_Smp_TN397_S6_U_B,S6,B,TN397,L-Glutamine,157935312,NA,NA,NA
220902_Smp_TN397_S6_U_C,S6,C,TN397,L-Glutamine,208330736,NA,NA,NA
220902_Smp_TN397_S7_600_U_A,S7_600,A,TN397,L-Glutamine,131559712,NA,NA,NA
220902_Smp_TN397_S7_600_U_B,S7_600,B,TN397,L-Glutamine,100309048,NA,NA,NA
220902_Smp_TN397_S7_600_U_C,S7_600,C,TN397,L-Glutamine,111541352,NA,NA,NA
220902_Smp_TN397_S7_1800_U_A,S7_1800,A,TN397,L-Glutamine,211800832,NA,NA,NA
220902_Smp_TN397_S7_1800_U_B,S7_1800,B,TN397,L-Glutamine,173815952,NA,NA,NA
220902_Smp_TN397_S7_1800_U_C,S7_1800,C,TN397,L-Glutamine,163356352,NA,NA,NA
220902_Smp_TN397_S8_U_A,S8,A,TN397,L-Glutamine,81157416,NA,NA,NA
220902_Smp_TN397_S8_U_B,S8,B,TN397,L-Glutamine,84553928,NA,NA,NA
220902_Smp_TN397_S8_U_C,S8,C,TN397,L-Glutamine,78815664,NA,NA,NA
220902_Smp_TN397_S9_600_U_A,S9_600,A,TN397,L-Glutamine,73972520,NA,NA,NA
220902_Smp_TN397_S9_600_U_B,S9_600,B,TN397,L-Glutamine,78554656,NA,NA,NA
220902_Smp_TN397_S9_600_U_C,S9_600,C,TN397,L-Glutamine,70412216,NA,NA,NA
220902_Smp_TN397_S9_1800_U_A,S9_1800,A,TN397,L-Glutamine,120272376,NA,NA,NA
220902_Smp_TN397_S9_1800_U_B,S9_1800,B,TN397,L-Glutamine,144682144,NA,NA,NA
220902_Smp_TN397_S9_1800_U_C,S9_1800,C,TN397,L-Glutamine,126149616,NA,NA,NA
220902_Smp_TN397_S9_BB_A,S9_BB,A,TN397,L-Glutamine,111372824,NA,NA,NA
220902_Smp_TN397_S9_BB_B,S9_BB,B,TN397,L-Glutamine,117744728,NA,NA,NA
220902_Smp_TN397_S10_U_A,S10,A,TN397,L-Glutamine,66722688,NA,NA,NA
220902_Smp_TN397_S10_U_B,S10,B,TN397,L-Glutamine,88463392,NA,NA,NA
220902_Smp_TN397_S10_U_C,S10,C,TN397,L-Glutamine,59228568,NA,NA,NA
220902_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Glutamine,111128896,NA,NA,NA
220902_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Glutamine,97515320,NA,NA,NA
220902_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Glutamine,98114728,NA,NA,NA
220902_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Glutamine,91793424,NA,NA,NA
220902_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Glutamine,102470384,NA,NA,NA
220902_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Glutamine,83394808,NA,NA,NA
220902_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Glutamine,61316200,NA,NA,NA
220902_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Glutamine,80412264,NA,NA,NA
220902_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Glutamine,67332040,NA,NA,NA
220902_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Glutamine,66802300,NA,NA,NA
220902_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Glutamine,68287248,NA,NA,NA
220902_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Glutamine,82068360,NA,NA,NA
220902_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Glutamine,128267704,NA,NA,NA
220902_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Glutamine,92505560,NA,NA,NA
220902_Smp_TN397_S12_Blk_A,NA,NA,TN397,L-Glutamine,3568028,NA,NA,NA
220902_Smp_TN397_S12_Blk_B,NA,NA,TN397,L-Glutamine,4624395,NA,NA,NA
220902_Smp_TN397_S12_Blk_C,NA,NA,TN397,L-Glutamine,3437727,NA,NA,NA
220902_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Glutamine,169451856,NA,NA,NA
220902_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Glutamine,117205856,NA,NA,NA
220902_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Glutamine,132674592,NA,NA,NA
220902_Smp_TN397_S14_U_A,S14,A,TN397,L-Glutamine,68933200,NA,NA,NA
220902_Smp_TN397_S14_U_B,S14,B,TN397,L-Glutamine,59000724,NA,NA,NA
220902_Smp_TN397_S14_U_C,S14,C,TN397,L-Glutamine,72748568,NA,NA,NA
220902_Smp_TN397_S15_U_A,S15,A,TN397,L-Glutamine,71073016,NA,NA,NA
220902_Smp_TN397_S15_U_B,S15,B,TN397,L-Glutamine,79938144,NA,NA,NA
220902_Smp_TN397_S15_U_C,S15,C,TN397,L-Glutamine,95921144,NA,NA,NA
220902_Smp_TN397_S16_U_A,S16,A,TN397,L-Glutamine,437022496,NA,NA,NA
220902_Smp_TN397_S16_U_B,S16,B,TN397,L-Glutamine,439336576,NA,NA,NA
220902_Smp_TN397_S16_U_C,S16,C,TN397,L-Glutamine,419980576,NA,NA,NA
220902_Smp_TN397_S17_U_A,S17,A,TN397,L-Glutamine,338299456,NA,NA,NA
220902_Smp_TN397_S17_U_B,S17,B,TN397,L-Glutamine,344918592,NA,NA,NA
220902_Smp_TN397_S17_U_C,S17,C,TN397,L-Glutamine,403963648,NA,NA,NA
220902_Smp_TN397_S18_U_A,S18,A,TN397,L-Glutamine,418267328,NA,NA,NA
220902_Smp_TN397_S18_U_B,S18,B,TN397,L-Glutamine,302941536,NA,NA,NA
220902_Smp_TN397_S18_U_C,S18,C,TN397,L-Glutamine,383028608,NA,NA,NA
220902_Smp_TN397_U1_A,U1,A,TN397,L-Glutamine,171333584,NA,NA,NA
220902_Smp_TN397_U1_B,U1,B,TN397,L-Glutamine,113058928,NA,NA,NA
220902_Smp_TN397_U1_C,U1,C,TN397,L-Glutamine,195904000,NA,NA,NA
220902_Smp_TN397_U2_A,U2,A,TN397,L-Glutamine,430019072,NA,NA,NA
220902_Smp_TN397_U2_B,U2,B,TN397,L-Glutamine,338527808,NA,NA,NA
220902_Smp_TN397_U2_C,U2,C,TN397,L-Glutamine,361718752,NA,NA,NA
220902_Smp_TN397_U3_A,U3,A,TN397,L-Glutamine,352281728,NA,NA,NA
220902_Smp_TN397_U3_B,U3,B,TN397,L-Glutamine,298610496,NA,NA,NA
220902_Smp_TN397_U3_C,U3,C,TN397,L-Glutamine,245578880,NA,NA,NA
220902_Smp_TN397_U4_A,U4,A,TN397,L-Glutamine,211962816,NA,NA,NA
220902_Smp_TN397_U4_B,U4,B,TN397,L-Glutamine,231499920,NA,NA,NA
220902_Smp_TN397_U4_C,U4,C,TN397,L-Glutamine,234572560,NA,NA,NA
220902_Smp_TN397_U5_A,U5,A,TN397,L-Glutamine,272603520,NA,NA,NA
220902_Smp_TN397_U5_B,U5,B,TN397,L-Glutamine,189528096,NA,NA,NA
220902_Smp_TN397_U5_C,U5,C,TN397,L-Glutamine,56337024,NA,NA,NA
220902_Smp_TN397_U6_A,U6,A,TN397,L-Glutamine,122070536,NA,NA,NA
220902_Smp_TN397_U6_B,U6,B,TN397,L-Glutamine,131607392,NA,NA,NA
220902_Smp_TN397_U6_C,U6,C,TN397,L-Glutamine,223439728,NA,NA,NA
220902_Smp_TN397_U7_A,U7,A,TN397,L-Glutamine,71932840,NA,NA,NA
220902_Smp_TN397_U7_B,U7,B,TN397,L-Glutamine,62732940,NA,NA,NA
220902_Smp_TN397_U7_C,U7,C,TN397,L-Glutamine,200685840,NA,NA,NA
220902_Smp_TN397_U8_BB,U8_BB,NA,TN397,L-Glutamine,365089792,NA,NA,NA
220902_Smp_TN397_U9_A,U9,A,TN397,L-Glutamine,103092680,NA,NA,NA
220902_Smp_TN397_U9_B,U9,B,TN397,L-Glutamine,111950144,NA,NA,NA
220902_Smp_TN397_U9_C,U9,C,TN397,L-Glutamine,76340416,NA,NA,NA
220902_Smp_TN397_U10_A,U10,A,TN397,L-Glutamine,97701888,NA,NA,NA
220902_Smp_TN397_U10_B,U10,B,TN397,L-Glutamine,89606856,NA,NA,NA
220902_Smp_TN397_U10_C,U10,C,TN397,L-Glutamine,88800888,NA,NA,NA
