Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
220628_Smp_MU17_C,MU17,C,KM1906,(3-Carboxypropyl)trimethylammonium,1121287168,NA,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,(3-Carboxypropyl)trimethylammonium,631034304,NA,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,(3-Carboxypropyl)trimethylammonium,714650048,NA,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,(3-Carboxypropyl)trimethylammonium,612489152,NA,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,(3-Carboxypropyl)trimethylammonium,3227670016,NA,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,(3-Carboxypropyl)trimethylammonium,3791580672,NA,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,(3-Carboxypropyl)trimethylammonium,3544271872,NA,NA,NA
220628_Smp_MU20_A,MU20,A,KM1906,(3-Carboxypropyl)trimethylammonium,466120800,NA,NA,NA
220628_Smp_MU20_B,MU20,B,KM1906,(3-Carboxypropyl)trimethylammonium,735786176,NA,NA,NA
220628_Smp_MU20_C,MU20,C,KM1906,(3-Carboxypropyl)trimethylammonium,605714944,NA,NA,NA
220628_Smp_MU21_A,MU21,A,KM1906,(3-Carboxypropyl)trimethylammonium,190352960,NA,NA,NA
220628_Smp_MU21_B,MU21,B,KM1906,(3-Carboxypropyl)trimethylammonium,303730784,NA,NA,NA
220628_Smp_MU21_C,MU21,C,KM1906,(3-Carboxypropyl)trimethylammonium,162898352,NA,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,(3-Carboxypropyl)trimethylammonium,132433120,NA,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,(3-Carboxypropyl)trimethylammonium,192531680,NA,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,(3-Carboxypropyl)trimethylammonium,197600848,NA,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,(3-Carboxypropyl)trimethylammonium,238709488,NA,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,(3-Carboxypropyl)trimethylammonium,244838736,NA,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,(3-Carboxypropyl)trimethylammonium,263227056,NA,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,(3-Carboxypropyl)trimethylammonium,240984832,NA,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,(3-Carboxypropyl)trimethylammonium,256097456,NA,NA,NA
220628_Smp_MU24_C,MU24,C,KM1906,(3-Carboxypropyl)trimethylammonium,188658576,NA,NA,NA
220628_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,3543614720,NA,NA,NA
220628_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,4216617472,NA,NA,NA
220628_Std_4uMStdsMix1InMatrix_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,3534635776,NA,NA,NA
220628_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,4037791488,NA,NA,NA
220628_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,152820,NA,NA,NA
220628_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,68251,NA,NA,NA
220628_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,2335652096,NA,NA,NA
220628_Std_4uMStdsMix2InMatrix_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,2312216064,NA,NA,NA
220628_Std_H2OinMatrix_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,506436192,NA,NA,NA
220628_Std_H2OinMatrix_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,326587008,NA,NA,NA
220713_Std_4uMStdsMix1InH2O_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,5147402240,NA,NA,NA
220713_Std_4uMStdsMix1InH2O_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,5247476736,NA,NA,NA
220713_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,224602,NA,NA,NA
220713_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,(3-Carboxypropyl)trimethylammonium,303138,NA,NA,NA
220628_Poo_TruePooG3_Full1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,31260448,NA,NA,NA
220628_Poo_TruePooG3_Full2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,30542002,NA,NA,NA
220628_Poo_TruePooG3_Full3,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,32906286,NA,NA,NA
220628_Poo_TruePooG3_Half1,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,20704278,NA,NA,NA
220628_Poo_TruePooG3_Half2,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,18108792,NA,NA,NA
220628_Poo_TruePooG3_Half3,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,16373324,NA,NA,NA
220628_Smp_MBlk1_A,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220628_Smp_MBlk1_B,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220628_Smp_MMQBlk1_A,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220628_Smp_MMQBlk1_B,NA,NA,KM1906,2-O-alpha-D-Glucosylglycerol,0,NA,NA,NA
220628_Smp_MU1_A,MU1,A,KM1906,2-O-alpha-D-Glucosylglycerol,1212517,NA,NA,NA
220628_Smp_MU1_B,MU1,B,KM1906,2-O-alpha-D-Glucosylglycerol,2110665,NA,NA,NA
220628_Smp_MU1_C,MU1,C,KM1906,2-O-alpha-D-Glucosylglycerol,4617950,NA,NA,NA
220628_Smp_MU2_A,MU2,A,KM1906,2-O-alpha-D-Glucosylglycerol,3468585,NA,NA,NA
220628_Smp_MU2_B,MU2,B,KM1906,2-O-alpha-D-Glucosylglycerol,4540902,NA,NA,NA
220628_Smp_MU2_C,MU2,C,KM1906,2-O-alpha-D-Glucosylglycerol,3747819,NA,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,2-O-alpha-D-Glucosylglycerol,3063269,NA,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,2-O-alpha-D-Glucosylglycerol,2074673,NA,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,2-O-alpha-D-Glucosylglycerol,1829587,NA,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,2-O-alpha-D-Glucosylglycerol,6820501,NA,NA,NA
220628_Smp_MU4_B,MU4,B,KM1906,2-O-alpha-D-Glucosylglycerol,10600643,NA,NA,NA
220628_Smp_MU4_C,MU4,C,KM1906,2-O-alpha-D-Glucosylglycerol,9175140,NA,NA,NA
220628_Smp_MU5_A,MU5,A,KM1906,2-O-alpha-D-Glucosylglycerol,3462193,NA,NA,NA
220628_Smp_MU5_B,MU5,B,KM1906,2-O-alpha-D-Glucosylglycerol,4856130,NA,NA,NA
220628_Smp_MU5_C,MU5,C,KM1906,2-O-alpha-D-Glucosylglycerol,3875142,NA,NA,NA
220628_Smp_MU6_A,MU6,A,KM1906,2-O-alpha-D-Glucosylglycerol,8907334,NA,NA,NA
220628_Smp_MU6_B,MU6,B,KM1906,2-O-alpha-D-Glucosylglycerol,7406971,NA,NA,NA
220628_Smp_MU6_C,MU6,C,KM1906,2-O-alpha-D-Glucosylglycerol,4477790,NA,NA,NA
220628_Smp_MU7_A,MU7,A,KM1906,2-O-alpha-D-Glucosylglycerol,3437063,NA,NA,NA
220628_Smp_MU7_B,MU7,B,KM1906,2-O-alpha-D-Glucosylglycerol,3822243,NA,NA,NA
220628_Smp_MU7_C,MU7,C,KM1906,2-O-alpha-D-Glucosylglycerol,4123530,NA,NA,NA
220628_Smp_MU8_A,MU8,A,KM1906,2-O-alpha-D-Glucosylglycerol,7016790,NA,NA,NA
220628_Smp_MU8_B,MU8,B,KM1906,2-O-alpha-D-Glucosylglycerol,9437902,NA,NA,NA
220628_Smp_MU8_C,MU8,C,KM1906,2-O-alpha-D-Glucosylglycerol,7700198,NA,NA,NA
220628_Smp_MU9_A,MU9,A,KM1906,2-O-alpha-D-Glucosylglycerol,8012471,NA,NA,NA
220628_Smp_MU9_B,MU9,B,KM1906,2-O-alpha-D-Glucosylglycerol,4124735,NA,NA,NA
220628_Smp_MU9_C,MU9,C,KM1906,2-O-alpha-D-Glucosylglycerol,8942638,NA,NA,NA
220628_Smp_MU10_A,MU10,A,KM1906,2-O-alpha-D-Glucosylglycerol,7773854,NA,NA,NA
220628_Smp_MU10_B,MU10,B,KM1906,2-O-alpha-D-Glucosylglycerol,13890918,NA,NA,NA
220628_Smp_MU10_C,MU10,C,KM1906,2-O-alpha-D-Glucosylglycerol,5744465,NA,NA,NA
220628_Smp_MU11_A,MU11,A,KM1906,2-O-alpha-D-Glucosylglycerol,72630752,NA,NA,NA
220628_Smp_MU11_B,MU11,B,KM1906,2-O-alpha-D-Glucosylglycerol,79212168,NA,NA,NA
220628_Smp_MU11_C,MU11,C,KM1906,2-O-alpha-D-Glucosylglycerol,68855496,NA,NA,NA
220628_Smp_MU14_A,MU14,A,KM1906,2-O-alpha-D-Glucosylglycerol,34129456,NA,NA,NA
220628_Smp_MU14_B,MU14,B,KM1906,2-O-alpha-D-Glucosylglycerol,29117530,NA,NA,NA
220628_Smp_MU14_C,MU14,C,KM1906,2-O-alpha-D-Glucosylglycerol,36130436,NA,NA,NA
220628_Smp_MU15_A,MU15,A,KM1906,2-O-alpha-D-Glucosylglycerol,37887068,NA,NA,NA
220628_Smp_MU15_B,MU15,B,KM1906,2-O-alpha-D-Glucosylglycerol,42936924,NA,NA,NA
220628_Smp_MU15_C,MU15,C,KM1906,2-O-alpha-D-Glucosylglycerol,30302600,NA,NA,NA
220628_Smp_MU16_A,MU16,A,KM1906,2-O-alpha-D-Glucosylglycerol,126708224,NA,NA,NA
220628_Smp_MU16_B,MU16,B,KM1906,2-O-alpha-D-Glucosylglycerol,131367104,NA,NA,NA
220628_Smp_MU16_C,MU16,C,KM1906,2-O-alpha-D-Glucosylglycerol,97536568,NA,NA,NA
220628_Smp_MU17_A,MU17,A,KM1906,2-O-alpha-D-Glucosylglycerol,181831232,NA,NA,NA
220628_Smp_MU17_B,MU17,B,KM1906,2-O-alpha-D-Glucosylglycerol,203099376,NA,NA,NA
220628_Smp_MU17_C,MU17,C,KM1906,2-O-alpha-D-Glucosylglycerol,237774848,NA,NA,NA
220628_Smp_MU18_A,MU18,A,KM1906,2-O-alpha-D-Glucosylglycerol,82181080,NA,NA,NA
220628_Smp_MU18_B,MU18,B,KM1906,2-O-alpha-D-Glucosylglycerol,73168624,NA,NA,NA
220628_Smp_MU18_C,MU18,C,KM1906,2-O-alpha-D-Glucosylglycerol,92564904,NA,NA,NA
220628_Smp_MU19_A,MU19,A,KM1906,2-O-alpha-D-Glucosylglycerol,23312528,NA,NA,NA
220628_Smp_MU19_B,MU19,B,KM1906,2-O-alpha-D-Glucosylglycerol,36637232,NA,NA,NA
220628_Smp_MU19_C,MU19,C,KM1906,2-O-alpha-D-Glucosylglycerol,25125794,NA,NA,NA
