Part.SampID,Diss.SampID,Cruise,Compound,compound.name.figure,order,class,Part.Conc.nM,Part.C.nM,Part.N.nM,Part.S.nM,Diss.Conc.nM.adj,Diss.N.nM.adj,Diss.S.nM.adj,Total.Conc.nM,Total.C.nM,Total.N.nM,Total.S.nM,Part.Flag,Diss.Flag,Tot.Flag,Diss.LOD.nM.adj,Lat,Long,depth_m,Local_Date,Local_Time,station,Region,Treatment
220628_Smp_MU4_B,220623_Smp_MU4_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.03478060717173098,0.24346425020211687,0.03478060717173098,NA,0.01473653673495606,0.01473653673495606,NA,0.049517143906687044,0.34662000734680926,0.049517143906687044,NA,NA,NA,NA,0.00313928717680363,27.47,-158,7,4/11/19,18:40:00,NA,NPSG,NA
220628_Smp_MU4_C,220623_Smp_MU4_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02720958801409596,0.19046711609867176,0.02720958801409596,NA,0.0211493469972306,0.0211493469972306,NA,0.048358935011326556,0.33851254507928596,0.048358935011326556,NA,NA,NA,NA,0.00313928717680363,27.47,-158,7,4/11/19,18:40:00,NA,NPSG,NA
220628_Smp_MU5_A,220623_Smp_MU5_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01624577247774397,0.1137204073442078,0.01624577247774397,NA,0.01251148204680168,0.01251148204680168,NA,0.028757254524545653,0.20130078167181958,0.028757254524545653,NA,NA,NA,NA,0.00313928717680363,29.28,-158,7,4/12/19,05:40:00,NA,NPSG,NA
220628_Smp_MU5_B,220623_Smp_MU5_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02139276145101531,0.14974933015710715,0.02139276145101531,NA,0.00314865290396103,0.00314865290396103,NA,0.02454141435497634,0.17178990048483442,0.02454141435497634,NA,NA,NA,NA,0.00313928717680363,29.28,-158,7,4/12/19,05:40:00,NA,NPSG,NA
220628_Smp_MU5_C,220623_Smp_MU5_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01995219385476075,0.13966535698332527,0.01995219385476075,NA,0.02815112586153637,0.02815112586153637,NA,0.04810331971629712,0.33672323801407983,0.04810331971629712,NA,NA,NA,NA,0.00313928717680363,29.28,-158,7,4/12/19,05:40:00,NA,NPSG,NA
220628_Smp_MU6_A,220623_Smp_MU6_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02880149956008477,0.2016104969205934,0.02880149956008477,NA,0.02459730098531459,0.02459730098531459,NA,0.05339880054539936,0.3737916038177955,0.05339880054539936,NA,NA,NA,NA,0.00313928717680363,31.1,-158,7,4/12/19,18:20:00,NA,NPSG,NA
220628_Smp_MU6_B,220623_Smp_MU6_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02449653331663242,0.17147573321642692,0.02449653331663242,NA,0.03385762946515444,0.03385762946515444,NA,0.05835416278178686,0.408479139472508,0.05835416278178686,NA,NA,NA,NA,0.00313928717680363,31.1,-158,7,4/12/19,18:20:00,NA,NPSG,NA
220628_Smp_MU6_C,220623_Smp_MU6_C,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.01957643019118542,0.13703501133829793,0.01957643019118542,NA,0.02876380666375887,0.02876380666375887,NA,0.04834023685494429,0.33838165798461006,0.04834023685494429,NA,NA,NA,NA,0.00313928717680363,31.1,-158,7,4/12/19,18:20:00,NA,NPSG,NA
220628_Smp_MU7_A,220623_Smp_MU7_A,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.02564459247207481,0.1795121473045237,0.02564459247207481,NA,0.01092234565733511,0.01092234565733511,NA,0.03656693812940992,0.25596856690586944,0.03656693812940992,NA,NA,NA,NA,0.00313928717680363,32.18,-158,7,4/13/19,05:45:00,NA,NPSG,NA
220628_Smp_MU7_B,220623_Smp_MU7_B,KM1906,(3-Carboxypropyl)trimethylammonium,TMAB,20,Betaine,0.03364815114406906,0.23553705800848343,0.03364815114406906,NA,0.0178011710149777,0.0178011710149777,NA,0.05144932215904677,0.36014525511332734,0.05144932215904677,NA,NA,NA,NA,0.00313928717680363,32.18,-158,7,4/13/19,05:45:00,NA,NPSG,NA
