Rep,Compound,Area,Cruise
220623_Std_4uMStdsMix1InH2O_1,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Std_4uMStdsMix1InH2O_2,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Std_4uMStdsMix1InMatrix_1,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Std_4uMStdsMix1InMatrix_2,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Std_4uMStdsMix2InH2O_1,2-O-alpha-D-Glucosylglycerol,7540535,KM1906
220623_Std_4uMStdsMix2InH2O_2,2-O-alpha-D-Glucosylglycerol,13480883,KM1906
220623_Std_4uMStdsMix2InMatrix_1,2-O-alpha-D-Glucosylglycerol,7664526,KM1906
220623_Std_4uMStdsMix2InMatrix_2,2-O-alpha-D-Glucosylglycerol,12777909,KM1906
220623_Std_H2OinMatrix_1,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Std_H2OinMatrix_2,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,2-O-alpha-D-Glucosylglycerol,5658,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk1_A,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk1_B,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk1_C,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk2_A,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk2_B,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk2_C,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk3_A,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk3_B,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk3_C,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk4_A,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk4_B,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_CXSPE_Blk4_C,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_MQBlk_1,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_MQBlk_2,2-O-alpha-D-Glucosylglycerol,5253,KM1906
220623_Smp_MQBlk_3,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_MQBlk_4,2-O-alpha-D-Glucosylglycerol,NA,KM1906
220623_Smp_MQBlk_5,2-O-alpha-D-Glucosylglycerol,5876,KM1906
