Region,compound.name.figure,mean.rank
PEDP,Hydroxyectoine,33
PEDP,Hydroxyisoleucine,2.65625
PEDP,Isethionic acid,3.75
PEDP,Proline,14.40625
PEDP,Proline betaine,29.1875
PEDP,Sarcosine,28.78125
PEDP,Sucrose,13.125
PEDP,TMAB,22.9375
PEDP,TMAO,20.75
PEDP,Taurine,7.125
PEDP,Threonine,18.1875
PEDP,Trehalose,25.28125
PEDP,Trigonelline,25.375
PEDP,beta-Alanine,21.09375
PEDP,beta-Alanine betaine,9.96875
PEDP,beta-Glutamic acid,21.21875
SS,(Iso)leucine,4.966666666666667
SS,Alanine,6.4
SS,Arsenobetaine,32.833333333333336
SS,Asparagine,16.766666666666666
SS,Aspartic acid,6.4
SS,Betonicine,29.866666666666667
SS,Carnitine,27.6
SS,DHPS,11.033333333333333
SS,DMSA,22.966666666666665
SS,DMSP,20.233333333333334
SS,Ectoine,15.733333333333333
SS,GBT,6.4
SS,GG,3.566666666666667
SS,Glutamic acid,1.8333333333333333
SS,Glutamine,19.833333333333332
SS,Gonyol,6.933333333333334
SS,Homarine,17.866666666666667
SS,Hydroxyectoine,32.166666666666664
SS,Hydroxyisoleucine,13.333333333333334
SS,Isethionic acid,4.733333333333333
SS,Proline,12.966666666666667
SS,Proline betaine,29.866666666666667
SS,Sarcosine,26.2
SS,Sucrose,19.8
SS,TMAB,20.133333333333333
SS,TMAO,20.366666666666667
SS,Taurine,9.766666666666667
SS,Threonine,15.2
SS,Trehalose,26.4
SS,Trigonelline,24.933333333333334
SS,beta-Alanine,21
SS,beta-Alanine betaine,10.133333333333333
SS,beta-Glutamic acid,22.766666666666666
