SampID,MF,Area,Batch
220111_Smp_SA7_A,"Cytosine, 13C2, 15N3",134510448,Bacteria
220111_Smp_SA7_B,"Cytosine, 13C2, 15N3",128883520,Bacteria
220111_Smp_SA7_C,"Cytosine, 13C2, 15N3",124491184,Bacteria
220111_Smp_SA11_A,"Cytosine, 13C2, 15N3",130454504,Bacteria
220111_Smp_SA11_B,"Cytosine, 13C2, 15N3",138363456,Bacteria
220111_Smp_SA11_C,"Cytosine, 13C2, 15N3",151020544,Bacteria
220111_Smp_SA16_A,"Cytosine, 13C2, 15N3",152629872,Bacteria
220111_Smp_SA16_B,"Cytosine, 13C2, 15N3",134294880,Bacteria
220111_Smp_SA16_C,"Cytosine, 13C2, 15N3",142907664,Bacteria
220111_Smp_SA36_A,"Cytosine, 13C2, 15N3",136325712,Bacteria
220111_Smp_SA36_B,"Cytosine, 13C2, 15N3",131787312,Bacteria
220111_Smp_SA36_C,"Cytosine, 13C2, 15N3",153308000,Bacteria
220111_Smp_SA42_A,"Cytosine, 13C2, 15N3",135510128,Bacteria
220111_Smp_SA44_B,"Cytosine, 13C2, 15N3",152860288,Bacteria
220111_Smp_SA44_C,"Cytosine, 13C2, 15N3",146585056,Bacteria
220111_Smp_SA48_A,"Cytosine, 13C2, 15N3",133155944,Bacteria
220111_Smp_SA48_B,"Cytosine, 13C2, 15N3",144515024,Bacteria
220111_Smp_SA48_C,"Cytosine, 13C2, 15N3",150737984,Bacteria
220111_Smp_SA53_A,"Cytosine, 13C2, 15N3",149135360,Bacteria
220111_Smp_SA53_B,"Cytosine, 13C2, 15N3",162353472,Bacteria
220111_Smp_SA53_C,"Cytosine, 13C2, 15N3",154361792,Bacteria
220111_Smp_SA55_A,"Cytosine, 13C2, 15N3",131926304,Bacteria
220111_Smp_SA55_B,"Cytosine, 13C2, 15N3",105303528,Bacteria
220111_Smp_SA55_C,"Cytosine, 13C2, 15N3",102703400,Bacteria
220111_Smp_SA59_A,"Cytosine, 13C2, 15N3",155178176,Bacteria
220111_Smp_SA59_B,"Cytosine, 13C2, 15N3",134253296,Bacteria
220111_Smp_SA59_C,"Cytosine, 13C2, 15N3",135793904,Bacteria
220111_Smp_SA60_A,"Cytosine, 13C2, 15N3",131057944,Bacteria
220111_Smp_SA60_B,"Cytosine, 13C2, 15N3",163647232,Bacteria
220111_Smp_SCM1_Exp1,"Cytosine, 13C2, 15N3",25556664,Bacteria
220111_Smp_SCM1_Exp2,"Cytosine, 13C2, 15N3",22941132,Bacteria
220111_Smp_SCM1_Exp3,"Cytosine, 13C2, 15N3",20999292,Bacteria
220111_Smp_SCM1_St1,"Cytosine, 13C2, 15N3",22861628,Bacteria
220111_Smp_SCM1_St2,"Cytosine, 13C2, 15N3",36892156,Bacteria
220111_Smp_SCM1_St3,"Cytosine, 13C2, 15N3",35735096,Bacteria
220111_Smp_SCM1_St4,"Cytosine, 13C2, 15N3",22132332,Bacteria
220111_Blk_MediaBlk_A,"DL-Alanine, 2H3",15012478,Bacteria
220111_Blk_MediaBlk_AMS,"DL-Alanine, 2H3",13646416,Bacteria
220111_Blk_MediaBlk_AOA,"DL-Alanine, 2H3",14773636,Bacteria
220111_Blk_MediaBlk_B,"DL-Alanine, 2H3",14564536,Bacteria
220111_Poo_TruePooBacteria_Full1,"DL-Alanine, 2H3",19925814,Bacteria
220111_Poo_TruePooBacteria_Full2,"DL-Alanine, 2H3",17180904,Bacteria
220111_Poo_TruePooBacteria_Full3,"DL-Alanine, 2H3",21632442,Bacteria
220111_Poo_TruePooBacteria_Half1,"DL-Alanine, 2H3",9912262,Bacteria
220111_Poo_TruePooBacteria_Half2,"DL-Alanine, 2H3",10001883,Bacteria
220111_Poo_TruePooBacteria_Half3,"DL-Alanine, 2H3",11977766,Bacteria
220111_Smp_DSS3_A,"DL-Alanine, 2H3",12983153,Bacteria
220111_Smp_DSS3_B,"DL-Alanine, 2H3",12681833,Bacteria
220111_Smp_DSS3_C,"DL-Alanine, 2H3",13205246,Bacteria
220111_Smp_Och_A,"DL-Alanine, 2H3",13679690,Bacteria
220111_Smp_Och_B,"DL-Alanine, 2H3",13874924,Bacteria
220111_Smp_Och_C,"DL-Alanine, 2H3",14306609,Bacteria
220111_Smp_SA7_A,"DL-Alanine, 2H3",13432894,Bacteria
220111_Smp_SA7_B,"DL-Alanine, 2H3",14407484,Bacteria
220111_Smp_SA7_C,"DL-Alanine, 2H3",13475105,Bacteria
220111_Smp_SA11_A,"DL-Alanine, 2H3",12120139,Bacteria
220111_Smp_SA11_B,"DL-Alanine, 2H3",12037375,Bacteria
220111_Smp_SA11_C,"DL-Alanine, 2H3",13283309,Bacteria
220111_Smp_SA16_A,"DL-Alanine, 2H3",14712161,Bacteria
220111_Smp_SA16_B,"DL-Alanine, 2H3",12188730,Bacteria
220111_Smp_SA16_C,"DL-Alanine, 2H3",11917983,Bacteria
220111_Smp_SA36_A,"DL-Alanine, 2H3",10623621,Bacteria
220111_Smp_SA36_B,"DL-Alanine, 2H3",12709306,Bacteria
220111_Smp_SA36_C,"DL-Alanine, 2H3",12284353,Bacteria
220111_Smp_SA42_A,"DL-Alanine, 2H3",15189409,Bacteria
220111_Smp_SA44_B,"DL-Alanine, 2H3",12343714,Bacteria
220111_Smp_SA44_C,"DL-Alanine, 2H3",12786807,Bacteria
220111_Smp_SA48_A,"DL-Alanine, 2H3",13856658,Bacteria
220111_Smp_SA48_B,"DL-Alanine, 2H3",12355958,Bacteria
220111_Smp_SA48_C,"DL-Alanine, 2H3",13969565,Bacteria
220111_Smp_SA53_A,"DL-Alanine, 2H3",12030023,Bacteria
220111_Smp_SA53_B,"DL-Alanine, 2H3",13550370,Bacteria
220111_Smp_SA53_C,"DL-Alanine, 2H3",14151721,Bacteria
220111_Smp_SA55_A,"DL-Alanine, 2H3",14449233,Bacteria
220111_Smp_SA55_B,"DL-Alanine, 2H3",13122141,Bacteria
220111_Smp_SA55_C,"DL-Alanine, 2H3",15269724,Bacteria
220111_Smp_SA59_A,"DL-Alanine, 2H3",12237513,Bacteria
220111_Smp_SA59_B,"DL-Alanine, 2H3",12310981,Bacteria
220111_Smp_SA59_C,"DL-Alanine, 2H3",13345524,Bacteria
220111_Smp_SA60_A,"DL-Alanine, 2H3",12583671,Bacteria
220111_Smp_SA60_B,"DL-Alanine, 2H3",13961071,Bacteria
220111_Smp_SCM1_Exp1,"DL-Alanine, 2H3",14957866,Bacteria
220111_Smp_SCM1_Exp2,"DL-Alanine, 2H3",13733454,Bacteria
220111_Smp_SCM1_Exp3,"DL-Alanine, 2H3",15209317,Bacteria
220111_Smp_SCM1_St1,"DL-Alanine, 2H3",15227423,Bacteria
220111_Smp_SCM1_St2,"DL-Alanine, 2H3",13461400,Bacteria
220111_Smp_SCM1_St3,"DL-Alanine, 2H3",14888951,Bacteria
220111_Smp_SCM1_St4,"DL-Alanine, 2H3",14869671,Bacteria
220111_Blk_MediaBlk_A,"Glycine betaine, 13C5, 15N",574726144,Bacteria
220111_Blk_MediaBlk_AMS,"Glycine betaine, 13C5, 15N",592145792,Bacteria
220111_Blk_MediaBlk_AOA,"Glycine betaine, 13C5, 15N",615702208,Bacteria
220111_Blk_MediaBlk_B,"Glycine betaine, 13C5, 15N",578932288,Bacteria
220111_Poo_TruePooBacteria_Full1,"Glycine betaine, 13C5, 15N",572571072,Bacteria
220111_Poo_TruePooBacteria_Full2,"Glycine betaine, 13C5, 15N",615149888,Bacteria
220111_Poo_TruePooBacteria_Full3,"Glycine betaine, 13C5, 15N",610069632,Bacteria
220111_Poo_TruePooBacteria_Half1,"Glycine betaine, 13C5, 15N",287806208,Bacteria
220111_Poo_TruePooBacteria_Half2,"Glycine betaine, 13C5, 15N",296659392,Bacteria
220111_Poo_TruePooBacteria_Half3,"Glycine betaine, 13C5, 15N",316479776,Bacteria
220111_Smp_DSS3_A,"Glycine betaine, 13C5, 15N",590745152,Bacteria
220111_Smp_DSS3_B,"Glycine betaine, 13C5, 15N",580105984,Bacteria
220111_Smp_DSS3_C,"Glycine betaine, 13C5, 15N",584185216,Bacteria
220111_Smp_Och_A,"Glycine betaine, 13C5, 15N",537152128,Bacteria
220111_Smp_Och_B,"Glycine betaine, 13C5, 15N",508808896,Bacteria
220111_Smp_Och_C,"Glycine betaine, 13C5, 15N",497198304,Bacteria
220111_Smp_SA7_A,"Glycine betaine, 13C5, 15N",527621952,Bacteria
220111_Smp_SA7_B,"Glycine betaine, 13C5, 15N",527641152,Bacteria
220111_Smp_SA7_C,"Glycine betaine, 13C5, 15N",493025312,Bacteria
220111_Smp_SA11_A,"Glycine betaine, 13C5, 15N",516913920,Bacteria
220111_Smp_SA11_B,"Glycine betaine, 13C5, 15N",561071424,Bacteria
220111_Smp_SA11_C,"Glycine betaine, 13C5, 15N",576485056,Bacteria
220111_Smp_SA16_A,"Glycine betaine, 13C5, 15N",557897664,Bacteria
220111_Smp_SA16_B,"Glycine betaine, 13C5, 15N",515115008,Bacteria
220111_Smp_SA16_C,"Glycine betaine, 13C5, 15N",539312448,Bacteria
220111_Smp_SA36_A,"Glycine betaine, 13C5, 15N",540211392,Bacteria
220111_Smp_SA36_B,"Glycine betaine, 13C5, 15N",506322912,Bacteria
220111_Smp_SA36_C,"Glycine betaine, 13C5, 15N",600781312,Bacteria
220111_Smp_SA42_A,"Glycine betaine, 13C5, 15N",521736800,Bacteria
220111_Smp_SA44_B,"Glycine betaine, 13C5, 15N",551205696,Bacteria
220111_Smp_SA44_C,"Glycine betaine, 13C5, 15N",524858752,Bacteria
220111_Smp_SA48_A,"Glycine betaine, 13C5, 15N",505595104,Bacteria
220111_Smp_SA48_B,"Glycine betaine, 13C5, 15N",522337824,Bacteria
220111_Smp_SA48_C,"Glycine betaine, 13C5, 15N",548092160,Bacteria
220111_Smp_SA53_A,"Glycine betaine, 13C5, 15N",567084032,Bacteria
220111_Smp_SA53_B,"Glycine betaine, 13C5, 15N",625758720,Bacteria
220111_Smp_SA53_C,"Glycine betaine, 13C5, 15N",595943168,Bacteria
220111_Smp_SA55_A,"Glycine betaine, 13C5, 15N",587107136,Bacteria
220111_Smp_SA55_B,"Glycine betaine, 13C5, 15N",540756480,Bacteria
220111_Smp_SA55_C,"Glycine betaine, 13C5, 15N",571793216,Bacteria
220111_Smp_SA59_A,"Glycine betaine, 13C5, 15N",585455488,Bacteria
220111_Smp_SA59_B,"Glycine betaine, 13C5, 15N",503340160,Bacteria
220111_Smp_SA59_C,"Glycine betaine, 13C5, 15N",505943936,Bacteria
220111_Smp_SA60_A,"Glycine betaine, 13C5, 15N",500210080,Bacteria
220111_Smp_SA60_B,"Glycine betaine, 13C5, 15N",615129856,Bacteria
220111_Smp_SCM1_Exp1,"Glycine betaine, 13C5, 15N",524420064,Bacteria
