Cruise,SampID,Compound,detected,Diss.Conc.Vial.uM,Diss.Conc.nM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,impute.conc.nM,LOD.nM,Diss.Conc.no.blk.sub.nM,LOD.no.blk.sub.nM
KM1906,220623_Smp_MU1_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00164602518032336,0.0311602873277382,0.2181220112941674,0.0311602873277382,NA,0.0031392871768036396,0.0031392871768036396,0.0351714782120377,0.00715047806110314
KM1906,220623_Smp_MU1_B,(3-Carboxypropyl)trimethylammonium,Yes,6.757580414775618e-4,0.010428083506246688,0.07299658454372682,0.010428083506246688,NA,0.0031392871768036396,0.0031392871768036396,0.01443927439054619,0.00715047806110314
KM1906,220623_Smp_MU1_C,(3-Carboxypropyl)trimethylammonium,Yes,7.102310100432201e-4,0.011164685398675281,0.07815279779072697,0.011164685398675281,NA,0.0031392871768036396,0.0031392871768036396,0.01517587628297478,0.00715047806110314
KM1906,220623_Smp_MU10_A,(3-Carboxypropyl)trimethylammonium,Yes,0.01343595885111198,0.2830819469599737,1.9815736287198158,0.2830819469599737,NA,0.0031392871768036396,0.0031392871768036396,0.2870931378442732,0.00715047806110314
KM1906,220623_Smp_MU10_B,(3-Carboxypropyl)trimethylammonium,Yes,0.01066516799669543,0.22387701417329534,1.5671390992130674,0.22387701417329534,NA,0.0031392871768036396,0.0031392871768036396,0.22788820505759483,0.00715047806110314
KM1906,220623_Smp_MU10_C,(3-Carboxypropyl)trimethylammonium,Yes,0.00935602499819507,0.1959038731796978,1.3713271122578845,0.1959038731796978,NA,0.0031392871768036396,0.0031392871768036396,0.19991506406399728,0.00715047806110314
KM1906,220623_Smp_MU11_A,(3-Carboxypropyl)trimethylammonium,Yes,0.00455512233964935,0.09332048303983194,0.6532433812788235,0.09332048303983194,NA,0.0031392871768036396,0.0031392871768036396,0.09733167392413145,0.00715047806110314
KM1906,220623_Smp_MU11_B,(3-Carboxypropyl)trimethylammonium,Yes,0.00583814195502642,0.12073543208635065,0.8451480246044546,0.12073543208635065,NA,0.0031392871768036396,0.0031392871768036396,0.12474662297065016,0.00715047806110314
KM1906,220623_Smp_MU11_C,(3-Carboxypropyl)trimethylammonium,Yes,0.00477720406019955,0.09806581894902422,0.6864607326431695,0.09806581894902422,NA,0.0031392871768036396,0.0031392871768036396,0.10207700983332373,0.00715047806110314
KM1906,220623_Smp_MU12_A,(3-Carboxypropyl)trimethylammonium,Yes,0.07413930713754804,1.5801620385504878,11.061134269853415,1.5801620385504878,NA,0.0031392871768036396,0.0031392871768036396,1.5841732294347872,0.00715047806110314
