Part.SampID,Diss.SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,UTC.time.round,sst,sss,lat,lon,chla,pc,pn,N_N,SRP,bact_abu,bact_c,chla_interp,pc_interp,pn_interp,N_N_interp,SRP_interp,bact_abu_interp,bact_c_interp,DON,pp_13c,pp_14c,DON_interp,pp_13c_interp,pp_14c_interp
220902_Smp_TN397_S1_U_A,220602_Smp_TN397_S1_U_A,TN397,28.32288,-124.13627,20/11/2021,06:22:00,7,2021-11-20T14:00:00Z,19.653716555555555,33.453830833333335,28.59020964442593,-124.13926179377778,NA,1.2024732609467603,0.2050536367020175,NA,NA,NA,NA,0.0950451886428907,1.2024732609467603,0.2050536367020175,0.0026391615390881,NA,NA,NA,NA,NA,NA,4.653474053100335,2.275476322522287,NA
220902_Smp_TN397_S1_U_B,220602_Smp_TN397_S1_U_B,TN397,28.32288,-124.13627,20/11/2021,06:22:00,7,2021-11-20T14:00:00Z,19.653716555555555,33.453830833333335,28.59020964442593,-124.13926179377778,NA,1.2024732609467603,0.2050536367020175,NA,NA,NA,NA,0.0950451886428907,1.2024732609467603,0.2050536367020175,0.0026391615390881,NA,NA,NA,NA,NA,NA,4.653474053100335,2.275476322522287,NA
220902_Smp_TN397_S1_U_C,220602_Smp_TN397_S1_U_C,TN397,28.32288,-124.13627,20/11/2021,06:22:00,7,2021-11-20T14:00:00Z,19.653716555555555,33.453830833333335,28.59020964442593,-124.13926179377778,NA,1.2024732609467603,0.2050536367020175,NA,NA,NA,NA,0.0950451886428907,1.2024732609467603,0.2050536367020175,0.0026391615390881,NA,NA,NA,NA,NA,NA,4.653474053100335,2.275476322522287,NA
220902_Smp_TN397_S2_U_A,220602_Smp_TN397_S2_U_A,TN397,27.0673,-126.6739,21/11/2021,06:45:00,7,2021-11-21T15:00:00Z,20.515452944444444,33.854922944444446,27.067341157851853,-126.67388027462962,0.06553447807035863,NA,NA,0.003,NA,NA,NA,0.06553447807035863,1.2262864054732383,0.1841865711547452,0.003,NA,364.5445655771846,4.260700590507854,4.45,NA,3.005597847846022,4.45,2.7529523932587554,3.005597847846022
220902_Smp_TN397_S2_U_B,220602_Smp_TN397_S2_U_B,TN397,27.0673,-126.6739,21/11/2021,06:45:00,7,2021-11-21T15:00:00Z,20.515452944444444,33.854922944444446,27.067341157851853,-126.67388027462962,0.06553447807035863,NA,NA,0.003,NA,NA,NA,0.06553447807035863,1.2262864054732383,0.1841865711547452,0.003,NA,364.5445655771846,4.260700590507854,4.45,NA,3.005597847846022,4.45,2.7529523932587554,3.005597847846022
220902_Smp_TN397_S2_U_C,220602_Smp_TN397_S2_U_C,TN397,27.0673,-126.6739,21/11/2021,06:45:00,7,2021-11-21T15:00:00Z,20.515452944444444,33.854922944444446,27.067341157851853,-126.67388027462962,0.06553447807035863,NA,NA,0.003,NA,NA,NA,0.06553447807035863,1.2262864054732383,0.1841865711547452,0.003,NA,364.5445655771846,4.260700590507854,4.45,NA,3.005597847846022,4.45,2.7529523932587554,3.005597847846022
220902_Smp_TN397_S3_U_A,220602_Smp_TN397_S3_U_A,TN397,21,-135,23/11/2021,06:10:00,7,2021-11-23T15:00:00Z,23.6995645,34.88767061111111,21.740224036,-135.3132872850463,0.05932546089105074,NA,NA,NA,NA,NA,NA,0.05932546089105074,1.3772827596613069,0.23948307612485495,0.001,NA,385.8101582828163,4.23796773119546,NA,2.92,3.681260305192695,4.777357220102159,2.92,3.681260305192695
220902_Smp_TN397_S3_U_B,220602_Smp_TN397_S3_U_B,TN397,21,-135,23/11/2021,06:10:00,7,2021-11-23T15:00:00Z,23.6995645,34.88767061111111,21.740224036,-135.3132872850463,0.05932546089105074,NA,NA,NA,NA,NA,NA,0.05932546089105074,1.3772827596613069,0.23948307612485495,0.001,NA,385.8101582828163,4.23796773119546,NA,2.92,3.681260305192695,4.777357220102159,2.92,3.681260305192695
220902_Smp_TN397_S3_U_C,220602_Smp_TN397_S3_U_C,TN397,21,-135,23/11/2021,06:10:00,7,2021-11-23T15:00:00Z,23.6995645,34.88767061111111,21.740224036,-135.3132872850463,0.05932546089105074,NA,NA,NA,NA,NA,NA,0.05932546089105074,1.3772827596613069,0.23948307612485495,0.001,NA,385.8101582828163,4.23796773119546,NA,2.92,3.681260305192695,4.777357220102159,2.92,3.681260305192695
220902_Smp_TN397_S4_2400_U_A,220602_Smp_TN397_S4_2400_U_A,TN397,19.639,-138.6135,24/11/2021,23:04:00,7,2021-11-25T08:00:00Z,23.766552527777776,35.07553188888889,19.638815415013887,-138.61354378841204,0.07562535337240973,NA,NA,NA,NA,NA,NA,0.07562535337240973,1.6369038793616362,0.247631764341424,0.001,NA,386.566012245736,4.208299348438706,NA,NA,NA,5.205230571510253,3.3231927473911944,3.7388328598916503
220902_Smp_TN397_S4_2400_U_B,220602_Smp_TN397_S4_2400_U_B,TN397,19.639,-138.6135,24/11/2021,23:05:00,7,2021-11-25T08:00:00Z,23.766552527777776,35.07553188888889,19.638815415013887,-138.61354378841204,0.07562535337240973,NA,NA,NA,NA,NA,NA,0.07562535337240973,1.6369038793616362,0.247631764341424,0.001,NA,386.566012245736,4.208299348438706,NA,NA,NA,5.205230571510253,3.3231927473911944,3.7388328598916503
