Rep,Compound,Area,Cruise
220628_Poo_TruePooG3_Full1,(3-Carboxypropyl)trimethylammonium,619514496,KM1906
220628_Poo_TruePooG3_Full2,(3-Carboxypropyl)trimethylammonium,603665280,KM1906
220628_Poo_TruePooG3_Full3,(3-Carboxypropyl)trimethylammonium,570434816,KM1906
220628_Poo_TruePooG3_Half1,(3-Carboxypropyl)trimethylammonium,349512512,KM1906
220628_Poo_TruePooG3_Half2,(3-Carboxypropyl)trimethylammonium,322505952,KM1906
220628_Poo_TruePooG3_Half3,(3-Carboxypropyl)trimethylammonium,302802592,KM1906
220628_Smp_MBlk1_A,(3-Carboxypropyl)trimethylammonium,8137994,KM1906
220628_Smp_MBlk1_B,(3-Carboxypropyl)trimethylammonium,802249,KM1906
220628_Smp_MMQBlk1_A,(3-Carboxypropyl)trimethylammonium,2896735,KM1906
220628_Smp_MMQBlk1_B,(3-Carboxypropyl)trimethylammonium,173092,KM1906
220628_Smp_MU1_A,(3-Carboxypropyl)trimethylammonium,229827376,KM1906
220628_Smp_MU1_B,(3-Carboxypropyl)trimethylammonium,275056512,KM1906
220628_Smp_MU1_C,(3-Carboxypropyl)trimethylammonium,298114336,KM1906
220628_Smp_MU2_A,(3-Carboxypropyl)trimethylammonium,138592256,KM1906
220628_Smp_MU2_B,(3-Carboxypropyl)trimethylammonium,239386240,KM1906
220628_Smp_MU2_C,(3-Carboxypropyl)trimethylammonium,235686016,KM1906
220628_Smp_MU3_A,(3-Carboxypropyl)trimethylammonium,186548096,KM1906
220628_Smp_MU3_B,(3-Carboxypropyl)trimethylammonium,260938464,KM1906
220628_Smp_MU3_C,(3-Carboxypropyl)trimethylammonium,221206768,KM1906
220628_Smp_MU4_A,(3-Carboxypropyl)trimethylammonium,266476080,KM1906
220628_Smp_MU4_B,(3-Carboxypropyl)trimethylammonium,365782976,KM1906
220628_Smp_MU4_C,(3-Carboxypropyl)trimethylammonium,286159584,KM1906
220628_Smp_MU5_A,(3-Carboxypropyl)trimethylammonium,170854608,KM1906
220628_Smp_MU5_B,(3-Carboxypropyl)trimethylammonium,224984800,KM1906
220628_Smp_MU5_C,(3-Carboxypropyl)trimethylammonium,209834544,KM1906
220628_Smp_MU6_A,(3-Carboxypropyl)trimethylammonium,302901504,KM1906
220628_Smp_MU6_B,(3-Carboxypropyl)trimethylammonium,257626752,KM1906
220628_Smp_MU6_C,(3-Carboxypropyl)trimethylammonium,205882688,KM1906
220628_Smp_MU7_A,(3-Carboxypropyl)trimethylammonium,269700736,KM1906
220628_Smp_MU7_B,(3-Carboxypropyl)trimethylammonium,353873088,KM1906
220628_Smp_MU7_C,(3-Carboxypropyl)trimethylammonium,287752384,KM1906
220628_Smp_MU8_A,(3-Carboxypropyl)trimethylammonium,178043712,KM1906
220628_Smp_MU8_B,(3-Carboxypropyl)trimethylammonium,125289736,KM1906
220628_Smp_MU8_C,(3-Carboxypropyl)trimethylammonium,114003640,KM1906
220628_Smp_MU9_A,(3-Carboxypropyl)trimethylammonium,209491376,KM1906
220628_Smp_MU9_B,(3-Carboxypropyl)trimethylammonium,316025888,KM1906
220628_Smp_MU9_C,(3-Carboxypropyl)trimethylammonium,274585568,KM1906
220628_Smp_MU10_A,(3-Carboxypropyl)trimethylammonium,100124184,KM1906
220628_Smp_MU10_B,(3-Carboxypropyl)trimethylammonium,92317592,KM1906
220628_Smp_MU10_C,(3-Carboxypropyl)trimethylammonium,51450412,KM1906
220628_Smp_MU11_A,(3-Carboxypropyl)trimethylammonium,1796138240,KM1906
220628_Smp_MU11_B,(3-Carboxypropyl)trimethylammonium,1496050304,KM1906
220628_Smp_MU11_C,(3-Carboxypropyl)trimethylammonium,1201042048,KM1906
220628_Smp_MU14_A,(3-Carboxypropyl)trimethylammonium,611391808,KM1906
220628_Smp_MU14_B,(3-Carboxypropyl)trimethylammonium,779593408,KM1906
220628_Smp_MU14_C,(3-Carboxypropyl)trimethylammonium,678539776,KM1906
220628_Smp_MU15_A,(3-Carboxypropyl)trimethylammonium,1412730752,KM1906
220628_Smp_MU15_B,(3-Carboxypropyl)trimethylammonium,2086849664,KM1906
220628_Smp_MU15_C,(3-Carboxypropyl)trimethylammonium,1736357120,KM1906
220628_Smp_MU16_A,(3-Carboxypropyl)trimethylammonium,154766400,KM1906
220628_Smp_MU16_B,(3-Carboxypropyl)trimethylammonium,272739168,KM1906
220628_Smp_MU16_C,(3-Carboxypropyl)trimethylammonium,233566064,KM1906
220628_Smp_MU17_A,(3-Carboxypropyl)trimethylammonium,851906176,KM1906
220628_Smp_MU17_B,(3-Carboxypropyl)trimethylammonium,829714304,KM1906
220628_Smp_MU17_C,(3-Carboxypropyl)trimethylammonium,1121287168,KM1906
220628_Smp_MU18_A,(3-Carboxypropyl)trimethylammonium,631034304,KM1906
220628_Smp_MU18_B,(3-Carboxypropyl)trimethylammonium,714650048,KM1906
220628_Smp_MU18_C,(3-Carboxypropyl)trimethylammonium,612489152,KM1906
220628_Smp_MU19_A,(3-Carboxypropyl)trimethylammonium,3227670016,KM1906
220628_Smp_MU19_B,(3-Carboxypropyl)trimethylammonium,3791580672,KM1906
220628_Smp_MU19_C,(3-Carboxypropyl)trimethylammonium,3544271872,KM1906
220628_Smp_MU20_A,(3-Carboxypropyl)trimethylammonium,466120800,KM1906
220628_Smp_MU20_B,(3-Carboxypropyl)trimethylammonium,735786176,KM1906
220628_Smp_MU20_C,(3-Carboxypropyl)trimethylammonium,605714944,KM1906
220628_Smp_MU21_A,(3-Carboxypropyl)trimethylammonium,190352960,KM1906
220628_Smp_MU21_B,(3-Carboxypropyl)trimethylammonium,303730784,KM1906
220628_Smp_MU21_C,(3-Carboxypropyl)trimethylammonium,162898352,KM1906
220628_Smp_MU22_A,(3-Carboxypropyl)trimethylammonium,132433120,KM1906
220628_Smp_MU22_B,(3-Carboxypropyl)trimethylammonium,192531680,KM1906
220628_Smp_MU22_C,(3-Carboxypropyl)trimethylammonium,197600848,KM1906
220628_Smp_MU23_A,(3-Carboxypropyl)trimethylammonium,238709488,KM1906
220628_Smp_MU23_B,(3-Carboxypropyl)trimethylammonium,244838736,KM1906
220628_Smp_MU23_C,(3-Carboxypropyl)trimethylammonium,263227056,KM1906
220628_Smp_MU24_A,(3-Carboxypropyl)trimethylammonium,240984832,KM1906
220628_Smp_MU24_B,(3-Carboxypropyl)trimethylammonium,256097456,KM1906
