Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,smp.remove,Blk.Av
220623_Std_4uMStdsMix1InMatrix_2,NA,NA,KM1906,5-Hydroxyectoine,190900496,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_1,NA,NA,KM1906,5-Hydroxyectoine,121104160,NA,NA,NA,NA
220623_Std_4uMStdsMix2InH2O_2,NA,NA,KM1906,5-Hydroxyectoine,186247104,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_1,NA,NA,KM1906,5-Hydroxyectoine,127472608,NA,NA,NA,NA
220623_Std_4uMStdsMix2InMatrix_2,NA,NA,KM1906,5-Hydroxyectoine,184281488,NA,NA,NA,NA
220623_Std_H2OinMatrix_1,NA,NA,KM1906,5-Hydroxyectoine,76599,NA,NA,NA,NA
220623_Std_H2OinMatrix_2,NA,NA,KM1906,5-Hydroxyectoine,527422,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full1,NA,NA,KM1906,5-Hydroxyectoine,191064,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full2,NA,NA,KM1906,5-Hydroxyectoine,130474,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Full3,NA,NA,KM1906,5-Hydroxyectoine,387950,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half1,NA,NA,KM1906,5-Hydroxyectoine,42992,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half2,NA,NA,KM1906,5-Hydroxyectoine,59540,NA,NA,NA,NA
220623_Poo_TruePooG3-CXSPE_Half3,NA,NA,KM1906,5-Hydroxyectoine,203847,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_A,NA,NA,KM1906,5-Hydroxyectoine,11317,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_B,NA,NA,KM1906,5-Hydroxyectoine,99282,NA,NA,NA,NA
220623_Smp_CXSPE_Blk1_C,NA,NA,KM1906,5-Hydroxyectoine,145760,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_A,NA,NA,KM1906,5-Hydroxyectoine,23404,NA,NA,NA,NA
220623_Smp_CXSPE_Blk2_B,NA,NA,KM1906,5-Hydroxyectoine,44599,NA,NA,NA,NA
