Name,Cruise,RFmax,RFmin,RF,RFratio
Glycine betaine,RC078,590455360,466133056,528294208,0.9607300379831188
Glycine betaine,TN397,2267021568,1615036544,1941029056,0.8926501935646569
Gonyol,G3_DepthProfiles,93058296,77807032,85432664,1.02
Gonyol,G4_DepthProfiles,83353008,73620840,78486924,1.02
Gonyol,KM1906,77373840,70426752,73900296,1.02
Gonyol,PERIFIX,78985200,55625772,67305486,1.02
Gonyol,RC078,22587012,15571459,19079235.5,1.02
Gonyol,TN397,80380016,56552688,68466352,1.02
Hydroxyisoleucine,G3_DepthProfiles,62194040,56127492,59160766,0.8562803991105339
Hydroxyisoleucine,G4_DepthProfiles,63698352,30166392,46932372,0.9897590743308731
Hydroxyisoleucine,KM1906,122520392,91825192,107172792,0.7590007829929452
Hydroxyisoleucine,PERIFIX,95880656,40668016,68274336,0.4704822654827894
Hydroxyisoleucine,RC078,19362654,8828285,14095469.5,0.956156445273649
Hydroxyisoleucine,TN397,51449588,28766542,40108065,0.686984127362342
Isethionic acid,G3_DepthProfiles,177108512,168657200,172882856,1.016012174404274
Isethionic acid,G4_DepthProfiles,326787200,149880400,238333800,0.8333121791425091
Isethionic acid,KM1906,219178080,165569328,192373704,0.6117036903055222
Isethionic acid,PERIFIX,647243200,453624640,550433920,0.7552756938662923
Isethionic acid,RC078,97710560,64579768,81145164,0.5128842472156406
Isethionic acid,TN397,300147584,227110256,263628920,0.8024661782635159
L-Alanine,G3_DepthProfiles,28308100,24598308,26453204,0.9271939614794452
L-Alanine,G4_DepthProfiles,31914718,15854863,23884790.5,0.91352055980748
L-Alanine,KM1906,49302980,48792688,49047834,0.6367672150875636
L-Alanine,PERIFIX,40905004,22662838,31783921,0.8054303580341269
L-Alanine,RC078,5530338,3366123.5,4448230.75,1.0671627475305936
L-Alanine,TN397,14465556,10369796,12417676,0.9335357661400273
L-Arginine,G3_DepthProfiles,52286260,42636396,47461328,0.9216288814550134
L-Arginine,G4_DepthProfiles,36111968,31039284,33575626,1.0232409217622989
L-Arginine,KM1906,512097184,104952992,308525088,0.7079610414748758
L-Arginine,PERIFIX,58141828,43498300,50820064,0.9411940307800122
L-Arginine,RC078,19613072,18061082,18837077,1.9979740121348812
L-Asparagine,G3_DepthProfiles,10383021,7678820,9030920.5,0.9954304773593633
L-Asparagine,G4_DepthProfiles,20343154,6489291,13416222.5,0.8579793330318151
L-Asparagine,KM1906,38275976,25847970,32061973,0.6056725671375482
L-Asparagine,PERIFIX,38096540,18799272,28447906,0.8489154843679465
L-Asparagine,RC078,6680176.5,3109404.75,4894790.625,1.3084939108087768
L-Asparagine,TN397,25550530,13831675,19691102.5,0.9889035370656976
L-Aspartic acid,G3_DepthProfiles,3589830,3487906,3538868,0.9907463126567129
L-Aspartic acid,G4_DepthProfiles,7033741.5,2834514.5,4934128,0.9911244974387645
L-Aspartic acid,KM1906,20070906,8630723,14350814.5,0.7924972935645243
L-Aspartic acid,PERIFIX,10879824,8150783.5,9515303.75,0.9766981620992774
L-Aspartic acid,RC078,2833179.5,1307280.75,2070230.125,0.9647628233504608
L-Aspartic acid,TN397,9510402,6726392.5,8118397.25,1.072747850993025
L-Cysteic acid,G3_DepthProfiles,16804994,15348361,16076677.5,1.0268500232310256
L-Cysteic acid,G4_DepthProfiles,30021736,12765159,21393447.5,0.8513024759523387
L-Cysteic acid,KM1906,35716576,10976443,23346509.5,0.9097392877548791
L-Cysteic acid,PERIFIX,59723452,486806,30105129,1.038881521158578
L-Cysteic acid,RC078,8139226,4634829,6387027.5,1.3899270791576215
L-Cysteic acid,TN397,31926312,29689648,30807980,1.0165887396970248
L-Glutamic acid,G3_DepthProfiles,17135144,14715077,15925110.5,0.8954747407219451
L-Glutamic acid,G4_DepthProfiles,32655228,10671541,21663384.5,1.2257439018331675
L-Glutamic acid,KM1906,69421760,39764112,54592936,1.1336229656147656
L-Glutamic acid,PERIFIX,39790916,19579830,29685373,1.1336229656147656
L-Glutamic acid,RC078,8281026,4063677.5,6172351.75,1.1336229656147656
L-Glutamic acid,TN397,23072648,16010807,19541727.5,1.279650254289184
L-Glutamine,G3_DepthProfiles,71739248,57150164,64444706,0.88623693121444
L-Glutamine,G4_DepthProfiles,37444796,12055411,24750103.5,0.9479629130437721
L-Glutamine,KM1906,229679824,207359024,218519424,0.4845830890755126
L-Glutamine,PERIFIX,185149888,78537152,131843520,0.9535177128370493
L-Glutamine,RC078,26059748,13524600,19792174,1.3401943031033552
L-Glutamine,TN397,60685640,33778168,47231904,1.0752825289885033
L-Isoleucine,G3_DepthProfiles,196450720,153985408,175218064,0.9216274990725231
L-Isoleucine,G4_DepthProfiles,124946392,63703608,94325000,0.9743510980765258
L-Isoleucine,KM1906,364090240,250694352,307392296,0.9345344065949454
L-Isoleucine,PERIFIX,308290304,151571232,229930768,1.0033542625036258
L-Isoleucine,RC078,60586128,35301908,47944018,1.228148874140952
L-Isoleucine,TN397,201575712,117981672,159778692,1.1497242548603315
L-Lysine,G3_DepthProfiles,6293769,6082903,6188336,0.9336535279828194
L-Lysine,G4_DepthProfiles,7680631.5,6490509,7085570.25,0.8921465645275409
L-Lysine,KM1906,65334448,10560191,37947319.5,0.833479349442047
L-Lysine,PERIFIX,7856945.5,7824326.5,7840636,1.0539047420185266
L-Lysine,RC078,2624552.5,2002919.25,2313735.875,1.5211345572428443
L-Lysine,TN397,10110762,9572819,9841790.5,1.2172664457621383
L-Methionine,G3_DepthProfiles,105897544,90766352,98331948,0.9321266013104152
L-Methionine,G4_DepthProfiles,151551232,60786652,106168942,0.9173803556006432
L-Methionine,KM1906,217794560,151812880,184803720,0.9831119623649773
L-Methionine,PERIFIX,174737408,77323664,126030536,1.1516368862657114
