Cruise,Rep,Compound,detected
KM1906,220623_Smp_MU5_A,5-Hydroxyectoine,No
KM1906,220623_Smp_MU5_B,5-Hydroxyectoine,No
KM1906,220623_Smp_MU5_C,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU6_A,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU6_B,5-Hydroxyectoine,No
KM1906,220623_Smp_MU6_C,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU7_A,5-Hydroxyectoine,No
KM1906,220623_Smp_MU7_B,5-Hydroxyectoine,No
KM1906,220623_Smp_MU7_C,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU8_A,5-Hydroxyectoine,No
KM1906,220623_Smp_MU8_B,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU8_C,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU9_A,5-Hydroxyectoine,No
KM1906,220623_Smp_MU9_B,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU9_C,5-Hydroxyectoine,Yes
KM1906,220623_Smp_MU1_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU1_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU1_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU10_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU10_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU10_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU11_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU11_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU11_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU12_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU12_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU12_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU13_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU13_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU13_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU14_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU14_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU14_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU15_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU15_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU15_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU16_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU16_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU16_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU17_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU17_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU2_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU2_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU2_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU3_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU3_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU3_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU4_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU4_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU4_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU5_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU5_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU5_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU6_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU6_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU6_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU7_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU7_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU7_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU8_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU8_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU8_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU9_A,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU9_B,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU9_C,(3-Carboxypropyl)trimethylammonium,Yes
KM1906,220623_Smp_MU1_A,Arsenobetaine,No
KM1906,220623_Smp_MU1_B,Arsenobetaine,No
KM1906,220623_Smp_MU1_C,Arsenobetaine,No
KM1906,220623_Smp_MU10_A,Arsenobetaine,Yes
KM1906,220623_Smp_MU10_B,Arsenobetaine,No
KM1906,220623_Smp_MU10_C,Arsenobetaine,No
KM1906,220623_Smp_MU11_A,Arsenobetaine,No
KM1906,220623_Smp_MU11_B,Arsenobetaine,No
KM1906,220623_Smp_MU11_C,Arsenobetaine,No
KM1906,220623_Smp_MU12_A,Arsenobetaine,Yes
KM1906,220623_Smp_MU12_B,Arsenobetaine,No
KM1906,220623_Smp_MU12_C,Arsenobetaine,Yes
KM1906,220623_Smp_MU13_A,Arsenobetaine,No
KM1906,220623_Smp_MU13_B,Arsenobetaine,No
KM1906,220623_Smp_MU13_C,Arsenobetaine,No
KM1906,220623_Smp_MU14_A,Arsenobetaine,No
KM1906,220623_Smp_MU14_B,Arsenobetaine,No
KM1906,220623_Smp_MU14_C,Arsenobetaine,No
KM1906,220623_Smp_MU15_A,Arsenobetaine,No
KM1906,220623_Smp_MU15_B,Arsenobetaine,No
KM1906,220623_Smp_MU15_C,Arsenobetaine,No
KM1906,220623_Smp_MU16_A,Arsenobetaine,No
KM1906,220623_Smp_MU16_B,Arsenobetaine,No
KM1906,220623_Smp_MU16_C,Arsenobetaine,No
KM1906,220623_Smp_MU17_A,Arsenobetaine,No
KM1906,220623_Smp_MU17_B,Arsenobetaine,No
KM1906,220623_Smp_MU2_A,Arsenobetaine,No
KM1906,220623_Smp_MU2_B,Arsenobetaine,No
KM1906,220623_Smp_MU2_C,Arsenobetaine,Yes
KM1906,220623_Smp_MU3_A,Arsenobetaine,No
KM1906,220623_Smp_MU3_B,Arsenobetaine,No
KM1906,220623_Smp_MU3_C,Arsenobetaine,No
KM1906,220623_Smp_MU4_A,Arsenobetaine,No
KM1906,220623_Smp_MU4_B,Arsenobetaine,No
KM1906,220623_Smp_MU4_C,Arsenobetaine,No
