Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220623_Smp_MU10_A,MU10,A,KM1906,5-Hydroxyectoine,80327,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU10_B,MU10,B,KM1906,5-Hydroxyectoine,120320,NA,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,5-Hydroxyectoine,11951,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU11_A,MU11,A,KM1906,5-Hydroxyectoine,136284,NA,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,5-Hydroxyectoine,40101,NA,Flag,71315.41666666667,NA
220623_Smp_MU11_C,MU11,C,KM1906,5-Hydroxyectoine,165927,NA,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,5-Hydroxyectoine,118818,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU12_B,MU12,B,KM1906,5-Hydroxyectoine,113620,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU12_C,MU12,C,KM1906,5-Hydroxyectoine,276386,NA,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,5-Hydroxyectoine,146283,NA,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,5-Hydroxyectoine,5578,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU13_C,MU13,C,KM1906,5-Hydroxyectoine,93684,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU14_A,MU14,A,KM1906,5-Hydroxyectoine,209864,NA,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,5-Hydroxyectoine,367097,NA,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,5-Hydroxyectoine,40276,NA,Flag,71315.41666666667,NA
220623_Smp_MU15_A,MU15,A,KM1906,5-Hydroxyectoine,26059,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU15_B,MU15,B,KM1906,5-Hydroxyectoine,250463,NA,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,5-Hydroxyectoine,28413,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU16_A,MU16,A,KM1906,5-Hydroxyectoine,194274,NA,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,5-Hydroxyectoine,200387,NA,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,5-Hydroxyectoine,113037,NA,Flag,71315.41666666667,NA
220623_Smp_MU17_A,MU17,A,KM1906,5-Hydroxyectoine,291873,NA,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,5-Hydroxyectoine,279637,NA,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,5-Hydroxyectoine,71583,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU2_B,MU2,B,KM1906,5-Hydroxyectoine,23530,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU2_C,MU2,C,KM1906,5-Hydroxyectoine,332607,NA,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,5-Hydroxyectoine,78271,NA,Flag,71315.41666666667,NA
220623_Smp_MU3_B,MU3,B,KM1906,5-Hydroxyectoine,175250,NA,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,5-Hydroxyectoine,176099,NA,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,5-Hydroxyectoine,13741,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU4_B,MU4,B,KM1906,5-Hydroxyectoine,24802,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU4_C,MU4,C,KM1906,5-Hydroxyectoine,70811,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU5_A,MU5,A,KM1906,5-Hydroxyectoine,83750,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU5_B,MU5,B,KM1906,5-Hydroxyectoine,13062,Flag,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU5_C,MU5,C,KM1906,5-Hydroxyectoine,139942,NA,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,5-Hydroxyectoine,123080,NA,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,5-Hydroxyectoine,72025,NA,Flag,71315.41666666667,NA
220623_Smp_MU6_C,MU6,C,KM1906,5-Hydroxyectoine,145469,NA,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,5-Hydroxyectoine,73879,NA,Flag,71315.41666666667,Smp_Remove
220623_Smp_MU7_B,MU7,B,KM1906,5-Hydroxyectoine,39084,Flag,Flag,71315.41666666667,Smp_Remove
