Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av,smp.remove
220602_Smp_TN397_S3_U_B,S3,B,TN397,L-Aspartic acid,522894,NA,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,L-Aspartic acid,315304,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,L-Glutamic acid,4415458,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,L-Glutamic acid,2414598,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,L-Glutamic acid,3640600,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,L-Glutamic acid,1297976,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,L-Glutamic acid,2075060,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,L-Glutamic acid,2750375,NA,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,L-Glutamic acid,785042,NA,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,L-Glutamic acid,690829,NA,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,L-Glutamic acid,1632024,NA,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,L-Glutamic acid,1776293,NA,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,L-Glutamic acid,1337738,NA,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,L-Glutamic acid,1434483,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Glutamic acid,1091361,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Glutamic acid,1118070,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Glutamic acid,1518224,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Glutamic acid,1657399,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Glutamic acid,2230509,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,L-Glutamic acid,451897,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Glutamic acid,996635,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Glutamic acid,1295804,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Glutamic acid,1491884,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Glutamic acid,1363032,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Glutamic acid,724239,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Glutamic acid,816424,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Glutamic acid,665210,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Glutamic acid,1358726,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Glutamic acid,844076,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Glutamic acid,2153918,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Glutamic acid,4589409,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Glutamic acid,2589348,NA,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,L-Glutamic acid,1643800,NA,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,L-Glutamic acid,2043487,NA,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,L-Glutamic acid,1905910,NA,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,L-Glutamic acid,1587316,NA,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,L-Glutamic acid,1400718,NA,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,L-Glutamic acid,825493,NA,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,L-Glutamic acid,864528,NA,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,L-Glutamic acid,852705,NA,NA,NA,NA
220602_Smp_TN397_S16_U_C,S16,C,TN397,L-Glutamic acid,378595,NA,NA,NA,NA
220602_Smp_TN397_S17_U_A,S17,A,TN397,L-Glutamic acid,1075905,NA,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,L-Glutamic acid,952908,NA,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,L-Glutamic acid,1249779,NA,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,L-Glutamic acid,595924,NA,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,L-Glutamic acid,353447,NA,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,L-Glutamic acid,755468,NA,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,L-Glutamic acid,1182325,NA,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,L-Glutamic acid,1862606,NA,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,L-Glutamic acid,696625,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,L-Glutamine,4386318,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,L-Glutamine,2558862,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,L-Glutamine,3172446,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,L-Glutamine,735807,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,L-Glutamine,1270836,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,L-Glutamine,2368161,NA,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,L-Glutamine,1003291,NA,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,L-Glutamine,767030,NA,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,L-Glutamine,1292592,NA,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,L-Glutamine,1500289,NA,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,L-Glutamine,1425015,NA,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,L-Glutamine,1247497,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Glutamine,1169489,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Glutamine,1186322,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Glutamine,1478349,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Glutamine,1271294,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Glutamine,1657541,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,L-Glutamine,325855,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Glutamine,611202,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Glutamine,1206905,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Glutamine,1714843,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Glutamine,1368718,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Glutamine,766973,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Glutamine,573847,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Glutamine,767224,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Glutamine,1437839,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Glutamine,376457,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Glutamine,1854063,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Glutamine,2591141,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Glutamine,2253021,NA,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,L-Glutamine,1518262,NA,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,L-Glutamine,1572581,NA,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,L-Glutamine,1526665,NA,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,L-Glutamine,767150,NA,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,L-Glutamine,519350,NA,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,L-Glutamine,708811,NA,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,L-Glutamine,1099809,NA,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,L-Glutamine,1082300,NA,NA,NA,NA
220602_Smp_TN397_S16_U_C,S16,C,TN397,L-Glutamine,349207,NA,NA,NA,NA
220602_Smp_TN397_S17_U_A,S17,A,TN397,L-Glutamine,985295,NA,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,L-Glutamine,1025923,NA,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,L-Glutamine,1670264,NA,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,L-Glutamine,672143,NA,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,L-Glutamine,416214,NA,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,L-Glutamine,641532,NA,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,L-Glutamine,1609267,NA,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,L-Glutamine,2951607,NA,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,L-Glutamine,947128,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,L-Isoleucine,13720172,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,L-Isoleucine,10325758,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,L-Isoleucine,12120206,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,L-Isoleucine,7954258,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,L-Isoleucine,12299299,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,L-Isoleucine,9502235,NA,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,L-Isoleucine,8241398,NA,NA,NA,NA
220602_Smp_TN397_S1_U_B,S1,B,TN397,L-Isoleucine,10526001,NA,NA,NA,NA
220602_Smp_TN397_S1_U_C,S1,C,TN397,L-Isoleucine,9164195,NA,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,L-Isoleucine,18243838,NA,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,L-Isoleucine,13781858,NA,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,L-Isoleucine,11106465,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Isoleucine,11629028,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Isoleucine,14707826,NA,NA,NA,NA
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Isoleucine,5676226,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Isoleucine,13505338,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Isoleucine,13649514,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,L-Isoleucine,8066384,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Isoleucine,15648398,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Isoleucine,7533423,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Isoleucine,12401067,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Isoleucine,10493642,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Isoleucine,14266304,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Isoleucine,11976264,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Isoleucine,11795671,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Isoleucine,10522197,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Isoleucine,6663826,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Isoleucine,13574531,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Isoleucine,17632458,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Isoleucine,25044188,NA,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,L-Isoleucine,14961835,NA,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,L-Isoleucine,14464676,NA,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,L-Isoleucine,16514686,NA,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,L-Isoleucine,13570744,NA,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,L-Isoleucine,14941339,NA,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,L-Isoleucine,10136731,NA,NA,NA,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,L-Isoleucine,10995369,NA,NA,NA,NA
220602_Smp_TN397_S16_U_B,S16,B,TN397,L-Isoleucine,12015627,NA,NA,NA,NA
220602_Smp_TN397_S16_U_C,S16,C,TN397,L-Isoleucine,9513469,NA,NA,NA,NA
220602_Smp_TN397_S17_U_A,S17,A,TN397,L-Isoleucine,9151655,NA,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,L-Isoleucine,8905067,NA,NA,NA,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,L-Isoleucine,11739070,NA,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,L-Isoleucine,9119477,NA,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,L-Isoleucine,8755332,NA,NA,NA,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,L-Isoleucine,2725363,NA,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,L-Isoleucine,10620147,NA,NA,NA,NA
220602_Smp_TN397_S3_U_B,S3,B,TN397,L-Isoleucine,21219960,NA,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,L-Isoleucine,7763016,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,L-Lysine,363078,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,L-Lysine,238461,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,L-Lysine,677000,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,L-Lysine,482571,NA,Flag,416520.13333333336,NA
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,L-Lysine,698765,NA,NA,NA,NA
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,L-Lysine,804539,NA,NA,NA,NA
220602_Smp_TN397_S1_U_A,S1,A,TN397,L-Lysine,371020,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S1_U_B,S1,B,TN397,L-Lysine,452184,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S1_U_C,S1,C,TN397,L-Lysine,702449,NA,NA,NA,NA
220602_Smp_TN397_S10_U_A,S10,A,TN397,L-Lysine,843756,NA,NA,NA,NA
220602_Smp_TN397_S10_U_B,S10,B,TN397,L-Lysine,569624,NA,NA,NA,NA
220602_Smp_TN397_S10_U_C,S10,C,TN397,L-Lysine,322827,NA,Flag,416520.13333333336,NA
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Lysine,436372,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Lysine,373586,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Lysine,1622854,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Lysine,1233973,NA,NA,NA,NA
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Lysine,427161,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,L-Lysine,337273,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Lysine,2227899,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Lysine,1071299,NA,NA,NA,NA
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Lysine,583607,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Lysine,678251,NA,NA,NA,NA
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Lysine,542426,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Lysine,499241,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Lysine,576450,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Lysine,895147,NA,NA,NA,NA
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Lysine,645440,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Lysine,1016493,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Lysine,631539,NA,NA,NA,NA
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Lysine,4907470,NA,NA,NA,NA
220602_Smp_TN397_S14_U_A,S14,A,TN397,L-Lysine,856097,NA,NA,NA,NA
220602_Smp_TN397_S14_U_B,S14,B,TN397,L-Lysine,745643,NA,NA,NA,NA
220602_Smp_TN397_S14_U_C,S14,C,TN397,L-Lysine,913119,NA,NA,NA,NA
220602_Smp_TN397_S15_U_A,S15,A,TN397,L-Lysine,733833,NA,NA,NA,NA
220602_Smp_TN397_S15_U_B,S15,B,TN397,L-Lysine,861063,NA,NA,NA,NA
220602_Smp_TN397_S15_U_C,S15,C,TN397,L-Lysine,323909,NA,Flag,416520.13333333336,NA
220602_Smp_TN397_S16_U_A,S16,A,TN397,L-Lysine,313497,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S16_U_B,S16,B,TN397,L-Lysine,392086,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S16_U_C,S16,C,TN397,L-Lysine,435979,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S17_U_A,S17,A,TN397,L-Lysine,623714,NA,NA,NA,NA
220602_Smp_TN397_S17_U_B,S17,B,TN397,L-Lysine,251896,NA,Flag,416520.13333333336,NA
220602_Smp_TN397_S17_U_C,S17,C,TN397,L-Lysine,1194365,NA,NA,NA,NA
220602_Smp_TN397_S2_U_A,S2,A,TN397,L-Lysine,591890,NA,NA,NA,NA
220602_Smp_TN397_S2_U_B,S2,B,TN397,L-Lysine,303785,NA,Flag,416520.13333333336,NA
220602_Smp_TN397_S2_U_C,S2,C,TN397,L-Lysine,902635,NA,NA,NA,NA
220602_Smp_TN397_S3_U_A,S3,A,TN397,L-Lysine,519663,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_TN397_S3_U_B,S3,B,TN397,L-Lysine,907409,NA,NA,NA,NA
220602_Smp_TN397_S3_U_C,S3,C,TN397,L-Lysine,142285,NA,Flag,416520.13333333336,Smp_Remove
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_KM1906_GBTK1_0nM_A,KM1906_GBTK1_0nM,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_KM1906_GBTK1_0nM_B,KM1906_GBTK1_0nM,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_KM1906_GBTK1_0nM_C,KM1906_GBTK1_0nM,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S1_U_A,S1,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S1_U_B,S1,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S1_U_C,S1,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S10_U_A,S10,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S10_U_B,S10,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S10_U_C,S10,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S11_1800_U_A,S11_1800,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S11_1800_U_B,S11_1800,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S11_1800_U_C,S11_1800,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S11_600_U_A,S11_600,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S11_600_U_B,S11_600,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S11_600_U_C,S11_600,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_1800_U_A,S12_1800,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_1800_U_B,S12_1800,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_1800_U_C,S12_1800,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_600_U_A,S12_600,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_600_U_B,S12_600,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_600_U_C,S12_600,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_800_U_A,S12_800,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_800_U_B,S12_800,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S12_800_U_C,S12_800,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S13_1800_U_A,S13_1800,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S13_1800_U_B,S13_1800,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S13_1800_U_C,S13_1800,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S14_U_A,S14,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S14_U_B,S14,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S14_U_C,S14,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S15_U_A,S15,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S15_U_B,S15,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S15_U_C,S15,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S16_U_A,S16,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S16_U_B,S16,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S16_U_C,S16,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S17_U_A,S17,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S17_U_B,S17,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S17_U_C,S17,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S2_U_A,S2,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S2_U_B,S2,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S2_U_C,S2,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S3_U_A,S3,A,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S3_U_B,S3,B,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_TN397_S3_U_C,S3,C,TN397,L-Methionine,0,Flag,NA,NA,Smp_Remove
220602_Smp_KM1906_GBT_F2_T0_A,KM1906_GBT_F2_T0,A,TN397,L-Proline,11617128,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_B,KM1906_GBT_F2_T0,B,TN397,L-Proline,11276266,NA,NA,NA,NA
220602_Smp_KM1906_GBT_F2_T0_C,KM1906_GBT_F2_T0,C,TN397,L-Proline,11824062,NA,NA,NA,NA
