Cruise,Parent_ID,Part.SampID,Diss.SampID
TN397,TN397_S8_U_C,220902_Smp_TN397_S8_U_C,220602_Smp_TN397_S8_U_C
TN397,TN397_S9_600_U_A,220902_Smp_TN397_S9_600_U_A,220602_Smp_TN397_S9_600_U_A
TN397,TN397_S9_600_U_B,220902_Smp_TN397_S9_600_U_B,220602_Smp_TN397_S9_600_U_B
TN397,TN397_S9_600_U_C,220902_Smp_TN397_S9_600_U_C,220602_Smp_TN397_S9_600_U_C
TN397,TN397_S9_1800_U_A,220902_Smp_TN397_S9_1800_U_A,220602_Smp_TN397_S9_1800_U_A
TN397,TN397_S9_1800_U_B,220902_Smp_TN397_S9_1800_U_B,220602_Smp_TN397_S9_1800_U_B
TN397,TN397_S9_1800_U_C,220902_Smp_TN397_S9_1800_U_C,220602_Smp_TN397_S9_1800_U_C
TN397,TN397_S9_BB_A,220902_Smp_TN397_S9_BB_A,NA
TN397,TN397_S9_BB_B,220902_Smp_TN397_S9_BB_B,NA
TN397,TN397_S10_U_A,220902_Smp_TN397_S10_U_A,220602_Smp_TN397_S10_U_A
TN397,TN397_S10_U_B,220902_Smp_TN397_S10_U_B,220602_Smp_TN397_S10_U_B
TN397,TN397_S10_U_C,220902_Smp_TN397_S10_U_C,220602_Smp_TN397_S10_U_C
TN397,TN397_S11_600_U_A,220902_Smp_TN397_S11_600_U_A,220602_Smp_TN397_S11_600_U_A
TN397,TN397_S11_600_U_B,220902_Smp_TN397_S11_600_U_B,220602_Smp_TN397_S11_600_U_B
TN397,TN397_S11_1800_U_A,220902_Smp_TN397_S11_1800_U_A,220602_Smp_TN397_S11_1800_U_A
TN397,TN397_S11_1800_U_B,220902_Smp_TN397_S11_1800_U_B,220602_Smp_TN397_S11_1800_U_B
TN397,TN397_S11_1800_U_C,220902_Smp_TN397_S11_1800_U_C,220602_Smp_TN397_S11_1800_U_C
TN397,TN397_S12_600_U_A,220902_Smp_TN397_S12_600_U_A,220602_Smp_TN397_S12_600_U_A
TN397,TN397_S12_600_U_B,220902_Smp_TN397_S12_600_U_B,220602_Smp_TN397_S12_600_U_B
TN397,TN397_S12_600_U_C,220902_Smp_TN397_S12_600_U_C,220602_Smp_TN397_S12_600_U_C
TN397,TN397_S12_800_U_A,220902_Smp_TN397_S12_800_U_A,220602_Smp_TN397_S12_800_U_A
TN397,TN397_S12_800_U_B,220902_Smp_TN397_S12_800_U_B,220602_Smp_TN397_S12_800_U_B
TN397,TN397_S12_800_U_C,220902_Smp_TN397_S12_800_U_C,220602_Smp_TN397_S12_800_U_C
TN397,TN397_S12_1800_U_A,220902_Smp_TN397_S12_1800_U_A,220602_Smp_TN397_S12_1800_U_A
