Cruise,SampID,Diss.Conc.nM,Compound,detected,Diss.Conc.Vial.uM,Diss.Conc.C.nM,Diss.Conc.N.nM,Diss.Conc.S.nM,impute.conc.nM,LOD.nM,Diss.Conc.no.blk.sub.nM,LOD.no.blk.sub.nM,Predicted_Value
KM1906,220623_Smp_MU17_B,5.178026416280214,Glycine betaine,Yes,NA,25.89013208140107,5.178026416280214,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU2_A,2.2025309041437997,Glycine betaine,Yes,NA,11.012654520718998,2.2025309041437997,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU2_B,2.100794449882713,Glycine betaine,Yes,NA,10.503972249413565,2.100794449882713,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU2_C,2.955417300722669,Glycine betaine,Yes,NA,14.777086503613345,2.955417300722669,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU3_A,1.9523282536374549,Glycine betaine,Yes,NA,9.761641268187274,1.9523282536374549,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU3_B,2.2190596501996525,Glycine betaine,Yes,NA,11.095298250998262,2.2190596501996525,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU3_C,3.585384554679974,Glycine betaine,Yes,NA,17.92692277339987,3.585384554679974,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU4_A,2.045104562055502,Glycine betaine,Yes,NA,10.22552281027751,2.045104562055502,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU4_B,1.7901376163902174,Glycine betaine,Yes,NA,8.950688081951087,1.7901376163902174,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU4_C,1.3194025021069808,Glycine betaine,Yes,NA,6.5970125105349045,1.3194025021069808,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU5_A,0.9434107622363205,Glycine betaine,Yes,NA,4.717053811181603,0.9434107622363205,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU5_B,1.398818008056264,Glycine betaine,Yes,NA,6.9940900402813195,1.398818008056264,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU5_C,2.0253482258981874,Glycine betaine,Yes,NA,10.126741129490938,2.0253482258981874,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU6_A,1.4925743628134631,Glycine betaine,Yes,NA,7.462871814067316,1.4925743628134631,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU6_B,2.1549034888059393,Glycine betaine,Yes,NA,10.774517444029696,2.1549034888059393,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU6_C,1.822667441478955,Glycine betaine,Yes,NA,9.113337207394775,1.822667441478955,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU7_A,1.6290542647321093,Glycine betaine,Yes,NA,8.145271323660547,1.6290542647321093,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU7_B,2.151056851277341,Glycine betaine,Yes,NA,10.755284256386705,2.151056851277341,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU7_C,2.7134463882650652,Glycine betaine,Yes,NA,13.567231941325327,2.7134463882650652,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU8_A,10.526552631023463,Glycine betaine,Yes,NA,52.63276315511732,10.526552631023463,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU8_B,4.667018459817677,Glycine betaine,Yes,NA,23.335092299088384,4.667018459817677,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU8_C,2.8940864616611655,Glycine betaine,Yes,NA,14.470432308305828,2.8940864616611655,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU9_A,4.066188325501724,Glycine betaine,Yes,NA,20.33094162750862,4.066188325501724,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU9_B,4.779964129173145,Glycine betaine,Yes,NA,23.899820645865724,4.779964129173145,NA,NA,NA,NA,NA,Yes
KM1906,220623_Smp_MU9_C,3.1140524596181987,Glycine betaine,Yes,NA,15.570262298090993,3.1140524596181987,NA,NA,NA,NA,NA,Yes
