SampID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,Cruise,Lat,Long,Region,chla,poc,pn,sst,N_N,SRP,sss
220602_Smp_TN397_U1_A,0.0811517214511868,0.11464178793102932,0.11844146727282494,0.050683975739450805,0.06385846767204711,-0.1634726381097943,-0.06742867277804972,0.033190037653885916,-0.01856221879645158,0.07403845080522913,0.01656703617100678,-0.03898668800398135,-0.027554607972595513,0.004485893049415641,-0.006876240877092276,0.07097759908376708,0.020128997540540875,0.04490300407826723,0.05167490754431529,0.1591225879262263,-0.021784488134552058,-0.03291208995780652,-0.036933143784650374,-0.040081499467941165,-0.08265590858093318,-0.037835533882322525,TN397,32.25921,-117.3388,CUCP,NA,NA,NA,17.865323305555556,NA,NA,33.523961444444446
220602_Smp_TN397_U1_B,0.06325825901373677,0.060840230972694066,0.10258695186886513,0.16925867854813878,0.07858023567644729,-0.10482337916974953,0.06327872976538215,-0.09914886494924213,0.06979916231140815,0.11739587850641137,0.04056424413599772,-4.5928354918914403e-4,-0.0323092473408963,-0.07259024243552764,-0.017822503752423006,0.05743878304036743,0.07423248847174457,0.07701319723623647,-0.031227347749051323,0.1293789023870951,-0.16084178376794672,-0.0643748716189628,-0.014186323417749523,-0.040019236251615443,-0.12697344077958525,0.0030207316920719315,TN397,32.25921,-117.3388,CUCP,NA,NA,NA,17.865323305555556,NA,NA,33.523961444444446
220602_Smp_TN397_U1_C,0.05691863758781092,0.10879629142608299,0.12831884073288874,0.138663987459467,0.03440281468206877,-0.12562379273797822,-0.008248525249526517,-0.01647256159787242,-0.0160387351542409,-7.116671224016832e-4,0.025755214000463426,0.022580758697329926,-6.780609469541692e-4,-0.04102676850026436,-0.020661722435650773,0.05494373698258386,0.014560844213268509,-0.020989947657196112,-0.0060461073079651935,0.037592104156963346,0.010847628223339807,-0.0071409678398457336,0.022704676718871993,0.02856858310947011,-0.10795799165411146,-0.016603522161273792,TN397,32.25921,-117.3388,CUCP,NA,NA,NA,17.865323305555556,NA,NA,33.523961444444446
220602_Smp_TN397_U2_A,-0.02712915626724735,0.015209064006855314,0.06463867479754382,-0.04288501818113491,0.06393399162585431,-0.050722872196191926,-0.03831420670307977,0.17647726643323763,-0.07022998020316218,-0.09109710936812947,0.02724614507941152,0.034557861737346075,-0.026917059553704555,-0.17693247685890537,-0.04115191153906788,0.0838311013542542,-0.021044119861035857,-0.029041288978497642,-0.07624059948713256,-0.03923135815733894,-0.08140451895810272,0.030519301815340565,-0.1250287193885884,-0.06402740838824086,-0.1439086290532424,-0.09160943620052192,TN397,32.11654,-117.58582,CUCP,NA,NA,NA,18.595011694444445,NA,NA,33.497090166666666
220602_Smp_TN397_U2_B,-0.01796814574318912,0.005050025263316572,0.026638087022408885,-0.012561208417505416,0.05490880491848916,-0.030875941629127476,0.030035214408636407,0.22102161311927854,-0.0383913455079574,-0.14266313021993943,0.08438650668807024,0.05236227474069521,-0.12337911817196494,-0.054973668069883685,0.003996979117909066,0.1002315134731064,-0.017370574024970144,0.07073524986072591,-0.08039114040448922,0.043211661844452416,-0.06577237615483639,-0.033276614477117675,-0.04894143652053947,-0.03623542814975118,-0.032528254011215584,0.06254892589913695,TN397,32.11654,-117.58582,CUCP,NA,NA,NA,18.595011694444445,NA,NA,33.497090166666666
220602_Smp_TN397_U2_C,-0.0011921011298166848,0.02705934972465885,0.05825414330014756,0.12107405335887761,0.03270696058914059,0.008248844883846767,0.052382998486658484,-0.07496086798046503,0.0679787323716165,-0.07824105097830647,0.1032197953365165,-0.07681980768793682,-0.002626353838071516,-0.026680955950378824,-0.043573867291279635,0.09459175113461328,0.00849943999236737,0.08133286997786554,-0.19170364040303262,-0.017732342704285427,-0.05264023869235808,-0.021566434506407363,0.04113494983384816,0.003983273591589714,0.06966381121655887,0.03194300577901084,TN397,32.11654,-117.58582,CUCP,NA,NA,NA,18.595011694444445,NA,NA,33.497090166666666
220602_Smp_TN397_U3_A,-0.021916817131040614,0.019291549792977473,0.062098627389231845,0.11272580444016995,0.028230652590073266,-0.09776595165302573,-0.014285767748566429,0.03415691009449522,-0.11122221000059304,-0.0071396982562773464,0.017907529417789832,0.0986755159872232,-0.021287034707332415,0.04608089606152917,0.07396862773604349,-0.033092951234890006,-0.11161323319011016,0.001174221049249766,-0.029991401281921588,0.011597284691687092,0.145524133815652,0.041721603824796075,-0.005044998583377352,-0.08050109109064436,0.10824080157428972,0.06903916396724392,TN397,31.5634,-118.25816,CUCP,NA,NA,NA,18.75058637032676,NA,NA,33.52386685310568
220602_Smp_TN397_U3_B,-0.017661909710105103,-0.019767015484057817,0.044286020266619125,0.10888968883456109,0.01923874981661588,-0.1060662352294649,0.05504623578987906,-0.12552929504911245,-0.0312074516739941,-0.026204545412116774,-0.008702237966392114,0.04950264997008109,0.041868170334337165,-0.07012618145881044,0.024220616003577056,0.024215344629754346,0.013617616792976076,-0.005721640277101195,-0.15619204552526825,-0.08593836389793115,0.05475144298775566,-0.023782499551775728,0.14486077899989483,0.0792924714636751,0.018286337674358045,-0.03109846498350909,TN397,31.5634,-118.25816,CUCP,NA,NA,NA,18.75058637032676,NA,NA,33.52386685310568
220602_Smp_TN397_U3_C,0.012525452872715519,0.021854004247655035,0.07779547145003232,0.12613632695042876,0.056188933852581585,-0.057810488316054384,-0.03306078863328756,-0.01014338110531997,0.01550222951406107,0.059308072938767026,-0.045505322218655796,-0.049339605839212895,-0.030728068649692627,-0.12308547444881965,0.05378896521139938,-0.017050231606601362,-0.01185030828137773,0.015919308281092833,-0.15755134437668666,-0.002364931115956132,-0.03863910083929308,0.023560956048593554,0.0723070810434616,0.01592363346413481,0.0014954138632782845,0.07079763850174074,TN397,31.5634,-118.25816,CUCP,NA,NA,NA,18.75058637032676,NA,NA,33.52386685310568
220602_Smp_TN397_U4_A,0.03382966606425979,0.11543293456720781,0.07890961456155374,0.014274245674239842,0.04045680576497529,-0.10825431457060851,-0.05264174410571481,0.029408341793725513,-0.020371233360289922,-0.011724394371685348,0.015694244264920363,-0.03978745430902471,0.12111981509445624,0.026740993207874087,0.03895649192155472,-0.01645024080796678,0.14265594802648163,-0.006123572699432141,0.03686000457244338,0.004309577622995605,0.015106795402732211,0.07200657978679595,-0.02332045849530617,-0.022495011166786955,-0.02140609245394568,0.1470872829143817,TN397,31.26598,-119.15959,CUCP,NA,NA,NA,17.16863861111111,NA,NA,33.421525333333335
220602_Smp_TN397_U4_B,0.04392774163103201,0.1520843815813125,0.12295197189558207,0.05427952061756732,0.06864129893368674,-0.0637254504746571,0.0027288237963458673,0.08858384203717161,0.022328963136705054,-0.019662921961882424,0.08068065889171294,-0.030205331669106168,0.0024805281512896176,0.03775429007318705,0.03840180103068269,0.026677763749942525,-0.017174609691834927,-0.017282504359513947,0.0178974745060117,-0.03866129956945172,0.023016366830148342,0.022268868268667936,0.02351418033545693,-0.030475941073298728,-0.06115369771873087,0.03952035656545673,TN397,31.26598,-119.15959,CUCP,NA,NA,NA,17.16863861111111,NA,NA,33.421525333333335
220602_Smp_TN397_U4_C,0.04640131041732597,0.0931827214858783,0.06904714117664901,0.012138249786460147,0.09202169560363252,-0.08093674183653667,0.04079396399847393,0.06559928291154793,0.006693750953089618,-0.01048117480333904,0.14036616301238178,-0.10725067082701994,0.009839499383965403,0.05726155460126038,0.009812159481296611,0.022424433922831957,-0.07702085941854309,-0.09595869094449765,0.005100277828851923,-0.09077907397336324,-0.11309631399751661,0.06215940831535966,0.05146476731005019,-0.07573994679527438,0.019912566155391827,0.149754344417956,TN397,31.26598,-119.15959,CUCP,NA,NA,NA,17.16863861111111,NA,NA,33.421525333333335
220602_Smp_TN397_U5_A,-0.0022685593173598535,0.06482248353494949,-0.012354409988406704,-0.04049411166586425,0.03768363341711862,-0.09172016804941133,0.013789143674836642,-0.02184822192773337,-0.04220580742515482,-0.04069869938138787,0.18867793087810433,-0.05119318248238025,-1.5021056967174425e-4,-0.20499661312803075,-0.08870270512118332,0.17752486031393502,0.03632214365093176,0.11177015063607493,-0.027458703692742642,0.00666385622546335,0.10112161888634785,-0.00683742338392981,-0.07638496643929049,-0.022766996242709225,0.15567418761170235,0.02993891210643517,TN397,30.10413,-121.27565,CUCP,0.1529383627548573,NA,NA,17.48170490533563,NA,NA,33.23077814113597
220602_Smp_TN397_U5_B,-0.027926367916481645,-0.007688463404399068,0.08065746444555491,0.0894322227830142,0.018465674695140426,0.033808485038757885,0.1634957350110127,0.08071932012352653,0.013897710119598655,-0.009875777700151014,0.05767221021099709,-0.021879161631638926,-0.0016688959239619114,0.011708047751116299,0.043593892087216764,0.07702260362951609,0.027897570681477704,0.04173550568650321,0.02793817897879778,-0.08427517829082584,-0.05062120419642204,0.0027181454758566127,-0.014778208439329381,-0.02391918696446963,0.037270252936246556,-0.01223826988170272,TN397,30.10413,-121.27565,CUCP,0.1529383627548573,NA,NA,17.48170490533563,NA,NA,33.23077814113597
220602_Smp_TN397_U5_C,-0.05298556174969414,-0.012483035560025961,0.024857719608243713,0.058622194873946265,0.06930095135612785,0.06307891245468727,0.15092563545814466,0.02506070950151087,0.012274228429795954,-0.0630648428654634,0.02021058288161323,0.04207150175813917,0.053193086612807784,-0.031686273131712135,0.19827654736762793,0.18527683840042186,-0.06096591238055932,0.14677754976258553,0.05939288784331391,-0.1277396268605962,-0.05312053253492715,0.06439901126963937,1.914431979553599e-5,0.07395032495216772,-0.1213828873606839,0.05065815905144734,TN397,30.10413,-121.27565,CUCP,0.1529383627548573,NA,NA,17.48170490533563,NA,NA,33.23077814113597
220602_Smp_TN397_S1_U_A,-0.05609256560387846,-0.032992839734640456,-0.048228852217118104,0.12531925698613974,0.04133714358096381,-0.0744549808854379,-0.02623691463516013,-0.16972965167329573,0.015349459880959787,-0.0640679145262584,0.030230112225902342,0.07083592827833828,-0.09242427205574237,-0.004729881570440583,-0.0612945860082259,0.07262753696895399,0.044984012700151656,-0.1179586162598419,-0.08090106353892289,0.03306562735054595,0.07548699674724416,-0.0013897969613741292,0.009799818477858638,0.09366696437487124,0.11297882989403575,0.04814516805514384,TN397,28.32288,-124.13627,NPSG,0.09504526143768612,1.2024732609467603,0.2050536367020175,19.653716555555555,0.01958764053075653,0.2731586920069069,33.453830833333335
220602_Smp_TN397_S1_U_B,-0.05713078716092267,-0.020403137803617143,-0.017612521004976785,0.11933091296756168,0.03692716177056664,-0.06744726612217972,0.050880839900501906,-0.06008515439081673,0.02085596525296004,0.056926897888428654,0.03772907265587663,0.05485898245352351,-0.158879572509366,0.054179838274689814,-0.12968252529311827,-0.03335623313028206,0.15245677444614678,-0.03541183047242284,-0.04325610380921241,0.01786663781398773,0.059807141249988385,0.12461361546262074,0.07562001841905888,0.04484108796808531,0.012750979748862473,0.058775091936603865,TN397,28.32288,-124.13627,NPSG,0.09504526143768612,1.2024732609467603,0.2050536367020175,19.653716555555555,0.01958764053075653,0.2731586920069069,33.453830833333335
220602_Smp_TN397_S1_U_C,-0.04906308071736439,0.01916819524226014,0.037041899321811275,0.09812927321443204,0.038115409283271326,-0.05681887619403702,0.016674725720287054,0.07702890383666575,0.008345350084502807,-0.011509534208888105,0.07866266752371694,0.019135631223150634,-0.1294414178807446,0.028316393008466195,0.010608593607936177,-0.023851714812662538,-0.010099758527477775,-0.018289574686448335,-0.08181440518855512,0.04335895279452766,-0.05339470268114067,0.03358544854311487,0.10396744527568545,0.05779527022734616,-0.022180858762557557,-0.007777251446015182,TN397,28.32288,-124.13627,NPSG,0.09504526143768612,1.2024732609467603,0.2050536367020175,19.653716555555555,0.01958764053075653,0.2731586920069069,33.453830833333335
220602_Smp_TN397_S2_U_A,-0.07712824930158364,-0.03343020253415202,-0.010691038356448485,0.15354041396746776,0.035909584928052685,-0.07707391329100514,0.042657313075977685,0.1034445536757015,-0.036636611889897024,0.03833797875347958,-9.510197565124488e-4,-0.0563940277109029,0.048508394416129454,-0.01408837669115763,-0.01017522458654695,-0.05309286866916504,-0.03022670945522961,-0.014738741272710378,-0.007655808620232663,-0.07991106354966081,-0.05934697146343115,0.01411219643110781,0.05741147843001764,-0.12558637559990965,0.107473646561636,-0.2191093547071112,TN397,27.0673,-126.6739,NPSG,0.06553447807035863,1.226286361686621,0.1841821361974774,20.515452944444444,0.0159150445864191,0.2178962216235839,33.854922944444446
