Cruise,Parent_ID,Part.SampID,Compound,Part.detected,Part.Conc.Vial.uM,Part.Conc.nM,Part.Conc.C.nM,Part.Conc.N.nM,Part.Conc.S.nM,Part.Impute.Conc.nM,Treatment,Replicate,POC_uM,PN_uM,Chlorophyte,Diatom,Dinoflagellate,Haptophyte,Metazoa,Other,N,P,Fe,N_status
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,beta-Alanine,Yes,0.3492132234571332,0.01552058770920592,0.04656176312761776,0.01552058770920592,NA,0.00206982815211622,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,beta-Alaninebetaine,Yes,2.7415630316550006,0.12184724585133336,0.7310834751080002,0.12184724585133336,NA,0.00504286725696217,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,beta-Glutamic acid,Yes,0.9445967692549306,0.04198207863355247,0.20991039316776236,0.04198207863355247,NA,5.612169051704222e-4,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Arsenobetaine,Yes,0.02617357070865023,0.00116326980927334,0.00581634904636671,NA,NA,8.472813847804972e-7,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Glycine betaine,Yes,8.083187571583734,0.3592527809592771,1.7962639047963855,0.3592527809592771,NA,0.01572546556916783,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Homarine,Yes,0.10646620022290816,0.00473183112101814,0.03312281784712698,0.00473183112101814,NA,2.919417096684269e-4,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,L-Alanine,Yes,7.654601608380509,0.34020451592802264,1.020613547784068,0.34020451592802264,NA,0.08147251426827797,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,L-Isoleucine,Yes,9.19703160140796,0.4087569600625759,2.452541760375455,0.4087569600625759,NA,0.03062517392598194,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,L-Methionine,No,0.01250928140393951,5.559680623973115e-4,0.00277984031198655,5.559680623973115e-4,5.559680623973115e-4,3.123740083169093e-4,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,L-Proline,Yes,1.179768245451644,0.05243414424229528,0.26217072121147644,0.05243414424229528,NA,0.00722246387275231,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,Trimethylamine N-oxide,Yes,1.570352474616845,0.0697934433163042,0.2093803299489126,0.0697934433163042,NA,0.00106808656859436,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
PERIFIX,T0Tote_1,230213_Smp_T0Tote_1,L-Cysteic acid,Yes,0.03820253933142484,0.00169789063695221,0.00509367191085664,0.00169789063695221,0.00169789063695221,5.699318812052916e-5,Tote,1,2.608,0.398,0.007,0.005,0.35,0.06,0.036,0.543,0,0,0,minus_N
