param,var1,var2,cor,statistic,p,conf.low,conf.high,method,count
N_N,PC1,val,0.5,6.415649260250121,2.58e-9,0.35309345002256076,0.6166505896527891,Pearson,128
SRP,PC1,val,0.5,6.571609848121547,1.05e-9,0.3569722226576272,0.6143615813801045,Pearson,134
chla,PC1,val,0.89,26.123408677877784,3.829999999999999e-63,0.8546735778387512,0.9164240084309111,Pearson,182
pn,PC1,val,0.92,27.792084956562334,4.89e-61,0.8847812739455697,0.9376822059129835,Pearson,152
poc,PC1,val,0.94,32.74925171479283,3.1899999999999996e-70,0.9136871894117836,0.9536428329755471,Pearson,152
sss,PC1,val,-0.88,-25.5046408648721,1.4399999999999997e-63,-0.9072625864833345,-0.8420535500220614,Pearson,194
sst,PC1,val,-0.66,-12.164398686828283,1.31e-25,-0.7325275467967082,-0.5720226077314702,Pearson,194
