Rep,Compound,Area,Batch
170706_Poo_TruePoo_Half4,"DL-Proline, 2H7",37015876,G2
170706_Poo_TruePoo_Half5,"DL-Proline, 2H7",39016524,G2
170706_Poo_TruePoo_Half6,"DL-Proline, 2H7",41562892,G2
170706_Poo_TruePoo_Half7,"DL-Proline, 2H7",29712536,G2
170706_Smp_S3E15D15_A,"DL-Proline, 2H7",63765324,G2
170706_Smp_S3E15D15_B,"DL-Proline, 2H7",67071564,G2
170706_Smp_S3E15D15_C,"DL-Proline, 2H7",69232960,G2
170706_Smp_S3E15E15_Ds,"DL-Proline, 2H7",70405936,G2
170706_Smp_S4E16D15_A,"DL-Proline, 2H7",63750312,G2
170706_Smp_S4E16D15_B,"DL-Proline, 2H7",61896748,G2
170706_Smp_S4E16D15_C,"DL-Proline, 2H7",67055136,G2
170706_Smp_S4E16D15_Ds,"DL-Proline, 2H7",60146192,G2
170706_Smp_S5E28D15_A,"DL-Proline, 2H7",77589664,G2
170706_Smp_S5E28D15_B,"DL-Proline, 2H7",67302392,G2
170706_Smp_S5E28D15_C,"DL-Proline, 2H7",95241696,G2
170706_Smp_S5E28D15_Ds,"DL-Proline, 2H7",66929088,G2
170706_Smp_S6E37D15_A,"DL-Proline, 2H7",75094408,G2
170706_Smp_S6E37D15_B,"DL-Proline, 2H7",72152544,G2
170706_Smp_S6E37D15_C,"DL-Proline, 2H7",84547552,G2
170706_Smp_S6E37D15_Ds,"DL-Proline, 2H7",62814576,G2
170706_Std_4uM-StdsInH2O_1,"DL-Valine, 2H8",NA,G2
170706_Std_4uM-StdsInH2O_2,"DL-Valine, 2H8",NA,G2
170706_Std_4uM-StdsInH2O_3,"DL-Valine, 2H8",NA,G2
170706_Std_4uM-StdsInH2O_4,"DL-Valine, 2H8",NA,G2
170706_Std_4uM-StdsInH2O_5,"DL-Valine, 2H8",NA,G2
170706_Std_4uM-StdsInH2O_6,"DL-Valine, 2H8",NA,G2
170706_Std_4uM-StdsInAqMatrix_1,"DL-Valine, 2H8",6616008,G2
170706_Std_4uM-StdsInAqMatrix_2,"DL-Valine, 2H8",5187017,G2
170706_Std_4uM-StdsInAqMatrix_3,"DL-Valine, 2H8",4882675,G2
170706_Std_4uM-StdsInAqMatrix_4,"DL-Valine, 2H8",5607207,G2
170706_Std_4uM-StdsInAqMatrix_5,"DL-Valine, 2H8",3032696,G2
170706_Blk_Blk0p2_1,"DL-Valine, 2H8",13978183,G2
170706_Blk_Blk0p2_2,"DL-Valine, 2H8",16983552,G2
170706_Blk_BlkMQ_1,"DL-Valine, 2H8",15287079,G2
170706_Blk_BlkMQ_3,"DL-Valine, 2H8",15208715,G2
170706_Blk_MQBlk_2,"DL-Valine, 2H8",21669464,G2
170706_Poo_TruePoo_Full1,"DL-Valine, 2H8",16522384,G2
170706_Poo_TruePoo_Full2,"DL-Valine, 2H8",12686414,G2
170706_Poo_TruePoo_Full3,"DL-Valine, 2H8",12942573,G2
170706_Poo_TruePoo_Full4,"DL-Valine, 2H8",13024150,G2
170706_Poo_TruePoo_Full5,"DL-Valine, 2H8",15029604,G2
170706_Poo_TruePoo_Full6,"DL-Valine, 2H8",15282670,G2
170706_Poo_TruePoo_Full7,"DL-Valine, 2H8",16363658,G2
170706_Poo_TruePoo_Half1,"DL-Valine, 2H8",8597113,G2
170706_Poo_TruePoo_Half2,"DL-Valine, 2H8",6199905,G2
170706_Poo_TruePoo_Half3,"DL-Valine, 2H8",6450521,G2
170706_Poo_TruePoo_Half4,"DL-Valine, 2H8",6772861,G2
170706_Poo_TruePoo_Half5,"DL-Valine, 2H8",7815755,G2
170706_Poo_TruePoo_Half6,"DL-Valine, 2H8",8381235,G2
170706_Poo_TruePoo_Half7,"DL-Valine, 2H8",8452385,G2
170706_Smp_S3E15D15_A,"DL-Valine, 2H8",15591870,G2
170706_Smp_S3E15D15_B,"DL-Valine, 2H8",13943798,G2
170706_Smp_S3E15D15_C,"DL-Valine, 2H8",15956572,G2
170706_Smp_S3E15E15_Ds,"DL-Valine, 2H8",14368364,G2
170706_Smp_S4E16D15_A,"DL-Valine, 2H8",12561506,G2
170706_Smp_S4E16D15_B,"DL-Valine, 2H8",14234801,G2
170706_Smp_S4E16D15_C,"DL-Valine, 2H8",12811688,G2
170706_Smp_S4E16D15_Ds,"DL-Valine, 2H8",11993320,G2
170706_Smp_S5E28D15_A,"DL-Valine, 2H8",14107683,G2
170706_Smp_S5E28D15_B,"DL-Valine, 2H8",14206272,G2
170706_Smp_S5E28D15_C,"DL-Valine, 2H8",17807906,G2
170706_Smp_S5E28D15_Ds,"DL-Valine, 2H8",13291251,G2
170706_Smp_S6E37D15_A,"DL-Valine, 2H8",13999354,G2
170706_Smp_S6E37D15_B,"DL-Valine, 2H8",12496322,G2
170706_Smp_S6E37D15_C,"DL-Valine, 2H8",14710737,G2
170706_Smp_S6E37D15_Ds,"DL-Valine, 2H8",11798501,G2
170706_Std_4uM-StdsInH2O_1,"L-Isoleucine, 15N",134181,G2
170706_Std_4uM-StdsInH2O_2,"L-Isoleucine, 15N",188083,G2
170706_Std_4uM-StdsInH2O_3,"L-Isoleucine, 15N",72824,G2
170706_Std_4uM-StdsInH2O_4,"L-Isoleucine, 15N",18315,G2
170706_Std_4uM-StdsInH2O_5,"L-Isoleucine, 15N",8442,G2
170706_Std_4uM-StdsInH2O_6,"L-Isoleucine, 15N",6634,G2
170706_Std_4uM-StdsInAqMatrix_1,"L-Isoleucine, 15N",4930759,G2
170706_Std_4uM-StdsInAqMatrix_2,"L-Isoleucine, 15N",4291231,G2
170706_Std_4uM-StdsInAqMatrix_3,"L-Isoleucine, 15N",4028908,G2
170706_Std_4uM-StdsInAqMatrix_4,"L-Isoleucine, 15N",5276751,G2
170706_Std_4uM-StdsInAqMatrix_5,"L-Isoleucine, 15N",3191964,G2
170706_Blk_Blk0p2_1,"L-Isoleucine, 15N",11107441,G2
170706_Blk_Blk0p2_2,"L-Isoleucine, 15N",13777605,G2
170706_Blk_BlkMQ_1,"L-Isoleucine, 15N",11805408,G2
170706_Blk_BlkMQ_3,"L-Isoleucine, 15N",11803056,G2
170706_Blk_MQBlk_2,"L-Isoleucine, 15N",13481992,G2
170706_Poo_TruePoo_Full1,"L-Isoleucine, 15N",12467128,G2
170706_Poo_TruePoo_Full2,"L-Isoleucine, 15N",9935045,G2
170706_Poo_TruePoo_Full3,"L-Isoleucine, 15N",10245573,G2
170706_Poo_TruePoo_Full4,"L-Isoleucine, 15N",11041210,G2
170706_Poo_TruePoo_Full5,"L-Isoleucine, 15N",11477779,G2
170706_Poo_TruePoo_Full6,"L-Isoleucine, 15N",12269181,G2
170706_Poo_TruePoo_Full7,"L-Isoleucine, 15N",13700073,G2
170706_Poo_TruePoo_Half1,"L-Isoleucine, 15N",5984068,G2
170706_Poo_TruePoo_Half2,"L-Isoleucine, 15N",4956019,G2
170706_Poo_TruePoo_Half3,"L-Isoleucine, 15N",5273983,G2
170706_Poo_TruePoo_Half4,"L-Isoleucine, 15N",5696064,G2
170706_Poo_TruePoo_Half5,"L-Isoleucine, 15N",6074580,G2
170706_Poo_TruePoo_Half6,"L-Isoleucine, 15N",6514669,G2
170706_Poo_TruePoo_Half7,"L-Isoleucine, 15N",6922456,G2
170706_Smp_S3E15D15_A,"L-Isoleucine, 15N",12399072,G2
170706_Smp_S3E15D15_B,"L-Isoleucine, 15N",10803494,G2
170706_Smp_S3E15D15_C,"L-Isoleucine, 15N",13964593,G2
170706_Smp_S3E15E15_Ds,"L-Isoleucine, 15N",11787829,G2
170706_Smp_S4E16D15_A,"L-Isoleucine, 15N",10653853,G2
170706_Smp_S4E16D15_B,"L-Isoleucine, 15N",11252553,G2
170706_Smp_S4E16D15_C,"L-Isoleucine, 15N",11557425,G2
170706_Smp_S4E16D15_Ds,"L-Isoleucine, 15N",10215876,G2
170706_Smp_S5E28D15_A,"L-Isoleucine, 15N",11846223,G2
170706_Smp_S5E28D15_B,"L-Isoleucine, 15N",11618534,G2
170706_Smp_S5E28D15_C,"L-Isoleucine, 15N",13300230,G2
170706_Smp_S5E28D15_Ds,"L-Isoleucine, 15N",11012069,G2
170706_Smp_S6E37D15_A,"L-Isoleucine, 15N",7742416,G2
170706_Smp_S6E37D15_B,"L-Isoleucine, 15N",7712130,G2
170706_Smp_S6E37D15_C,"L-Isoleucine, 15N",9900752,G2
170706_Smp_S6E37D15_Ds,"L-Isoleucine, 15N",10779856,G2
170706_Std_4uM-StdsInH2O_1,"L-Methionine, 2H3",149609,G2
170706_Std_4uM-StdsInH2O_2,"L-Methionine, 2H3",126595,G2
170706_Std_4uM-StdsInH2O_3,"L-Methionine, 2H3",178037,G2
170706_Std_4uM-StdsInH2O_4,"L-Methionine, 2H3",512928,G2
170706_Std_4uM-StdsInH2O_5,"L-Methionine, 2H3",92340,G2
170706_Std_4uM-StdsInH2O_6,"L-Methionine, 2H3",1073440,G2
170706_Std_4uM-StdsInAqMatrix_1,"L-Methionine, 2H3",16969080,G2
170706_Std_4uM-StdsInAqMatrix_2,"L-Methionine, 2H3",13934833,G2
170706_Std_4uM-StdsInAqMatrix_3,"L-Methionine, 2H3",12506941,G2
170706_Std_4uM-StdsInAqMatrix_4,"L-Methionine, 2H3",15028163,G2
170706_Std_4uM-StdsInAqMatrix_5,"L-Methionine, 2H3",6652407,G2
170706_Blk_Blk0p2_1,"L-Methionine, 2H3",29474374,G2
170706_Blk_Blk0p2_2,"L-Methionine, 2H3",39361348,G2
170706_Blk_BlkMQ_1,"L-Methionine, 2H3",28786826,G2
170706_Blk_BlkMQ_3,"L-Methionine, 2H3",31156376,G2
170706_Blk_MQBlk_2,"L-Methionine, 2H3",37219552,G2
170706_Poo_TruePoo_Full1,"L-Methionine, 2H3",38052168,G2
170706_Poo_TruePoo_Full2,"L-Methionine, 2H3",29095420,G2
170706_Poo_TruePoo_Full3,"L-Methionine, 2H3",31976940,G2
170706_Poo_TruePoo_Full4,"L-Methionine, 2H3",34908896,G2
170706_Poo_TruePoo_Full5,"L-Methionine, 2H3",35196248,G2
170706_Poo_TruePoo_Full6,"L-Methionine, 2H3",37072748,G2
170706_Poo_TruePoo_Full7,"L-Methionine, 2H3",37767884,G2
170706_Poo_TruePoo_Half1,"L-Methionine, 2H3",19732490,G2
170706_Poo_TruePoo_Half2,"L-Methionine, 2H3",15212510,G2
170706_Poo_TruePoo_Half3,"L-Methionine, 2H3",15546050,G2
170706_Poo_TruePoo_Half4,"L-Methionine, 2H3",18637896,G2
170706_Poo_TruePoo_Half5,"L-Methionine, 2H3",19488014,G2
170706_Poo_TruePoo_Half6,"L-Methionine, 2H3",22208874,G2
170706_Poo_TruePoo_Half7,"L-Methionine, 2H3",21301862,G2
170706_Smp_S3E15D15_A,"L-Methionine, 2H3",32623486,G2
170706_Smp_S3E15D15_B,"L-Methionine, 2H3",31614414,G2
170706_Smp_S3E15D15_C,"L-Methionine, 2H3",39608092,G2
170706_Smp_S3E15E15_Ds,"L-Methionine, 2H3",26913906,G2
170706_Smp_S4E16D15_A,"L-Methionine, 2H3",28701560,G2
170706_Smp_S4E16D15_B,"L-Methionine, 2H3",34458128,G2
170706_Smp_S4E16D15_C,"L-Methionine, 2H3",31733032,G2
170706_Smp_S4E16D15_Ds,"L-Methionine, 2H3",26118706,G2
170706_Smp_S5E28D15_A,"L-Methionine, 2H3",34729864,G2
170706_Smp_S5E28D15_B,"L-Methionine, 2H3",35668884,G2
170706_Smp_S5E28D15_C,"L-Methionine, 2H3",39252660,G2
170706_Smp_S5E28D15_Ds,"L-Methionine, 2H3",30280030,G2
170706_Smp_S6E37D15_A,"L-Methionine, 2H3",30451632,G2
170706_Smp_S6E37D15_B,"L-Methionine, 2H3",32080182,G2
170706_Smp_S6E37D15_C,"L-Methionine, 2H3",31147672,G2
170706_Smp_S6E37D15_Ds,"L-Methionine, 2H3",30979206,G2
170706_Std_4uM-StdsInH2O_1,"DL-Histidine, 15N",67843,G2
170706_Std_4uM-StdsInH2O_2,"DL-Histidine, 15N",498237,G2
170706_Std_4uM-StdsInH2O_3,"DL-Histidine, 15N",495616,G2
170706_Std_4uM-StdsInH2O_4,"DL-Histidine, 15N",257568,G2
170706_Std_4uM-StdsInH2O_5,"DL-Histidine, 15N",693660,G2
170706_Std_4uM-StdsInH2O_6,"DL-Histidine, 15N",1093277,G2
170706_Std_4uM-StdsInAqMatrix_1,"DL-Histidine, 15N",10177028,G2
170706_Std_4uM-StdsInAqMatrix_2,"DL-Histidine, 15N",7895829,G2
170706_Std_4uM-StdsInAqMatrix_3,"DL-Histidine, 15N",6445898,G2
170706_Std_4uM-StdsInAqMatrix_4,"DL-Histidine, 15N",11093581,G2
170706_Std_4uM-StdsInAqMatrix_5,"DL-Histidine, 15N",7010544,G2
170706_Blk_Blk0p2_1,"DL-Histidine, 15N",20503324,G2
170706_Blk_Blk0p2_2,"DL-Histidine, 15N",13955002,G2
170706_Blk_BlkMQ_1,"DL-Histidine, 15N",29946162,G2
170706_Blk_BlkMQ_3,"DL-Histidine, 15N",28322658,G2
170706_Blk_MQBlk_2,"DL-Histidine, 15N",119487720,G2
170706_Poo_TruePoo_Full1,"DL-Histidine, 15N",44492332,G2
170706_Poo_TruePoo_Full2,"DL-Histidine, 15N",16649861,G2
170706_Poo_TruePoo_Full3,"DL-Histidine, 15N",16660145,G2
170706_Poo_TruePoo_Full4,"DL-Histidine, 15N",11930281,G2
170706_Poo_TruePoo_Full5,"DL-Histidine, 15N",12026176,G2
170706_Poo_TruePoo_Full6,"DL-Histidine, 15N",16303977,G2
170706_Poo_TruePoo_Full7,"DL-Histidine, 15N",13865397,G2
170706_Poo_TruePoo_Half1,"DL-Histidine, 15N",20040910,G2
170706_Poo_TruePoo_Half2,"DL-Histidine, 15N",10768836,G2
170706_Poo_TruePoo_Half3,"DL-Histidine, 15N",10778013,G2
170706_Poo_TruePoo_Half4,"DL-Histidine, 15N",10852592,G2
170706_Poo_TruePoo_Half5,"DL-Histidine, 15N",15039026,G2
170706_Poo_TruePoo_Half6,"DL-Histidine, 15N",16435422,G2
170706_Poo_TruePoo_Half7,"DL-Histidine, 15N",15155903,G2
170706_Smp_S3E15D15_A,"DL-Histidine, 15N",13624077,G2
170706_Smp_S3E15D15_B,"DL-Histidine, 15N",18408348,G2
170706_Smp_S3E15D15_C,"DL-Histidine, 15N",16549629,G2
170706_Smp_S3E15E15_Ds,"DL-Histidine, 15N",10766818,G2
170706_Smp_S4E16D15_A,"DL-Histidine, 15N",17413602,G2
170706_Smp_S4E16D15_B,"DL-Histidine, 15N",14303426,G2
