SampID,Cruise,Lat,Long,Local_Date,Local_Time,depth_m,station,Treatment
220902_Smp_TN397_S7_1800_U_B,TN397,10.6979,-139.9975,28/11/2021,17:52:00,7,NA,NA
220902_Smp_TN397_S7_1800_U_C,TN397,10.6979,-139.9975,28/11/2021,17:52:00,7,NA,NA
220902_Smp_TN397_S8_U_A,TN397,8.388,-139.9961,30/11/2021,06:17:00,7,NA,NA
220902_Smp_TN397_S8_U_B,TN397,8.388,-139.9961,30/11/2021,06:17:00,7,NA,NA
220902_Smp_TN397_S8_U_C,TN397,8.388,-139.9961,30/11/2021,06:17:00,7,NA,NA
220902_Smp_TN397_U10_A,TN397,6.7602,-140.002,30/11/2021,17:48:00,7,NA,NA
220902_Smp_TN397_U10_B,TN397,6.7602,-140.002,30/11/2021,17:48:00,7,NA,NA
220902_Smp_TN397_U10_C,TN397,6.7602,-140.002,30/11/2021,17:48:00,7,NA,NA
220902_Smp_TN397_S9_600_U_A,TN397,4.7508,-140.0005,1/12/21,06:15:00,7,NA,NA
220902_Smp_TN397_S9_600_U_B,TN397,4.7508,-140.0005,1/12/21,06:15:00,7,NA,NA
220902_Smp_TN397_S9_600_U_C,TN397,4.7508,-140.0005,1/12/21,06:15:00,7,NA,NA
220902_Smp_TN397_S9_BB_A,TN397,4.7508,-140.0005,1/12/21,08:30:00,7,NA,NA
220902_Smp_TN397_S9_BB_B,TN397,4.7508,-140.0005,1/12/21,08:30:00,7,NA,NA
220902_Smp_TN397_S9_1800_U_A,TN397,4.7695,-139.9879,1/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S9_1800_U_B,TN397,4.7695,-139.9879,1/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S9_1800_U_C,TN397,4.7695,-139.9879,1/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_U11_A,TN397,3.015,-140.0059,2/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_U11_B,TN397,3.015,-140.0059,2/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_U11_C,TN397,3.015,-140.0059,2/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S10_U_A,TN397,1.1248,-140.0051,3/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S10_U_B,TN397,1.1248,-140.0051,3/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S10_U_C,TN397,1.1248,-140.0051,3/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S11_600_U_A,TN397,0.1459,-139.9081,4/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S11_600_U_B,TN397,0.1459,-139.9081,4/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S11_600_U_C,TN397,0.1459,-139.9081,4/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S11_1800_U_A,TN397,0.299,-139.8577,4/12/21,18:05:00,7,NA,NA
220902_Smp_TN397_S11_1800_U_B,TN397,0.299,-139.8577,4/12/21,18:05:00,7,NA,NA
220902_Smp_TN397_S11_1800_U_C,TN397,0.299,-139.8577,4/12/21,18:05:00,7,NA,NA
220902_Smp_TN397_U12_A,TN397,-1.06,-140.0009,5/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_U12_B,TN397,-1.06,-140.0009,5/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_U12_C,TN397,-1.06,-140.0009,5/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_800_U_A,TN397,-2.489,-140.01,6/12/21,08:00:00,7,NA,NA
220902_Smp_TN397_S12_800_U_B,TN397,-2.489,-140.01,6/12/21,08:00:00,7,NA,NA
220902_Smp_TN397_S12_800_U_C,TN397,-2.489,-140.01,6/12/21,08:00:00,7,NA,NA
220902_Smp_TN397_S12_800_U_Vit,TN397,-2.489,-140.01,6/12/21,08:00:00,7,NA,NA
220902_Smp_TN397_S12_1800_U_A,TN397,-2.489,-140.01,6/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_1800_U_B,TN397,-2.489,-140.01,6/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_1800_U_C,TN397,-2.489,-140.01,6/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_Blk_A,TN397,-2.489,-140.01,6/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_Blk_B,TN397,-2.489,-140.01,6/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_Blk_C,TN397,-2.489,-140.01,6/12/21,18:00:00,7,NA,NA
220902_Smp_TN397_S12_600_U_A,TN397,-2.249,-140.26,7/12/21,06:06:00,7,NA,NA
220902_Smp_TN397_S12_600_U_B,TN397,-2.249,-140.26,7/12/21,06:06:00,7,NA,NA
220902_Smp_TN397_S12_600_U_C,TN397,-2.249,-140.26,7/12/21,06:06:00,7,NA,NA
220902_Smp_TN397_U13_A,TN397,-1.3236,-140.8926,7/12/21,11:09:00,7,NA,NA
220902_Smp_TN397_U13_B,TN397,-1.3236,-140.8926,7/12/21,11:09:00,7,NA,NA
220902_Smp_TN397_U13_C,TN397,-1.3236,-140.8926,7/12/21,11:09:00,7,NA,NA
220902_Smp_TN397_S13_1800_U_A,TN397,0.01,-141.8458,7/12/21,18:22:00,7,NA,NA
220902_Smp_TN397_S13_1800_U_B,TN397,0.01,-141.8458,7/12/21,18:22:00,7,NA,NA
220902_Smp_TN397_S13_1800_U_C,TN397,0.01,-141.8458,7/12/21,18:22:00,7,NA,NA
220902_Smp_TN397_S14_U_A,TN397,3.5272,-144.4492,9/12/21,06:27:00,7,NA,NA
220902_Smp_TN397_S14_U_B,TN397,3.5272,-144.4492,9/12/21,06:27:00,7,NA,NA
220902_Smp_TN397_S14_U_C,TN397,3.5272,-144.4492,9/12/21,06:27:00,7,NA,NA
220902_Smp_TN397_S15_U_A,TN397,6.4995,-146.652,10/12/21,06:30:00,7,NA,NA
220902_Smp_TN397_S15_U_B,TN397,6.4995,-146.652,10/12/21,06:30:00,7,NA,NA
220902_Smp_TN397_S15_U_C,TN397,6.4995,-146.652,10/12/21,06:30:00,7,NA,NA
220902_Smp_TN397_S16_U_A,TN397,9.2497,-148.6967,11/12/21,06:00:00,7,NA,NA
220902_Smp_TN397_S16_U_B,TN397,9.2497,-148.6967,11/12/21,06:00:00,7,NA,NA
