Rep,SampID,replicate,Batch,SizeFrac,Compound,Area,min.area.flag,blk.ratio.flag,smp.remove
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trimethylamine N-oxide,NA,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alanine,2886781,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Alanine,1037000,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Sarcosine,956098,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Serine,48383,NA,Flag,Smp_Remove
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Proline,38238556,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Glycine betaine,5976833536,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Threonine,373004,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfonioacetate,400646144,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Alaninebetaine,929795712,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Isoleucine,279445824,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Asparagine,1110584,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Aspartic acid,2221292,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Dimethylsulfoniopropionate,6092083712,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Homarine,371331488,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Trigonelline,389005504,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Ectoine,40040504,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Proline betaine,173402464,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,(3-Carboxypropyl)trimethylammonium,121604088,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Glutamine,80703824,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Lysine,1978905,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,beta-Glutamic acid,755005,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Glutamic acid,50660152,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Hydroxyisoleucine,139972752,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Methionine,3207621,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,5-Hydroxyectoine,3603481,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Betonicine,171291440,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Carnitine,139185424,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Arginine,8797225,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Arsenobetaine,16144303,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Gonyol,137496304,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,L-Tyrosine,7686230,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,2-O-alpha-D-Glucosylglycerol,75935,NA,NA,NA
170706_Smp_S3E15D15_A,S3E15D15,A,G2,full,Threonine Betaine (tentative),82920344,NA,NA,NA
