time,sst,sss,lat,lon,chla,pc,pn,N_N,SRP,DON,chla_interp,pc_interp,pn_interp,N_N_interp,SRP_interp,DON_interp
2021-11-19T05:00:00Z,18.29360260344026,33.53206192468619,32.530582198961724,-117.39492909307299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T06:00:00Z,17.865323305555556,33.523961444444446,32.434773972625,-117.56053599698149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T07:00:00Z,18.295067666666668,33.55762983333333,32.31636614175463,-117.76895661774074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T08:00:00Z,18.595011694444445,33.497090166666666,32.19438269277315,-117.97572294060649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T09:00:00Z,18.800035416666667,33.51023413888889,32.07672147573148,-118.18445101357871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T10:00:00Z,18.750586370326758,33.52386685310568,31.95935156860465,-118.39318533997645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T11:00:00Z,18.372622083333333,33.57532308333333,31.845332418259257,-118.58988701824074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T12:00:00Z,18.246977666666666,33.64167233333333,31.725133723930554,-118.79006405141203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T13:00:00Z,18.111098666666667,33.615605,31.599267141041665,-118.99867967767592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T14:00:00Z,17.16863861111111,33.421525333333335,31.474117346564814,-119.21342348824074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T15:00:00Z,17.738496833333333,33.37212616666667,31.350943700916666,-119.43137903284722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T16:00:00Z,17.641002694444445,33.359814194444446,31.23153175112037,-119.64504300141203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T17:00:00Z,17.67898938888889,33.23500391666666,31.109448614935186,-119.85283931943981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T18:00:00Z,17.668283746898265,33.195205521091815,30.989778062572373,-120.06412558211332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-11-19T19:00:00Z,17.881011222222224,33.09767025,30.866935278587963,-120.268350211625,0.08484810666034606,NA,NA,NA,NA,NA,0.08484810666034606,NA,NA,NA,NA,NA
2021-11-19T20:00:00Z,17.786375055555556,33.011698555555554,30.746578376949074,-120.47360536609722,0.10418138764668985,NA,NA,NA,NA,NA,0.10418138764668985,NA,NA,NA,NA,NA
2021-11-19T21:00:00Z,17.671603472222223,33.02965066666667,30.62756467101389,-120.67729799754629,0.10761440796200183,NA,NA,NA,NA,NA,0.10761440796200183,NA,NA,NA,NA,NA
2021-11-19T22:00:00Z,17.639061416666667,32.97331902777778,30.511952289847223,-120.8819991297037,0.09956442939558544,NA,NA,NA,NA,NA,0.09956442939558544,NA,NA,NA,NA,NA
2021-11-19T23:00:00Z,17.51110311111111,32.97600080555556,30.39645685500463,-121.08304164669444,NA,NA,NA,NA,NA,NA,0.10642898392208686,NA,NA,NA,NA,NA
2021-11-20T00:00:00Z,17.461968996006846,33.19437986309184,30.282235383247766,-121.27687073556997,NA,NA,NA,NA,NA,NA,0.12959773587210982,NA,NA,NA,NA,NA
2021-11-20T01:00:00Z,17.48170490533563,33.23077814113597,30.160330435611492,-121.48150881312631,NA,NA,NA,NA,NA,NA,0.1529383627548573,NA,NA,NA,NA,NA
2021-11-20T02:00:00Z,17.287901472222224,33.03124138888889,30.044811287856483,-121.68093836825926,0.15963104234863418,NA,NA,NA,NA,4.73,0.15963104234863418,NA,NA,NA,NA,4.73
2021-11-20T03:00:00Z,17.575888222222222,32.951920111111114,29.924462382773147,-121.88222306777777,0.12919936740948312,NA,NA,0.0262762010347809,0.3184764655326826,NA,0.12919936740948312,NA,NA,0.0262762010347809,0.3184764655326826,4.724036841586411
2021-11-20T04:00:00Z,18.261450472222222,33.010280333333334,29.805654074,-122.0855127265926,0.06420165190849197,NA,NA,NA,NA,NA,0.06420165190849197,NA,NA,0.02542344818420132,0.3094965966154051,4.718003030617525
2021-11-20T05:00:00Z,18.29012113888889,33.06877633333333,29.68453877251852,-122.2954055697361,0.11325851348308344,NA,NA,NA,NA,NA,0.11325851348308344,NA,NA,0.02461761566449367,0.3014953061117794,4.711897303954442
2021-11-20T06:00:00Z,18.260729527777777,33.05985558333333,29.56030936613889,-122.50446814789815,0.13099811155697758,NA,NA,NA,NA,NA,0.13099811155697758,NA,NA,0.023858703475657952,0.2944725940218055,4.70571836816759
2021-11-20T07:00:00Z,18.903302416666666,33.3453075,29.43886210187037,-122.71120862070833,0.07490920791728727,NA,NA,NA,NA,NA,0.07490920791728727,NA,NA,0.023146711617694174,0.2884284603454834,4.699464898623261
2021-11-20T08:00:00Z,19.17943347222222,33.485058083333335,29.317266816671296,-122.91711999185185,0.0661471482534848,NA,NA,NA,NA,NA,0.0661471482534848,NA,NA,0.02248164009060233,0.28336290508281314,4.693135538536902
2021-11-20T09:00:00Z,19.209151527777777,33.475352666666666,29.199116792569445,-123.12883337868055,0.06690429262636313,NA,NA,NA,NA,NA,0.06690429262636313,NA,NA,0.021863488894382416,0.2792759282337947,4.686728897991723
2021-11-20T10:00:00Z,19.243555694444446,33.46485052777778,29.078009311324074,-123.3359326320926,0.06858394829108348,NA,NA,NA,NA,NA,0.06858394829108348,NA,NA,0.021292258029034436,0.2761675297984281,4.680243552921132
2021-11-20T11:00:00Z,19.30906472222222,33.44622775,28.952432837967592,-123.53958617086111,0.07559079576560147,1.104460957154431,0.1777261526104737,NA,NA,NA,0.07559079576560147,1.104460957154431,0.1777261526104737,0.02076794749455839,0.2740377097767134,4.6736780440534504
