Part.SampID,Diss.SampID,Cruise,Region,Lat,Long,depth_m,station,Treatment,sst,sss,poc,pn
220628_Smp_MU15_C,220623_Smp_MU15_C,KM1906,NPTZ,38.45,-158,7,NA,NA,12.053785714285716,33.593584443099274,6.036889258385589,0.9714448277203324
220628_Smp_MU16_A,220623_Smp_MU16_A,KM1906,NPTZ,40.53,-158,7,NA,NA,10.080793611111112,33.27448888888889,5.392033209527941,1.035601705704667
220628_Smp_MU16_B,220623_Smp_MU16_B,KM1906,NPTZ,40.53,-158,7,NA,NA,10.080793611111112,33.27448888888889,5.392033209527941,1.035601705704667
220628_Smp_MU16_C,220623_Smp_MU16_C,KM1906,NPTZ,40.53,-158,7,NA,NA,10.080793611111112,33.27448888888889,5.392033209527941,1.035601705704667
220628_Smp_MU17_A,220623_Smp_MU17_A,KM1906,NPTZ,42.334,-158,7,NA,NA,9.221684824902724,33.103415786548084,7.670675782311717,1.3343857012229023
220628_Smp_MU17_B,220623_Smp_MU17_B,KM1906,NPTZ,42.334,-158,7,NA,NA,9.221684824902724,33.103415786548084,7.670675782311717,1.3343857012229023
220628_Smp_MU17_C,NA,KM1906,NPTZ,42.334,-158,7,NA,NA,9.221684824902724,33.103415786548084,7.670675782311717,1.3343857012229023
220628_Smp_MU18_A,NA,KM1906,NPTZ,42.09,-158,7,NA,NA,9.08909388888889,33.07154638888889,NA,NA
220628_Smp_MU18_B,NA,KM1906,NPTZ,42.09,-158,7,NA,NA,9.08909388888889,33.07154638888889,NA,NA
220628_Smp_MU18_C,NA,KM1906,NPTZ,42.09,-158,7,NA,NA,9.08909388888889,33.07154638888889,NA,NA
220628_Smp_MU19_A,NA,KM1906,NPTZ,40.09,-158,7,NA,NA,11.454625833333331,33.55674666666667,NA,NA
220628_Smp_MU19_B,NA,KM1906,NPTZ,40.09,-158,7,NA,NA,11.454625833333331,33.55674666666667,NA,NA
220628_Smp_MU19_C,NA,KM1906,NPTZ,40.09,-158,7,NA,NA,11.454625833333331,33.55674666666667,NA,NA
220628_Smp_MU20_A,NA,KM1906,NPTZ,37.48,-158,7,NA,NA,13.015552777777778,33.726885277777775,NA,NA
220628_Smp_MU20_B,NA,KM1906,NPTZ,37.48,-158,7,NA,NA,13.015552777777778,33.726885277777775,NA,NA
220628_Smp_MU20_C,NA,KM1906,NPTZ,37.48,-158,7,NA,NA,13.015552777777778,33.726885277777775,NA,NA
220628_Smp_MU21_A,NA,KM1906,NPSG,35.55,-158,7,NA,NA,14.241151666666669,33.90340777777778,NA,NA
220628_Smp_MU21_B,NA,KM1906,NPSG,35.55,-158,7,NA,NA,14.241151666666669,33.90340777777778,NA,NA
220628_Smp_MU21_C,NA,KM1906,NPSG,35.55,-158,7,NA,NA,14.241151666666669,33.90340777777778,NA,NA
220628_Smp_MU22_A,NA,KM1906,NPSG,34.39,-158,7,NA,NA,15.094179166666668,34.1763075,NA,NA
