Station,Lat,Compound,Small_Frac_Perc
4,32.35,L-Glutamine,0.5458172242763509
5,36.05,L-Glutamine,0.34542364858994934
6,39.75,L-Glutamine,0.14632981322698538
3,28.46,L-Isoleucine,0.36380207285263927
4,32.35,L-Isoleucine,0.473241187535257
5,36.05,L-Isoleucine,0.47383618537944555
6,39.75,L-Isoleucine,0.1880421251790247
3,28.46,L-Proline,0.19735955080200351
4,32.35,L-Proline,0.33140318293042775
5,36.05,L-Proline,0.27536906322235977
6,39.75,L-Proline,0.18669271281211583
3,28.46,L-Threonine,0.3194452287045732
4,32.35,L-Threonine,0.1895846180638585
5,36.05,L-Threonine,0.1668772866631238
6,39.75,L-Threonine,0.12655262310474005
3,28.46,Proline betaine,0.3411800922594819
4,32.35,Proline betaine,0.40426526185067296
5,36.05,Proline betaine,0.4492784671677162
6,39.75,Proline betaine,0.2648219188174041
3,28.46,Sarcosine,0.05749118205391897
4,32.35,Sarcosine,0.21550683732351564
5,36.05,Sarcosine,0.27793629342410586
6,39.75,Sarcosine,0.08696275948125533
3,28.46,Sucrose,0.4455185625907712
4,32.35,Sucrose,0.5393184500730059
5,36.05,Sucrose,0.4290745667476136
6,39.75,Sucrose,0.16081426304574942
3,28.46,Taurine,0.06751917933754749
4,32.35,Taurine,0.2666780178000633
5,36.05,Taurine,0.24583294491148958
6,39.75,Taurine,0.12845527600860857
3,28.46,Trehalose,0.3629216986177715
4,32.35,Trehalose,0.28686745534325114
5,36.05,Trehalose,0.21185706909986396
6,39.75,Trehalose,0.07819183073503987
3,28.46,Trigonelline,0.31417291598854247
4,32.35,Trigonelline,0.3144119617314786
5,36.05,Trigonelline,0.19886279169714852
6,39.75,Trigonelline,0.07046758354944029
3,28.46,beta-Alanine,0.2511095194291579
4,32.35,beta-Alanine,0.3475131043899278
5,36.05,beta-Alanine,0.19987220179834908
6,39.75,beta-Alanine,0.15798575665777725
3,28.46,beta-Alaninebetaine,0.2444664027882388
4,32.35,beta-Alaninebetaine,0.3090733509388619
5,36.05,beta-Alaninebetaine,0.39252958812110234
6,39.75,beta-Alaninebetaine,0.2136725894624674
3,28.46,beta-Glutamic acid,0.3840912330798237
4,32.35,beta-Glutamic acid,0.5118083690516417
5,36.05,beta-Glutamic acid,0.5075637062190627
6,39.75,beta-Glutamic acid,0.3017774884890827
