time,lat,lon,depth,file,count_beads,count_picoeuk,count_prochloro,count_synecho,count_unknown,scatter_beads,scatter_picoeuk,scatter_prochloro,scatter_synecho,scatter_unknown,red_beads,red_picoeuk,red_prochloro,red_synecho,red_unknown,orange_beads,orange_picoeuk,orange_prochloro,orange_synecho,orange_unknown,volume,abundance_beads,abundance_picoeuk,abundance_prochloro,abundance_synecho,abundance_unknown,cell_diameter_beads,cell_diameter_picoeuk,cell_diameter_prochloro,cell_diameter_synecho,cell_diameter_unknown,carbon_content_beads,carbon_content_picoeuk,carbon_content_prochloro,carbon_content_synecho,carbon_content_unknown,biomass_beads,biomass_picoeuk,biomass_prochloro,biomass_synecho,biomass_unknown,flag,stain,replicate,comments
2021-11-19T14:22:16.000Z,31.4,-119.34,5,SF_001.fcs,413,768,18814,4070,98318,1,1.150135,0.010752,0.048803,0.016415,1,3.857727,0.065065,0.331355,0.003577,1,0.024909,0.001416,0.043365,0.00131,103.35,3.99612965650702,7.4310595065312,182.04160619255,39.3807450411224,951.311078858249,2.05425773652713,1.64801261414162,0.536715868619008,0.747364434776576,0.711772259160359,0.958585574160386,0.542922470782218,0.0300415289326689,0.0705822677976393,0.062233142951904,3.83063224120212,4.03448918781561,5.468808179383,2.77958229256306,59.2030783623154,0,0,A, 
2021-11-19T14:22:16.000Z,31.4,-119.34,5,SF_002.fcs,423,787,20276,4331,111517,1,1.154114,0.010741,0.049532,0.015088,1,3.922256,0.065087,0.335914,0.004951,1,0.022246,0.001422,0.044004,0.001284,119.39,3.54301030237038,6.59184186280258,169.82996900913,36.276070022615,934.056453639333,2.05425773652713,1.64992402631182,0.536282678670872,0.749884834668896,0.698312404039537,0.958585574160386,0.54455122255371,0.0299790516790003,0.0711980269361684,0.0592419067137516,3.39627856495388,3.58959554526987,5.09134141756772,2.58278461060847,55.335285291879,0,0,B, 
2021-11-19T14:22:16.000Z,31.4,-119.34,5,SF_003.fcs,369,693,18732,3861,98690,1,1.132659,0.010562,0.04883,0.01632,1,3.867794,0.065397,0.330825,0.003722,1,0.014519,0.001407,0.042867,0.001269,99.98,3.69073814762953,6.93138627725545,187.357471494299,38.6177235447089,987.097419483897,2.05425773652713,1.64040052622451,0.534556255328677,0.747364434776576,0.710592027045455,0.958585574160386,0.536478488852194,0.0297306862054872,0.0705822677976393,0.0619670373203419,3.53788834632109,3.71853963567284,5.57026619325051,2.72572650496785,61.1675026319718,0,0,C, 
2021-11-20T01:18:07.000Z,30.125,-121.5446,5,SF_004.fcs,1029,768,14480,2813,73335,1,1.26338,0.015435,0.074964,0.012052,1,4.205513,0.060702,0.504244,0.004333,1,0.011648,0.001456,0.128483,0.001243,126.55,8.13117344922955,6.06874753062031,114.421177400237,22.2283682338996,579.494271039115,2.05425773652713,1.69727656433027,0.580072095305168,0.824021275451992,0.664538708636629,0.958585574160386,0.585792339899309,0.0367083210471969,0.0908034539821286,0.0521295887782628,7.7944255694274,3.55502581622022,4.20020931460617,2.01841261202472,30.2087980486282,0,0,A, 
2021-11-20T01:18:07.000Z,30.125,-121.5446,5,SF_005.fcs,628,749,14845,2857,68158,1,1.322107,0.015965,0.076976,0.011998,1,4.063872,0.06184,0.499485,0.004006,1,0.010281,0.001478,0.122593,0.001253,100.02,6.27874425114977,7.48850229954009,148.420315936813,28.5642871425715,681.443711257749,2.05425773652713,1.72414780542055,0.584329169884392,0.828982541375121,0.663992480900585,0.958585574160386,0.610017443026054,0.0374074522942475,0.0922208386014458,0.0520190414448666,6.01871366299463,4.56811702486017,5.55202588790346,2.63422251434044,35.4480486582605,0,0,B, 
2021-11-20T01:18:07.000Z,30.125,-121.5446,5,SF_006.fcs,627,802,15150,2875,67358,1,1.386704,0.016002,0.079615,0.012274,1,4.362796,0.061584,0.508745,0.004922,1,0.015133,0.001466,0.125213,0.001465,99.7,6.2888665997994,8.04413239719158,151.955867602808,28.8365095285858,675.606820461384,2.05425773652713,1.74977873470777,0.584803986568813,0.835416687020026,0.667281722120653,0.958585574160386,0.633691692987591,0.0374859556271296,0.0940787472581563,0.0526865028967435,6.02841680038678,5.09749987739266,5.69621091024086,2.71290269174724,35.5953607032984,0,0,C, 
2021-11-20T14:16:43.000Z,28.5566,-124.1958,5,SF_007.fcs,638,81,17444,146,25935,1,1.763479,0.005545,0.050742,0.018461,1,7.205772,0.035523,0.300984,0.005613,1,0.00752,0.001379,0.052279,0.001335,100,6.38,0.81,174.44,1.46,259.35,2.05425773652713,1.90238021922945,0.46572279881786,0.754321084672634,0.730392149668492,0.958585574160386,0.786265563787881,0.0208329510276831,0.0722896430310061,0.0665204715579901,6.11577596314326,0.636875106668184,3.63409997726904,0.105542878825269,17.2520842985647,0,0,A, 
2021-11-20T14:16:43.000Z,28.5566,-124.1958,5,SF_008.fcs,599,100,17534,136,25257,1,1.711424,0.005519,0.052514,0.016981,1,6.64189,0.034553,0.305991,0.004071,1,0.004523,0.00135,0.052239,0.001265,100.05,5.98700649675162,0.999500249875062,175.252373813093,1.35932033983009,252.443778110945,2.05425773652713,1.88164661785803,0.465351814318583,0.76006732204811,0.717120461947473,0.958585574160386,0.764346631941023,0.0207901595399292,0.0737191208797969,0.0634467802837522,5.73905806019062,0.763964649616215,3.64352481132552,0.100207900446301,16.0167449238054,0,0,B, 
2021-11-20T14:16:43.000Z,28.5566,-124.1958,5,SF_009.fcs,595,98,17830,122,25463,1,1.739568,0.005508,0.05198,0.016943,1,6.62151,0.034615,0.303743,0.004027,1,0.004112,0.00135,0.052535,0.001271,99.87,5.95774506858917,0.981275658355863,178.532091719235,1.22158806448383,254.96144988485,2.05425773652713,1.89454304394101,0.464982217688018,0.758145962043685,0.716524411754279,0.958585574160386,0.777935873916273,0.0207475281369421,0.0732392686138732,0.0633107599758973,5.71100847727475,0.763369536835834,3.70409959629196,0.0894682163902326,16.1418031567665,0,0,C, 
2021-11-20T19:40:46.000Z,28.4361,-124.4029,5,SF_010.fcs,238,103,15375,116,30039,1,1.972049,0.008687,0.061013,0.015317,1,7.750465,0.036233,0.342516,0.004639,1,0.00932,0.001461,0.064567,0.001503,107.66,2.21066319895969,0.956715586104403,142.810700352963,1.07746609697195,279.017276611555,2.05425773652713,1.98515378253362,0.512652864311272,0.786247930171734,0.700632057544925,0.958585574160386,0.877584793288562,0.0266886293849892,0.0804497189019167,0.0597509962541961,2.11910985185001,0.839599049867378,3.81142185393098,0.0866818446277386,16.671560249673,0,0,A, 
