compound.name.figure,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
(Iso)leucine,Leg_3,"[-2,-1)",-1.3236,1.1713514928690214,0.0785345281212832
(Iso)leucine,Leg_3,"[0,1)",0.01,1.222665803958989,0.14293741426328901
(Iso)leucine,Leg_3,"[3,4)",3.5272,1.207166874815512,0.1491355173051456
(Iso)leucine,Leg_3,"[6,7)",6.4995,1.430377556030354,0.030687170652079244
(Iso)leucine,Leg_3,"[9,10)",9.2497,0.938665418351303,0.15936866250192258
(Iso)leucine,Leg_3,"[11,12)",11.92,1.2122654897311864,0.19202002239286367
(Iso)leucine,Leg_3,"[14,15)",14.772,1.1167731404461378,0.01584531344764462
Alanine,Leg_3,"[-2,-1)",-1.3236,0.5352181027030607,0.05062627992204197
Alanine,Leg_3,"[0,1)",0.01,0.5927561191466676,0.14960109004218705
Alanine,Leg_3,"[3,4)",3.5272,0.41231590671020035,0.01168278541468051
Alanine,Leg_3,"[6,7)",6.4995,0.511473326975609,0.03407055086545088
Alanine,Leg_3,"[9,10)",9.2497,0.15628663621898178,0.024075856692320236
Alanine,Leg_3,"[11,12)",11.92,0.18795205104465784,0.012058077488082354
Alanine,Leg_3,"[14,15)",14.772,0.16909667766279282,0.028929257370327296
Arsenobetaine,Leg_3,"[-2,-1)",-1.3236,0.00139467202237664,5.9193150809886566e-5
Arsenobetaine,Leg_3,"[0,1)",0.01,0.0020944640515659467,1.372866793660648e-4
Arsenobetaine,Leg_3,"[3,4)",3.5272,0.00163961162571621,1.6118112945777923e-4
Arsenobetaine,Leg_3,"[6,7)",6.4995,0.0016520320369467468,1.3420693753928996e-4
Arsenobetaine,Leg_3,"[9,10)",9.2497,0.00159634187804229,1.4314357865933996e-4
Arsenobetaine,Leg_3,"[11,12)",11.92,0.00138392367774314,9.345595955239625e-5
Arsenobetaine,Leg_3,"[14,15)",14.772,0.00170400472665016,1.290250679089521e-4
Asparagine,Leg_3,"[-2,-1)",-1.3236,0.07296958731408686,0.006018953819056149
Asparagine,Leg_3,"[0,1)",0.01,0.06222940951723047,0.013215400249135228
Asparagine,Leg_3,"[3,4)",3.5272,0.05830223949183905,0.008174040447298215
Asparagine,Leg_3,"[6,7)",6.4995,0.0729204551960037,0.006012743307284165
Asparagine,Leg_3,"[9,10)",9.2497,0.024361679259896806,0.0032728217186004886
Asparagine,Leg_3,"[11,12)",11.92,0.03323794966189249,0.005920396015045189
Asparagine,Leg_3,"[14,15)",14.772,0.03257884739381371,0.00551856016526922
Aspartic acid,Leg_3,"[-2,-1)",-1.3236,0.2673604507086788,0.01288180749568422
Aspartic acid,Leg_3,"[0,1)",0.01,0.3995630756933612,0.08551487587317078
Aspartic acid,Leg_3,"[3,4)",3.5272,0.2437017756506256,0.036345243811883275
Aspartic acid,Leg_3,"[6,7)",6.4995,0.2865631525020516,0.029225741934642686
Aspartic acid,Leg_3,"[9,10)",9.2497,0.29908521981075736,0.04071518738633402
Aspartic acid,Leg_3,"[11,12)",11.92,0.44658365251468507,0.07881227345773534
Aspartic acid,Leg_3,"[14,15)",14.772,0.4529013650576931,0.022181772164567428
Betonicine,Leg_3,"[-2,-1)",-1.3236,0.010092184233822236,7.852190555722701e-4
