compound.name.figure,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
(Iso)leucine,Leg_2,"[37,38)",37.38,0.6018585152663972,0.07709494676732678
(Iso)leucine,Leg_2,"[38,39)",38.45,0.49593602932450614,0.042886454570987734
(Iso)leucine,Leg_2,"[40,41)",40.53,0.7602319586101054,0.018329210066639127
Alanine,Leg_2,"[37,38)",37.38,0.6240542920319366,0.06305913319923329
Alanine,Leg_2,"[38,39)",38.45,0.5428203511106836,0.06655564962356728
Alanine,Leg_2,"[40,41)",40.53,1.3058166054797176,0.11875442776285754
Arsenobetaine,Leg_2,"[37,38)",37.38,4.4016943490739923e-4,4.782524643743908e-5
Arsenobetaine,Leg_2,"[38,39)",38.45,3.1481341597536065e-4,7.353473913539708e-5
Arsenobetaine,Leg_2,"[40,41)",40.53,2.983242809022623e-4,2.065607634512516e-5
Asparagine,Leg_2,"[37,38)",37.38,0.05407265696613933,0.011778800633205879
Asparagine,Leg_2,"[38,39)",38.45,0.05852386478980905,0.01945396800875173
Asparagine,Leg_2,"[40,41)",40.53,0.1237956210357631,0.05651717563148151
Aspartic acid,Leg_2,"[37,38)",37.38,0.21165745421915233,0.026698061330017786
Aspartic acid,Leg_2,"[38,39)",38.45,0.20866227056282283,0.06320013758076808
Aspartic acid,Leg_2,"[40,41)",40.53,0.8066684284641832,0.4247705567665317
Betonicine,Leg_2,"[37,38)",37.38,0.02017671503277485,0.003216097363953317
Betonicine,Leg_2,"[38,39)",38.45,0.024648692446337165,0.006874784949954509
Betonicine,Leg_2,"[40,41)",40.53,0.02581506363488341,0.006066982558710726
Carnitine,Leg_2,"[37,38)",37.38,0.033106908439313285,0.005052733323801612
Carnitine,Leg_2,"[38,39)",38.45,0.032588245497693166,0.009925393332251686
Carnitine,Leg_2,"[40,41)",40.53,0.04356245518796545,0.009709911531308964
DHPS,Leg_2,"[37,38)",37.38,0.20527947089420795,0.03445494396810565
DHPS,Leg_2,"[38,39)",38.45,0.3643471649673508,0.08620039063356835
DHPS,Leg_2,"[40,41)",40.53,0.6666602344257178,0.19724942637772805
DMSA,Leg_2,"[37,38)",37.38,0.4230145152546381,0.1478794729344835
DMSA,Leg_2,"[38,39)",38.45,0.502552057466791,0.1528407269851787
DMSA,Leg_2,"[40,41)",40.53,0.6527842252140659,0.2705427530973194
DMSP,Leg_2,"[37,38)",37.38,0.3705501272903604,0.1789763515643744
DMSP,Leg_2,"[38,39)",38.45,0.37126964927489436,0.050352144306335105
DMSP,Leg_2,"[40,41)",40.53,0.35080937443422255,0.2982490164209355
Ectoine,Leg_2,"[37,38)",37.38,0.003414281766802903,0.002169451177754525
Ectoine,Leg_2,"[38,39)",38.45,0.00243026035103434,0.0022575187824706395
Ectoine,Leg_2,"[40,41)",40.53,0.00792422705531127,0.00261965681355609
GBT,Leg_2,"[37,38)",37.38,0.9096973383216044,0.10701396986852636
GBT,Leg_2,"[38,39)",38.45,0.8665040586612016,0.12373807187020791
GBT,Leg_2,"[40,41)",40.53,0.8701206631709453,0.1943020148996984
