compound.name.figure,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
(Iso)leucine,Leg_3,"[31,32)",31.24,0.2774549043822827,0.052897830632263255
(Iso)leucine,Leg_3,"[33,34)",33.34,0.2920726359398558,0.01890741100602937
(Iso)leucine,Leg_3,"[34,35)",34.39,0.36271397569859565,0.1392047171964991
(Iso)leucine,Leg_3,"[35,36)",35.55,0.4258012232521307,0.04620779767893924
(Iso)leucine,Leg_3,"[37,38)",37.48,0.4993533598854312,0.06749060862880901
(Iso)leucine,Leg_3,"[40,41)",40.09,1.0244362312055084,0.16806098098859706
(Iso)leucine,Leg_3,"[42,43)",42.212,1.063175077892302,0.5141371061318804
Alanine,Leg_3,"[31,32)",31.24,0.19711965925592728,0.03311969652390906
Alanine,Leg_3,"[33,34)",33.34,0.18705641770545917,0.10330783045056263
Alanine,Leg_3,"[34,35)",34.39,0.32862659295673147,0.13179293809368622
Alanine,Leg_3,"[35,36)",35.55,0.3665682753232927,0.048228959312243025
Alanine,Leg_3,"[37,38)",37.48,0.5121287461270457,0.026624059887254217
Alanine,Leg_3,"[40,41)",40.09,0.7091378643026791,0.19340978646459012
Alanine,Leg_3,"[42,43)",42.212,2.093592372467903,0.97446365798500445
Arsenobetaine,Leg_3,"[31,32)",31.24,6.851184159836553e-4,4.904752753977855e-5
Arsenobetaine,Leg_3,"[33,34)",33.34,7.279520136995775e-4,3.826383321620762e-5
Arsenobetaine,Leg_3,"[34,35)",34.39,6.343253959199495e-4,1.2972525090288508e-4
Arsenobetaine,Leg_3,"[35,36)",35.55,5.332774196791126e-4,5.0480722822122446e-5
Arsenobetaine,Leg_3,"[37,38)",37.48,5.424853287642237e-4,1.0485237174660228e-4
Arsenobetaine,Leg_3,"[40,41)",40.09,3.1646431907996246e-4,2.1518030277336095e-5
Arsenobetaine,Leg_3,"[42,43)",42.212,2.2850753041532456e-4,7.348040924179142e-5
Asparagine,Leg_3,"[31,32)",31.24,0.05134774595881651,0.00884119844179339
Asparagine,Leg_3,"[33,34)",33.34,0.042676996978060266,0.00903915690722617
Asparagine,Leg_3,"[34,35)",34.39,0.03321597467436434,0.012055450001002447
Asparagine,Leg_3,"[35,36)",35.55,0.04052835052146524,0.0121899893955648
Asparagine,Leg_3,"[37,38)",37.48,0.05397343810185688,0.007747691986508201
Asparagine,Leg_3,"[40,41)",40.09,0.07975634983682423,0.036432563907217254
Asparagine,Leg_3,"[42,43)",42.212,0.21837765575004914,0.15357396964282324
Aspartic acid,Leg_3,"[31,32)",31.24,0.13631727001458713,0.05317528541112737
Aspartic acid,Leg_3,"[33,34)",33.34,0.14528369168131416,0.04251927519351544
Aspartic acid,Leg_3,"[34,35)",34.39,0.4320948832235852,0.5886630879181719
Aspartic acid,Leg_3,"[35,36)",35.55,0.14648350154132547,0.03164764970145534
Aspartic acid,Leg_3,"[37,38)",37.48,0.2520835359432131,0.04936648959237992
Aspartic acid,Leg_3,"[40,41)",40.09,0.2495076231600315,0.008373545434712854
Aspartic acid,Leg_3,"[42,43)",42.212,0.7159681210019027,0.17932723155260044
Betonicine,Leg_3,"[31,32)",31.24,0.016471024249422407,0.0013644361615223804
Betonicine,Leg_3,"[33,34)",33.34,0.018327033028100893,0.0010825241135120633
Betonicine,Leg_3,"[34,35)",34.39,0.0118836388215169,0.0020430443183069255
Betonicine,Leg_3,"[35,36)",35.55,0.019395676182494846,0.004890715236691167
Betonicine,Leg_3,"[37,38)",37.48,0.02350280047434904,0.007555310862549065
Betonicine,Leg_3,"[40,41)",40.09,0.10912710025029672,0.011576331272139697
Betonicine,Leg_3,"[42,43)",42.212,0.018860306367760957,0.003870867503322258
Carnitine,Leg_3,"[31,32)",31.24,0.01760768985811241,0.0016053375520512071
Carnitine,Leg_3,"[33,34)",33.34,0.01724921971180847,0.0018023072920031536
Carnitine,Leg_3,"[34,35)",34.39,0.01620576272118428,0.0023039639152889133
Carnitine,Leg_3,"[35,36)",35.55,0.023322699495486026,0.006139720209188123
Carnitine,Leg_3,"[37,38)",37.48,0.039441318736263914,0.011029568881108287
Carnitine,Leg_3,"[40,41)",40.09,0.05914664753991843,0.003994035605933189
Carnitine,Leg_3,"[42,43)",42.212,0.0478793883638438,0.012482538464065508
DHPS,Leg_3,"[31,32)",31.24,0.06707394346163377,0.004111365475725566
DHPS,Leg_3,"[33,34)",33.34,0.08930318436788429,0.012058949887476886
DHPS,Leg_3,"[34,35)",34.39,0.08550431537990222,0.038402140001953494
DHPS,Leg_3,"[35,36)",35.55,0.09284898538738272,0.03298757404056133
DHPS,Leg_3,"[37,38)",37.48,0.17418798087320458,0.03078192365216982
DHPS,Leg_3,"[40,41)",40.09,0.27324580870796655,0.03221228382830759
DHPS,Leg_3,"[42,43)",42.212,0.5543492556596311,0.12020521480568708
DMSA,Leg_3,"[31,32)",31.24,0.22104722032644242,0.05153839999200811
DMSA,Leg_3,"[33,34)",33.34,0.31628676460363314,0.021832257192918935
