compound.name.figure,Leg,lat_bin,mean_lat,mean_part_conc,sd_part_conc
(Iso)leucine,Leg_1,"[19,20)",19.655566666666665,0.9430741685902485,0.0976316498981106
(Iso)leucine,Leg_1,"[21,22)",21,0.7617063738208355,0.17217669821164908
(Iso)leucine,Leg_1,"[24,25)",24.43,0.40633308846682353,0.06592672192712948
(Iso)leucine,Leg_1,"[25,26)",25.98,0.5719195022304897,0.12664945852514006
(Iso)leucine,Leg_1,"[27,28)",27.0673,0.6014501326571229,0.055757218009056725
(Iso)leucine,Leg_1,"[28,29)",28.32288,0.4024798207625825,0.1639828678841021
(Iso)leucine,Leg_1,"[30,31)",30.10413,0.736874018267129,0.3824786351289759
(Iso)leucine,Leg_1,"[31,32)",31.41469,1.0773285913754338,0.24682622509233296
(Iso)leucine,Leg_1,"[32,33)",32.187875000000005,1.395961293007363,0.2606960859316914
Alanine,Leg_1,"[19,20)",19.655566666666665,0.1282734303170993,0.014089304704999318
Alanine,Leg_1,"[21,22)",21,0.11878763723282258,0.030763912448436983
Alanine,Leg_1,"[24,25)",24.43,0.10049354375241304,0.014090438667216336
Alanine,Leg_1,"[25,26)",25.98,0.13878080830734305,0.03798049026604034
Alanine,Leg_1,"[27,28)",27.0673,0.1858642475069707,0.006174888025412117
Alanine,Leg_1,"[28,29)",28.32288,0.12581244026484342,0.05380770829063449
Alanine,Leg_1,"[30,31)",30.10413,0.39067017925293135,0.2026021114635489
Alanine,Leg_1,"[31,32)",31.41469,0.30850348177632403,0.08360488389347256
Alanine,Leg_1,"[32,33)",32.187875000000005,0.5933447128697991,0.20856979241910237
Arsenobetaine,Leg_1,"[19,20)",19.655566666666665,0.0026970983004882087,3.626098719959217e-4
Arsenobetaine,Leg_1,"[21,22)",21,0.0024445296369329066,3.7869992457394185e-4
Arsenobetaine,Leg_1,"[24,25)",24.43,0.0010307479539586083,1.503052663682651e-4
Arsenobetaine,Leg_1,"[25,26)",25.98,0.00147147477984532,9.563696801505805e-5
Arsenobetaine,Leg_1,"[27,28)",27.0673,0.0016084903677532566,1.2804075122804757e-4
Arsenobetaine,Leg_1,"[28,29)",28.32288,0.00120668859731429,7.908209429232633e-5
Arsenobetaine,Leg_1,"[30,31)",30.10413,4.6659328098668694e-4,3.9895143716775093e-4
Arsenobetaine,Leg_1,"[31,32)",31.41469,6.184347787032279e-4,1.3276096410910093e-4
Arsenobetaine,Leg_1,"[32,33)",32.187875000000005,8.303492313406958e-4,5.6267542105129174e-5
Asparagine,Leg_1,"[19,20)",19.655566666666665,0.018843893680493166,0.004348705845799065
Asparagine,Leg_1,"[21,22)",21,0.017944679519052834,0.003105859733478327
Asparagine,Leg_1,"[24,25)",24.43,0.016045364039328942,0.001524755959943039
Asparagine,Leg_1,"[25,26)",25.98,0.01726976969448054,0.0014865881854650765
Asparagine,Leg_1,"[27,28)",27.0673,0.022028887976107366,0.001488745049356457
Asparagine,Leg_1,"[28,29)",28.32288,0.017201049141489122,0.006433625458277338
Asparagine,Leg_1,"[30,31)",30.10413,0.04481649235142945,0.023503001967504045
Asparagine,Leg_1,"[31,32)",31.41469,0.06150062282942742,0.023040325923787183
Asparagine,Leg_1,"[32,33)",32.187875000000005,0.0649109944776778,0.022630655225803976
